Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
e0a334bd95b8f6fe9fbe8a4f5993392fa98ef1a28945592f8a36cdc7c9f6abe8,2020-03,Bedfordshire Police,Bedfordshire Police,-0.499992,51.897682,On or near Petrol Station,E01017584,Central Bedfordshire 027C,Investigation complete; no suspect identified
5afe39cc3be16db5702d054ea0fbecfe52b8cc7187923b2af2b933610f64b06a,2020-03,Bedfordshire Police,Bedfordshire Police,-0.466146,52.135753,On or near Shopping Area,E01017469,Bedford 012D,Investigation complete; no suspect identified
e5fdea5f4932fd614fbf103194c5b8f74bb050fcf0bfe4f80def967e3d491128,2020-03,Bedfordshire Police,Bedfordshire Police,-0.375044,51.880683,On or near Airport/Airfield,E01015811,Luton 014G,Unable to prosecute suspect
a67abc1e0becd1157fa3c845b9f08d53051c771d1534d37294ee13ac895b8e5a,2020-03,Bedfordshire Police,Bedfordshire Police,-0.491328,52.130818,On or near WINGFIELD CLOSE,E01017538,Bedford 013D,Unable to prosecute suspect
cf4a6b1779fdc79bac8a1189ab8e54042143962e84788f8ded2bd58e498c6a62,2020-03,Bedfordshire Police,Bedfordshire Police,-0.551402,52.059650,On or near BANKS CLOSE,E01017418,Central Bedfordshire 009C,Investigation complete; no suspect identified
b9ed8c2d0159ea4064e1e4be5c2156d57990a9509a03de468a2e9e1e78db8238,2020-03,Bedfordshire Police,Bedfordshire Police,-0.527032,51.901917,On or near FREEMANS CLOSE,E01017579,Central Bedfordshire 026B,Investigation complete; no suspect identified
1884c818ef5c8bd1e4a5c1c7e61f5eefdfd81a2965fe45ba7f705d8e295dcc4b,2020-03,Bedfordshire Police,Bedfordshire Police,-0.505933,51.881141,On or near APOLLO CLOSE,E01017593,Central Bedfordshire 030B,Investigation complete; no suspect identified
73378c0c8f68dc0db4d9115c81f5d83d30c3a26e33b159dde311986d0664a515,2020-03,Bedfordshire Police,Bedfordshire Police,-0.463162,51.897261,On or near COLLINGWOOD CLOSE,E01015716,Luton 011D,Investigation complete; no suspect identified
e7121b7923d8f18947e88593548ad822dcc0d1fc0cb0385dfb13ae6d53d5a8ef,2020-03,Bedfordshire Police,Bedfordshire Police,-0.436915,51.886323,On or near SHAFTESBURY ROAD,E01015726,Luton 015B,Investigation complete; no suspect identified
91a9cbb0cd9a3ce3c5499eb9979b5af847ece662ec762dd4dea2e3de0cefce9d,2020-03,Bedfordshire Police,Bedfordshire Police,-0.496409,52.125713,On or near HARTWELL DRIVE,E01017511,Bedford 016C,Investigation complete; no suspect identified
be7c8567a3e27de30603631bcfbe73592be4d0ca52b10632752853ca197eadbd,2020-03,Bedfordshire Police,Bedfordshire Police,-0.438243,52.148541,On or near Petrol Station,E01017488,Bedford 007A,Unable to prosecute suspect
c36dfc120118296453e19b7ece23a481ce37e2f5d46ede19f2e99a604547baf4,2020-03,Bedfordshire Police,Bedfordshire Police,-0.489920,52.117565,On or near SPRINGFIELD AVENUE,E01017505,Bedford 017A,Action to be taken by another organisation
91ec2ff52740678c0446015d6b265764b781d669c6e4fb134c341fc81ebb54a1,2020-03,Bedfordshire Police,Bedfordshire Police,-0.653629,51.925471,On or near MONTGOMERY CLOSE,E01017609,Central Bedfordshire 021E,Local resolution
39cb9401054e3b690ca1d46b6b8df7357f42819522b98f280b925525a7d53036,2020-03,Bedfordshire Police,Bedfordshire Police,-0.438234,51.901518,On or near BRISTOL ROAD,E01015783,Luton 006F,Investigation complete; no suspect identified
0cf8f754d17c4d118ffc74e212c8c82c25f3e3036714d8e90feadb12c261908c,2020-03,Bedfordshire Police,Bedfordshire Police,-0.492787,51.892357,On or near CALCUTT CLOSE,E01017583,Central Bedfordshire 027B,Investigation complete; no suspect identified
91b5065096dc28610d73ce3fd333d9baae7f6a8c38f741067f4da90142a3e549,2020-03,Bedfordshire Police,Bedfordshire Police,-0.397327,51.889360,On or near BLOOMFIELD AVENUE,E01015780,Luton 016E,Unable to prosecute suspect
8a37078034a7da544cc9657fbb0cd136a2925ede935f516fbd783cd7bf40ded6,2020-03,Bedfordshire Police,Bedfordshire Police,-0.468922,52.137039,On or near Shopping Area,E01017466,Bedford 012A,Investigation complete; no suspect identified
fca6a95aa9221d5725addd98c5212ec4b8506d6b882c47f2674687b12f79cb52,2020-03,Bedfordshire Police,Bedfordshire Police,-0.466837,52.142020,On or near DE PARYS AVENUE,E01017484,Bedford 009C,Investigation complete; no suspect identified
9bb5cef5b1474526484d479febbf3c51128ac2c9d6bf4d40bb050121e81e3df3,2020-03,Bedfordshire Police,Bedfordshire Police,-0.426683,51.878921,On or near ASHBURNHAM ROAD,E01015729,Luton 019C,Unable to prosecute suspect
1fd1a77e378856222513bce89f3d868deef49dcb790a79dd235448422357d533,2020-03,Bedfordshire Police,Bedfordshire Police,-0.664074,51.917057,On or near Supermarket,E01017555,Central Bedfordshire 021A,Suspect charged
40e7d8ce9bb2d328e8254ead968e66101783d2389aa57d0d1f08d6d759bd9894,2020-03,Bedfordshire Police,Bedfordshire Police,-0.497677,51.876450,On or near LINCOLN CLOSE,E01017594,Central Bedfordshire 030C,Action to be taken by another organisation
0271edf1a8ce19ea12cc5fefc7ee25b583a1045c06c3d255f426e2452d227ab7,2020-03,Bedfordshire Police,Bedfordshire Police,-0.461478,52.127033,On or near VULCAN STREET,E01017522,Bedford 014E,Investigation complete; no suspect identified
2242fe6cfacf32eb55c0445bffaf40772e039c30d34c1b2b700c937c01944476,2020-03,Bedfordshire Police,Bedfordshire Police,-0.446566,52.134930,On or near BERESFORD ROAD,E01017468,Bedford 012C,Investigation complete; no suspect identified
ba3c0d9b71d4b649b146952d9512241e396c575678698b574b11f82d92dcfaed,2020-03,Bedfordshire Police,Bedfordshire Police,-0.292899,52.138290,On or near SHANNON CLOSE,E01017436,Central Bedfordshire 001C,Unable to prosecute suspect
10d142a863b5a21421ec62455125b9da3123d272bcb31f4dfec5c5e237e60bf3,2020-03,Bedfordshire Police,Bedfordshire Police,-0.319717,51.997500,On or near MAPLE CLOSE,E01017442,Central Bedfordshire 013D,Unable to prosecute suspect
b2c2a01b58d9cc6c465a446da0d10a2828c45ea982155fa2eacc9c9345216c2a,2020-03,Bedfordshire Police,Bedfordshire Police,-0.525987,52.153257,On or near WINGFIELD ROAD,E01017463,Bedford 008E,Unable to prosecute suspect
851f3650988992a483d7a703ec1a4851ffa5d51473ad53e9618bce59c7c69977,2020-03,Bedfordshire Police,Bedfordshire Police,-0.289017,52.133972,On or near MIDDLEHAM CLOSE,E01017434,Central Bedfordshire 001B,Formal action is not in the public interest
3c71bb6641d72f1b31d6bc1f298ac27c84eb66ce06d3c963964eb2bde2dd6718,2020-03,Bedfordshire Police,Bedfordshire Police,-0.452156,51.918930,On or near NORTHWELL DRIVE,E01015770,Luton 001F,Action to be taken by another organisation
fda7405c010491aa3f3971453d81cdedd6edc06b58400a337f5393c99a022ade,2020-03,Bedfordshire Police,Bedfordshire Police,-0.465525,52.132139,On or near ST JOHN'S STREET,E01017522,Bedford 014E,Investigation complete; no suspect identified
64d9a4fa5f955138e683772666627852dcd0573d4b7fa7d8d731cafd96b03974,2020-03,Bedfordshire Police,Bedfordshire Police,-0.264398,52.087306,On or near CHURCH STREET,E01017385,Central Bedfordshire 005C,Unable to prosecute suspect
c9ee3b6f9316917fca33ae1cb7be921bc1f88e9f9a887fada0d8223df6d1fa43,2020-03,Bedfordshire Police,Bedfordshire Police,-0.413942,51.878903,On or near Shopping Area,E01015794,Luton 018F,Unable to prosecute suspect
adbd857db1f269e7c6ced993731519b5b3278fff9b0a6c6fffee843cbd2355c3,2020-03,Bedfordshire Police,Bedfordshire Police,-0.415830,51.877688,On or near CHAPEL STREET,E01015791,Luton 021C,Unable to prosecute suspect
452f1ae34d9f94cf21e2d7339e6c3d9e49a0e953b657c50b9217eafcb9bdc96a,2020-03,Bedfordshire Police,Bedfordshire Police,-0.422474,51.892496,On or near POPPY CLOSE,E01015700,Luton 010A,Investigation complete; no suspect identified
2c33bd374e6a5dd71e68d5a87ed176721f1e9a7761a329be40234a6b428aa602,2020-03,Bedfordshire Police,Bedfordshire Police,-0.464561,52.130005,On or near LONDON ROAD,E01017473,Bedford 015B,Investigation complete; no suspect identified
36558f75b20c0187f051aa5558744e8e0820c240bbc481a1aed86fcb0dd4ef96,2020-03,Bedfordshire Police,Bedfordshire Police,-0.522594,51.887888,On or near QUEENSWAY,E01017568,Central Bedfordshire 029C,Unable to prosecute suspect
3ac48b1156d96b903b58811055076a51e1ceebd433e7484f24c9776038cc2c79,2020-03,Bedfordshire Police,Bedfordshire Police,-0.456486,52.168355,On or near CRISPEN DRIVE,E01033431,Bedford 004F,Investigation complete; no suspect identified
29fb3a2de88f83cb0a0d4e77413b85841300ddced931d650819bac10d6dffc3b,2020-03,Bedfordshire Police,Bedfordshire Police,-0.433219,51.873946,On or near NORTH DRIFT WAY,E01015737,Luton 020F,Local resolution
aad38d8e105c77145c302c4642636e98f20a4540e5fdc0cb0d4ed23de68ae9c4,2020-03,Bedfordshire Police,Bedfordshire Police,-0.409241,51.873364,On or near KINGSLAND ROAD,E01015789,Luton 018E,Unable to prosecute suspect
4dd3ae204aa487a2c9079169b5f79fbc2cdbcabb8f16f205f0e066e070652d2c,2020-03,Bedfordshire Police,Bedfordshire Police,-0.469317,52.135317,On or near HORNE LANE,E01017466,Bedford 012A,Investigation complete; no suspect identified
9227f55e4d9f06de1e0880873d32375fe19c94cb1c2ac0921052356607b3fb3e,2020-03,Bedfordshire Police,Bedfordshire Police,-0.509673,51.873483,On or near LESTON CLOSE,E01017626,Central Bedfordshire 031D,Investigation complete; no suspect identified
41cc9b91c347f476ddde38a337d687cb077f55d6f700ebab1a372583a948f505,2020-03,Bedfordshire Police,Bedfordshire Police,-0.289780,52.129685,On or near B1042,E01017435,Central Bedfordshire 002D,Local resolution
a13c9b4889eae78fc8660631765245289cd20f756f0c784b69c3026e98c519fd,2020-03,Bedfordshire Police,Bedfordshire Police,-0.445607,52.117555,On or near BUTTERCUP CLOSE,E01017518,Bedford 014A,Unable to prosecute suspect
7c9f0076bb37432668ffd27d343715ec903356a0d953c78720cd8512f63a052c,2020-03,Bedfordshire Police,Bedfordshire Police,-0.289780,52.129685,On or near B1042,E01017435,Central Bedfordshire 002D,Local resolution
b960ba9f07842343991779864461b82c6c170d35d5da7308e093c5bc275ed00a,2020-03,Bedfordshire Police,Bedfordshire Police,-0.432230,51.892339,On or near NORMAN ROAD,E01015701,Luton 010B,Unable to prosecute suspect
07ee625dd3e5a4ad1c785fe96504227cbb83a0161c5ecc5d57462bae04271100,2020-03,Bedfordshire Police,Bedfordshire Police,-0.412901,51.898563,On or near ELMWOOD CRESCENT,E01015693,Luton 007A,Unable to prosecute suspect
b3b93238782b1fdd4bd2cf0f997b6395db1cae35bb717ae3323a3435b61f4009,2020-03,Bedfordshire Police,Bedfordshire Police,-0.426683,51.878921,On or near ASHBURNHAM ROAD,E01015729,Luton 019C,Unable to prosecute suspect
f58c48014b6cf40437bd26fc2a98aaa11174af07c8873b66f45af7982ef484d5,2020-03,Bedfordshire Police,Bedfordshire Police,-0.495913,52.123494,On or near VINEYARD WAY,E01017509,Bedford 016A,Unable to prosecute suspect
db8c3d03e0983c0c7ccdd261773be8419c17d719d5cc0b7d30d77df1924b392e,2020-03,Bedfordshire Police,Bedfordshire Police,-0.454361,52.160046,On or near TRENT ROAD,E01017454,Bedford 005B,Investigation complete; no suspect identified
0ef3f3f215d08a7610eb63e461781941d06b03dbb231437385ee660215c03ba9,2020-03,Bedfordshire Police,Bedfordshire Police,-0.469317,52.135317,On or near HORNE LANE,E01017466,Bedford 012A,Investigation complete; no suspect identified
f1616532a07c693cdb31141a0a6439e6262e32420cb968d759e879d3a70a7dcd,2020-03,Bedfordshire Police,Bedfordshire Police,-0.466354,52.140341,On or near Nightclub,E01017484,Bedford 009C,Suspect charged
f1616532a07c693cdb31141a0a6439e6262e32420cb968d759e879d3a70a7dcd,2020-03,Bedfordshire Police,Bedfordshire Police,-0.466354,52.140341,On or near Nightclub,E01017484,Bedford 009C,Suspect charged
f1616532a07c693cdb31141a0a6439e6262e32420cb968d759e879d3a70a7dcd,2020-03,Bedfordshire Police,Bedfordshire Police,-0.466354,52.140341,On or near Nightclub,E01017484,Bedford 009C,Suspect charged
f1616532a07c693cdb31141a0a6439e6262e32420cb968d759e879d3a70a7dcd,2020-03,Bedfordshire Police,Bedfordshire Police,-0.466354,52.140341,On or near Nightclub,E01017484,Bedford 009C,Suspect charged
f1616532a07c693cdb31141a0a6439e6262e32420cb968d759e879d3a70a7dcd,2020-03,Bedfordshire Police,Bedfordshire Police,-0.466354,52.140341,On or near Nightclub,E01017484,Bedford 009C,Suspect charged
f1616532a07c693cdb31141a0a6439e6262e32420cb968d759e879d3a70a7dcd,2020-03,Bedfordshire Police,Bedfordshire Police,-0.466354,52.140341,On or near Nightclub,E01017484,Bedford 009C,Suspect charged
f1616532a07c693cdb31141a0a6439e6262e32420cb968d759e879d3a70a7dcd,2020-03,Bedfordshire Police,Bedfordshire Police,-0.466354,52.140341,On or near Nightclub,E01017484,Bedford 009C,Suspect charged
4dbcf1ed940ab1c5d7a9c57f100073fc74992b169a70b72f3023c8ccef887bbd,2020-03,Bedfordshire Police,Bedfordshire Police,-0.497219,52.006848,On or near HIGH STREET,E01017401,Central Bedfordshire 015C,Investigation complete; no suspect identified
3a3eb6cf7c31978c3888aa2622bf41c20ee4bc359dbf7bace0d22d7041fac3df,2020-03,Bedfordshire Police,Bedfordshire Police,-0.474801,52.140738,On or near UNION STREET,E01017501,Bedford 010E,Unable to prosecute suspect
17c6c7a18786fcb4b2c9c598eea47a571428922267772961378ab72a8ff7b7ab,2020-03,Bedfordshire Police,Bedfordshire Police,-0.460847,52.001101,On or near MAPLE CLOSE,E01017398,Central Bedfordshire 017A,Investigation complete; no suspect identified
a99a78636ae49aa330c1016ca7103df4a4db3ff0b975c0ea7d5dc01c4b816e1d,2020-03,Bedfordshire Police,Bedfordshire Police,-0.451500,51.892369,On or near Petrol Station,E01015787,Luton 015D,Suspect charged
3beb33ec4e28adccac48aa1400be392981b95bd0954d021c61bd13868d24b10c,2020-03,Bedfordshire Police,Bedfordshire Police,-0.460977,51.895281,On or near GRANBY ROAD,E01015712,Luton 011B,Suspect charged
2d01f858f188b7d91a9861bba6b1b5e2b945bb978fc32c8c9e9c828b0c8926a3,2020-03,Bedfordshire Police,Bedfordshire Police,-0.594040,52.006632,On or near SANDY LANE,E01017379,Central Bedfordshire 007A,Investigation complete; no suspect identified
836ced90b849872d2819ae908e41be4dc97364a977b907f1c30e4e783682b8ef,2020-03,Bedfordshire Police,Bedfordshire Police,-0.475187,51.907856,On or near BOXTED CLOSE,E01015752,Luton 005C,Unable to prosecute suspect
a6dd0a4ed803d0a43ff4871919a636254e1e4fee35deb9ab0abb84fa2976d7a1,2020-03,Bedfordshire Police,Bedfordshire Police,-0.449251,52.026817,On or near REDHILLS CLOSE,E01017420,Central Bedfordshire 008D,Unable to prosecute suspect
983f68746b7e380ac7ff6f0952fcaaa89a8550e81cd58839330236c76a0c47a5,2020-03,Bedfordshire Police,Bedfordshire Police,-0.432230,51.892339,On or near NORMAN ROAD,E01015701,Luton 010B,Unable to prosecute suspect
fbcf5064a9e2a220ca6e55feb3722eca7ba50233d5b39eaf19dc65ae9febd106,2020-03,Bedfordshire Police,Bedfordshire Police,-0.398346,51.901180,On or near Supermarket,E01015796,Luton 012F,Investigation complete; no suspect identified
60a6c22c9dc64ef0874767817843d434bf5a04061a6ee61fa8dc5248fc78d458,2020-03,Bedfordshire Police,Bedfordshire Police,-0.492707,52.022328,On or near ARAGON ROAD,E01017371,Central Bedfordshire 012A,Investigation complete; no suspect identified
ee37fd734b0c1bc31fa7a5262c0cfe1579371b830fd7e5ee3c1fe253877bab96,2020-03,Bedfordshire Police,Bedfordshire Police,-0.273788,52.093621,On or near Petrol Station,E01017422,Central Bedfordshire 004B,Unable to prosecute suspect
083270aa0479c541d583ebc3952ac5814fea99fdc58a059e9ef73ef03343a673,2020-03,Bedfordshire Police,Bedfordshire Police,-0.517978,51.886868,On or near KINGSBURY COURT,E01017570,Central Bedfordshire 029E,Unable to prosecute suspect
aac7e693119be24c95eec84dbede9014f53cdc400bae389ecb61c23ab8ae4dc3,2020-03,Bedfordshire Police,Bedfordshire Police,-0.426331,52.141091,On or near HEATHER GARDENS,E01017527,Bedford 011D,Investigation complete; no suspect identified
01fa282d0d38cd581da42fa812b18db21f6b96674871fb042a3d0b2edc684cdc,2020-03,Bedfordshire Police,Bedfordshire Police,-0.419281,51.913889,On or near YATELY CLOSE,E01017616,Central Bedfordshire 018D,Unable to prosecute suspect
96e508e0081ee43363a9b492da5565c9aab7727e8f8b72c161c9a11ae3bc81e9,2020-03,Bedfordshire Police,Bedfordshire Police,-0.451232,51.890864,On or near THORNHILL ROAD,E01015731,Luton 015C,Investigation complete; no suspect identified
1ca88fc3cdf6d8ea411b65974f1dde353d26a54f07247c8047bf66254214868e,2020-03,Bedfordshire Police,Bedfordshire Police,-0.547329,52.226845,On or near TOWNS END ROAD,E01017544,Bedford 001C,Unable to prosecute suspect
c955f89d792d7f5e6e7f733bf4059f876171cfc37a4c271902ef6a7ceb88ead3,2020-03,Bedfordshire Police,Bedfordshire Police,-0.462670,52.135708,On or near NEWNHAM ROAD,E01017469,Bedford 012D,Investigation complete; no suspect identified
ec25ea2ae4aad79884c4541a1deff2b599d73cd496519b6e6cf5586dbb92eaf6,2020-03,Bedfordshire Police,Bedfordshire Police,-0.416881,51.881685,On or near BRIDGE STREET,E01015794,Luton 018F,Investigation complete; no suspect identified
ed167f661764cd9cbdb7448b409db1fce0d684dccda80581fb68779c0ce5192e,2020-03,Bedfordshire Police,Bedfordshire Police,-0.418624,51.881682,On or near NEW BEDFORD ROAD,E01015794,Luton 018F,Unable to prosecute suspect
a99335e51876c49dbd16b098a97a0d5d0405af2091df079ceeb2d2cd3c40b118,2020-03,Bedfordshire Police,Bedfordshire Police,-0.226844,52.013582,On or near Supermarket,E01017447,Central Bedfordshire 014B,Suspect charged
c232d4336f171288c1fd2a3fcf9c5d21c9692c896ed657c72d92c93ba73d8372,2020-03,Bedfordshire Police,Bedfordshire Police,-0.450519,52.135539,On or near RUSSELL AVENUE,E01017468,Bedford 012C,Investigation complete; no suspect identified
ae053aed59b2cab8395b978b7a7ff5a438cd10b333e45fb2e9e9939c8e45ee11,2020-03,Bedfordshire Police,Bedfordshire Police,-0.659876,51.915930,On or near LAKE STREET,E01017555,Central Bedfordshire 021A,Investigation complete; no suspect identified
cacfd9a233b9cae8fda8560bd235b49647d8db74bbc048a3857306088788d124,2020-03,Bedfordshire Police,Bedfordshire Police,-0.439918,51.896119,On or near ST CHRISTOPHERS PLACE,E01015786,Luton 010F,Investigation complete; no suspect identified
419bf5964e5c4831babcb71daa4208cd8c0da15f42256def64b52332ee082ccc,2020-03,Bedfordshire Police,Bedfordshire Police,-0.414197,51.879077,On or near Parking Area,E01015794,Luton 018F,Investigation complete; no suspect identified
2fc71c37df995e04aaa71dc45fe93c0cf0a7bfeb512ecfb8f27414885596f8e6,2020-03,Bedfordshire Police,Bedfordshire Police,-0.480373,52.144892,On or near CLAPHAM ROAD,E01017499,Bedford 010C,Investigation complete; no suspect identified
bc17aa4fe708fd94c3e522be809e991e318359246b15d3e27bf577bf95743329,2020-03,Bedfordshire Police,Bedfordshire Police,-0.408184,51.876155,On or near PARK TERRACE,E01015789,Luton 018E,Investigation complete; no suspect identified
5ab25e117bdd24b0d3c1cea15e5d6f7033d9b56018fe9644d68f7f13eef4d2c2,2020-03,Bedfordshire Police,Bedfordshire Police,-0.422136,51.906285,On or near Further/Higher Educational Building,E01015694,Luton 007B,Unable to prosecute suspect
33c22811f3b13dae93a0de09d3d5b98a80ecc8e8fbcef0acdf74a30358196987,2020-03,Bedfordshire Police,Bedfordshire Police,-0.471139,52.139720,On or near ADELAIDE SQUARE,E01017502,Bedford 010F,Unable to prosecute suspect
d4a392ff4f7d00837d70998895862f17f68b3b51aaa79b6b68c4da50e8a59c51,2020-03,Bedfordshire Police,Bedfordshire Police,-0.439985,51.921881,On or near BARLEYVALE,E01015706,Luton 001A,Investigation complete; no suspect identified
0770fddac42d3c561c08013f380f568c9695119697e6dda43238bb4d102c2374,2020-03,Bedfordshire Police,Bedfordshire Police,-0.471139,52.139720,On or near ADELAIDE SQUARE,E01017502,Bedford 010F,Unable to prosecute suspect
f6947b786366792def8d1b5d65e39d51a6c2a0956ebe1aeb2587b85e5cae7e29,2020-03,Bedfordshire Police,Bedfordshire Police,-0.422814,51.878195,On or near ROTHESAY ROAD,E01015794,Luton 018F,Unable to prosecute suspect
16a027f25dde8ab46e647ef56d0e1fc764a48ccb6a6d3c4b42476450b500739e,2020-03,Bedfordshire Police,Bedfordshire Police,-0.471139,52.139720,On or near ADELAIDE SQUARE,E01017502,Bedford 010F,Unable to prosecute suspect
f3bb9d1f808d516e7571eee0c25c1251dd21961af2aac4863e9175aa0509e2a9,2020-03,Bedfordshire Police,Bedfordshire Police,-0.430806,51.889425,On or near THE RIDINGS,E01015705,Luton 017D,Investigation complete; no suspect identified
cb07a4c9d70e601177221fa23776b58edec8b3711add0978afe87d23e6aad66c,2020-03,Bedfordshire Police,Bedfordshire Police,-0.415470,51.886261,On or near FREDERICK STREET,E01015739,Luton 018A,Unable to prosecute suspect
