Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
2e5d31c9a40e13dd48179dede390e367fc6cee7fa80214a55a7fbe8132910b5c,2020-04,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.378527,51.642131,On or near FIELD END CLOSE,E01023882,Watford 012A,Unable to prosecute suspect
dd13315d89eb0d11adef90dce10ea0b884a047b980cc7cc07ced883d06b592b3,2020-04,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.435625,51.780257,On or near Supermarket,E01023435,Dacorum 005B,Investigation complete; no suspect identified
7a780c7fa45e62e5ce71bd42f30b37bf0f671f7612b1483e10f4c1975b301206,2020-04,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.258606,51.664963,On or near GRACE CLOSE,E01023544,Hertsmere 009A,Action to be taken by another organisation
a64ad81720f91b7ac6fdd46dba2ec7d2442fda16998faeecfbf3ee95e38f89e3,2020-04,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.466500,51.758103,On or near GILROY ROAD,E01023401,Dacorum 008A,Investigation complete; no suspect identified
9c67425ededaf663984fbb80013c5d61f6d1a29311fa40d85d5e36b2b0e0147b,2020-04,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Investigation complete; no suspect identified
2c5ac0750ee9323d34077fce46344f598b7bbeaed6782c6768254f1a2a418e4b,2020-04,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Suspect charged
484aa13a6fc0be7f20596d6e69e81f10c29feffab4b75897075315a86118358f,2020-04,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Unable to prosecute suspect
2f25fbe2794b4a5ff9c0167b199088a0455c653819b2e4b9efb7c19a6141782f,2020-04,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Unable to prosecute suspect
27c5779ff4bbca06b9533f1cb706c149411fdc43764d31bde876fdfb58414a13,2020-04,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Investigation complete; no suspect identified
5a99e3f68a23f158bc80f944f2cbe43a5a10e208da1e79b76af7e27d364747c8,2020-04,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Unable to prosecute suspect
80b6fc0662619ad76c38abac4597021a2d9df7d40aae9f2c2bfb7cf0cc3ef7a2,2020-04,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Investigation complete; no suspect identified
