Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
f44c1c7b245a47fa2e7bb39c8d4d9f9e93a9a206d5ad5d55fee2334ede7e1892,2020-04,Northamptonshire Police,Northamptonshire Police,-0.962902,52.228054,On or near UPTON VALLEY WAY NORTH,E01032977,Northampton 029G,Unable to prosecute suspect
aaab8230653bcfa7f4a935107c1b30b898af45d8121fcae1f32c8c0dcfb0ae43,2020-04,Northamptonshire Police,Northamptonshire Police,-0.961858,52.247087,On or near ROUNDWOOD WAY,E01032975,Northampton 029E,Unable to prosecute suspect
56eca34a647e37c8d936a2f513355cd7543216a6e9942ff38aee639c4bb8cbb2,2020-04,Northamptonshire Police,Northamptonshire Police,-0.541045,52.345637,On or near MILL CLOSE,E01027055,East Northamptonshire 005E,Unable to prosecute suspect
5924da2ba8c018d03b41dc53c372d5e40a86d528edc4e7dee9f989780a75f44a,2020-04,Northamptonshire Police,Northamptonshire Police,-0.896436,52.237305,On or near MERCER'S ROW,E01027223,Northampton 025A,Unable to prosecute suspect
94d9ceb91fe466a8193d227a2874423be14c96a8607feefeb147da7558e4064f,2020-04,Northamptonshire Police,Northamptonshire Police,-0.711230,52.299380,On or near WEAVERS ROAD,E01027312,Wellingborough 007D,Unable to prosecute suspect
28e586f1c097295c9710145560573becdb89c27baa8ea584fd5f5caddac39ae0,2020-04,Northamptonshire Police,Northamptonshire Police,-0.713401,52.305949,On or near MINERVA WAY,E01027310,Wellingborough 007B,Investigation complete; no suspect identified
5c39e8111d332cc0010f9b8d6c220753a3ae336742289e65b3820d6a3683f462,2020-04,Northamptonshire Police,Northamptonshire Police,-0.666598,52.256142,On or near THE GAP,E01027355,Wellingborough 010F,Unable to prosecute suspect
a05a5e3782a1a0fd928a0e63e7cfa65e47002ee658def80c25ecc73c98ef0659,2020-04,Northamptonshire Police,Northamptonshire Police,-1.209170,52.342305,On or near BARBY LANE,E01032968,Daventry 003F,Unable to prosecute suspect
43b1812650ad512c448eccf9ad2a66db76486292d9c02afc6ccff55e942efb61,2020-04,Northamptonshire Police,Northamptonshire Police,-0.716809,52.497289,On or near CHAUCER ROAD,E01026975,Corby 004D,Investigation complete; no suspect identified
64343a7d9900bfaf4a78680698b4f5b1f1bd8c632a9041cd1b345c1bf0822049,2020-04,Northamptonshire Police,Northamptonshire Police,-0.674591,52.474267,On or near CHILTERN ROAD,E01026977,Corby 003C,Unable to prosecute suspect
