Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
a9f6b9f0ef636d754f24fc68cd71f2326a38292d9637f6e6cc643f58352409fd,2020-04,South Wales Police,South Wales Police,-3.526128,51.671142,On or near YNYSFEIO AVENUE,W01001265,Rhondda Cynon Taf 007A,Unable to prosecute suspect
14c9942fd3030522b3f47f0f9ae47ddd1311764f1d16ef594cdccc765ec072a3,2020-04,South Wales Police,South Wales Police,-3.939190,51.632908,On or near MONGER STREET,W01000790,Swansea 016F,Unable to prosecute suspect
871dc149eed0b9720daf82895b3d7c7cb8ac48980281f35dfd166687c970fc94,2020-04,South Wales Police,South Wales Police,-3.160171,51.501797,On or near THE RETREAT,W01001821,Cardiff 024A,Investigation complete; no suspect identified
b5ff865a04c90f43dfb853e13df8592602a5bf5d4e2837e53d11b4c48c037412,2020-04,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
234852b6fcc4072cec49b14ef9a81baba635b72e7e13c60efd0f89d4667f3cb2,2020-04,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
39b12b79df8b409a0a260588d0dbee3c7c9267f89f92931b855cffe471f0a754,2020-04,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
c64bfd00c6ae9e6d857eb7262b6303eafc977f22fe363411fd114d38d5539487,2020-04,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
c3499ca8f2ffe58142e64d60dff4560477941c26dc67d6dbcd57a075ca8d4de8,2020-04,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
154aafaa50ddfbb144f381c4d0175d8a159fd28bd3e468999b08dc7c3a967a38,2020-04,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
5aa7dcbda9c50b46a38cde3d49f4d6779528359616ae661ca9389133915ec6fa,2020-04,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
433bb9caf22d3aa27591f40aa06762d1ac52f5b7b5cb9684dba91e9e9376e852,2020-04,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
cc0cd1d77f99774daf04ccecf7fb9dabb4fb88240a6f39adcc90498a92f6f61c,2020-04,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
f7dd19575a0432168dd5864867517591279fc2dd4f04e0e89adde158a538b7e6,2020-04,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
e90bdd094a0380464f7fb9bdc7a91b3ac6efd7131443e9a8e61d38e07849b698,2020-04,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
eeb17dbe952e14177421505d97935a437fe669715fa027021e8a36557ba8b71d,2020-04,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
53aa577e785150c90aa87fb612f8aeb727ace9905f6e4c8781d5f1dbacca9874,2020-04,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
541b9a897601b0893c0ea10c37965ba34467fe7a070e560f00ba43fce64b989e,2020-04,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
779374872879c56ecfd9a9b78217cc5bbc0a3ee0b891b1c2fab31fa378ef243a,2020-04,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
8b2f1dfad06d5cd104056e66f72d5a3edd11d9dee6a6a47ea9887766c4436bdb,2020-04,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
a5ba8e26168a47d51fdec270ebce38c8b712550b43da18f01b6b2400a1a1cbc7,2020-04,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
764cbdfbfdd40f92640256986ca8b822f7033062d69624a2eac7de0b69660161,2020-04,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
4a3436f234a233d5986ea76dfedb23ef0495ed118cc82f7cc97a67ca95e66f48,2020-04,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
b911d94ae41902c1559e27e289c4eb139198fe85f994e50245f05c19d4dac127,2020-04,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
b041695ea589e911ca7149ca61f9dd7712b965369a2d5f763084091977bc6ce8,2020-04,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
202fba83aeb128fd37136a2ba6192de0e2a5e8c910bbf6477268a0f710d4d408,2020-04,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
c051fe9d382285a108ff01aaad3765d084bc03b8df45f786347eb0e7177bf46c,2020-04,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
8968da226613dba1582041235e32da3f09e8d817565bf07b5a98ec423d4b431a,2020-04,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
ae4795c3c375a2b567fef0a2576a663787c577c99db73b8878f1a160d0fcda84,2020-04,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
634daaa3c37d346ec205849d6324f2e8d5d043656b34e80891dfdc30edc4e2b1,2020-04,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
