Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
97cbebbf7138674a1d2f4aef57d2d586e59a15173d2710c2c7a46c72f6cfb858,2020-05,Essex Police,Essex Police,1.286667,51.942543,On or near FERNDALE ROAD,E01021998,Tendring 001B,Suspect charged
29c6483f0eedb9c7decb3467acc216bd80f4ac3aad40113d8381546cd71d26a7,2020-05,Essex Police,Essex Police,0.425778,51.584380,On or near WALNUT CLOSE,E01021263,Basildon 010C,Unable to prosecute suspect
94494a83ce56e786251d8598e3b9ced352494c79226c8e52ca90feb9c9d58549,2020-05,Essex Police,Essex Police,0.567054,51.876036,On or near CHAPEL HILL,E01021368,Braintree 011A,Suspect charged
626e7f7d3808cd6e75e3e458df1ce40af3db832b4e1fff8d0af87296360caedd,2020-05,Essex Police,Essex Police,0.309168,51.487549,On or near SACHFIELD DRIVE,E01033612,Thurrock 020D,Unable to prosecute suspect
2abe100a0a8eed029dff99f053e05c7ece94e948bb6b4ded2c1940c649d189d8,2020-05,Essex Police,Essex Police,0.712186,51.548672,On or near KENWAY,E01015897,Southend-on-Sea 010C,Unable to prosecute suspect
30985fce01ca63212f08591980678864e186b702c3653950fca5324770c8b8cf,2020-05,Essex Police,Essex Police,0.471939,51.696677,On or near MORETONS,E01021554,Chelmsford 017C,Unable to prosecute suspect
8c2b29f289ea2cf40037c19f74a0971ace5b198a60a335d9fb665edb06bcb170,2020-05,Essex Police,Essex Police,0.656774,51.687046,On or near THE GLEBE,E01021903,Maldon 007G,Unable to prosecute suspect
389294844c85b6d9a45842e8ac5702db648a021d102e57e7657d49573d122cab,2020-05,Essex Police,Essex Police,0.587441,51.526858,On or near Park/Open Space,E01021494,Castle Point 008B,Unable to prosecute suspect
32e3b85a0d7429feabc139b528729f14c442dfb91f083075b82be2bf6f822add,2020-05,Essex Police,Essex Police,0.718530,51.538704,On or near GRANGE GARDENS,E01015841,Southend-on-Sea 014C,Unable to prosecute suspect
32634fa1ec11ca932611b4ffa7143978ab496dff623758a6bfb353b2b5ae2588,2020-05,Essex Police,Essex Police,0.657336,51.550791,On or near MANCHESTER DRIVE,E01015821,Southend-on-Sea 005B,Local resolution
713e85789a5f434efec4df5341f47a7ba1c461c454c414015859a279f546cfcf,2020-05,Essex Police,Essex Police,0.316135,51.474947,On or near ASTLEY,E01015953,Thurrock 017C,Unable to prosecute suspect
80a122c49d28dac4376dad290b65c391192e206a76c3bcd6c8ae87e67ef9660b,2020-05,Essex Police,Essex Police,0.608321,51.770601,On or near GREEN CLOSE,E01021396,Braintree 018D,Unable to prosecute suspect
7a00ca93e0a4efa4b102ea705dc45e5861991949f77ac9dc00d92eefa77e1fec,2020-05,Essex Police,Essex Police,0.691885,51.877364,On or near FABIANS CLOSE,E01021378,Braintree 014B,Unable to prosecute suspect
fb122d54cd91f8a0166724cd2558f3e193c38e6cc64ff8d99ab73590394d36af,2020-05,Essex Police,Essex Police,0.392632,51.583793,On or near B148,E01021261,Basildon 010A,Suspect charged
4ffcd72528f76adf4f5472eece6f60f4422ef4cad0ad70405408201fecfa718d,2020-05,Essex Police,Essex Police,0.679549,51.731622,On or near OLD MILL CLOSE,E01021890,Maldon 004B,Local resolution
97643443705e703d4c282d80b834db24affdb60f94f8dd031fca64b938c6d43b,2020-05,Essex Police,Essex Police,0.437294,51.514147,On or near BILLET LANE,E01015990,Thurrock 003D,Unable to prosecute suspect
6f340f414ec3eceb016194276ddb633af41258b0ac05db36c67a93965c8a21b9,2020-05,Essex Police,Essex Police,0.792587,51.538457,On or near Pedestrian Subway,E01015880,Southend-on-Sea 013E,Unable to prosecute suspect
17c7dcb92df763aae81919269c389efdb3d6a1143526a829a8f5ce67d292a798,2020-05,Essex Police,Essex Police,0.593675,51.574610,On or near ASCOT CLOSE,E01021509,Castle Point 002A,Unable to prosecute suspect
51312b431b6cd0b461121c8e098bdf19099887080c10fa77e18b9f07e793f4d1,2020-05,Essex Police,Essex Police,0.616531,51.591343,On or near VICTORIA ROAD,E01021961,Rochford 005E,Investigation complete; no suspect identified
723edf9ff50e979a048ef8eb586883504ebe5c9fa630eb9af3af1a0d0855fd85,2020-05,Essex Police,Essex Police,0.802146,51.880697,On or near LONDON ROAD,E01021654,Colchester 010A,Action to be taken by another organisation
