Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
d2bee2ae318efaeffb93d454251bd2c3590c61d20c8ac5e4c6970b7e9ae75a16,2020-05,Gwent Police,Gwent Police,-3.101834,51.612139,On or near TRINITY COURT,W01001411,Caerphilly 017A,Unable to prosecute suspect
c569906fc8fdb801e3a896a1c6cfd5ee528d64d6e0eaab6021203ddf305afe8e,2020-05,Gwent Police,Gwent Police,-2.995328,51.595845,On or near TETBURY CLOSE,W01001681,Newport 006B,Investigation complete; no suspect identified
16a257e80c57215fe772091561b01e44522920406d057fbf38c80bfc88a7b07d,2020-05,Gwent Police,Gwent Police,,,No location,,,Investigation complete; no suspect identified
9a35ed4e20ffb81de50093df0d57b786690f602797aecd23fd1b26666cd60c89,2020-05,Gwent Police,Gwent Police,-3.130909,51.723710,On or near UPPER ARAIL STREET,W01001476,Blaenau Gwent 009D,Investigation complete; no suspect identified
6a6a348ae2afd4d0204d0e20c1613a88e1f5d8061275fcb6e1721d9e9d65e102,2020-05,Gwent Police,Gwent Police,-3.195847,51.665160,On or near Bus/Coach Station,W01001350,Caerphilly 009C,Investigation complete; no suspect identified
3ac73e78004ae1bec533ed3cc4cff3c7790e25caed2a9e65b25127fc0c7cb6e6,2020-05,Gwent Police,Gwent Police,-2.704081,51.650032,On or near ITTON ROAD,W01001583,Monmouthshire 007B,Investigation complete; no suspect identified
831c01d08813e79c6d67760e414dfc94e6347ee18a1b8b2c693c15102050f499,2020-05,Gwent Police,Gwent Police,-3.131474,51.636692,On or near Pedestrian Subway,W01001329,Caerphilly 014C,Investigation complete; no suspect identified
f79fdbb003eac94a9be3f5ae030c3a46b2ee2ab66404a48c3c08010ab598bcb9,2020-05,Gwent Police,Gwent Police,-3.229667,51.791566,On or near BRYN-SERTH ROAD,W01001438,Blaenau Gwent 004A,Investigation complete; no suspect identified
9dda8d1e75bca91abefb1080b9d16f1cb0096d508669ff10c7bff12b56851557,2020-05,Gwent Police,Gwent Police,-3.197827,51.738539,On or near MAN-MOEL ROAD,W01001335,Caerphilly 005B,Investigation complete; no suspect identified
a6dd86165426f17de248facaed9c8e23e76a1a601cd49d5441a99b315b665832,2020-05,Gwent Police,Gwent Police,-2.887350,51.595623,On or near WALTWOOD ROAD,W01001649,Newport 004D,Investigation complete; no suspect identified
4841a009a046ca1aa29ed771e17bb44aec425f8c3d8b2f838be2da5c9cc364fc,2020-05,Gwent Police,Gwent Police,-2.950281,51.579755,On or near EASTMOOR ROAD,W01001646,Newport 015E,Investigation complete; no suspect identified
75815b4266fdc80500b3aeefa1c77d6695a655efb261f36fbf0d3d69159640b1,2020-05,Gwent Police,Gwent Police,-3.006292,51.577175,On or near GAER STREET,W01001686,Newport 014C,Investigation complete; no suspect identified
f2494b9b77f37ddda29a65c3465c40dc418ff2bc5189c8ddbd38f9d2e0a26ba8,2020-05,Gwent Police,Gwent Police,-3.224368,51.779042,On or near FIRTH ROAD,W01001457,Blaenau Gwent 004D,Investigation complete; no suspect identified
