Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
80cb0971f6c542edfb2caa721c13b888d60983f4f95756e7560fd3098a89c706,2020-05,Lancashire Constabulary,Lancashire Constabulary,-2.775573,53.901365,On or near ROPE WALK,E01025558,Wyre 007C,Local resolution
4ea916cce701fbce911d9125eab703f3ac4bbff41728a44b457e1b2a14354630,2020-05,Lancashire Constabulary,Lancashire Constabulary,-2.859825,54.072857,On or near HANOVER STREET,E01025136,Lancaster 006B,Formal action is not in the public interest
4441acebdf3e6a25dd4cacd4354994ad922f6f162afe69894daac0d89c7ba6da,2020-05,Lancashire Constabulary,Lancashire Constabulary,-2.991065,53.800171,On or near WINSTER PLACE,E01012687,Blackpool 014B,Unable to prosecute suspect
bdd45b0d3cb1262b164d987d2c6e597f177a54ac989798c7de715b89d1622763,2020-05,Lancashire Constabulary,Lancashire Constabulary,-2.854116,54.065726,On or near WISEMAN CLOSE,E01025170,Lancaster 010A,Suspect charged
266c0815cb3bda76cffaa128c7cd58a1779afb468ec0f714f32bb4139d9203bd,2020-05,Lancashire Constabulary,Lancashire Constabulary,-2.854116,54.065726,On or near WISEMAN CLOSE,E01025170,Lancaster 010A,Suspect charged
a508009d72b8bff553588c8d59137f48331de478c2d4793f67beee94034e5173,2020-05,Lancashire Constabulary,Lancashire Constabulary,-2.690727,53.764959,On or near CARROL STREET,E01025295,Preston 014A,Unable to prosecute suspect
c05dd3aba0a77a57f970a34ec7018ea4ceeebc44aa082cf4ca95a30b90b46428,2020-05,Lancashire Constabulary,Lancashire Constabulary,-2.601070,53.610745,On or near Sports/Recreation Area,E01024917,Chorley 014C,Unable to prosecute suspect
7c4d466352bd0cd073e70fd0fa969226c0054c9da7cc851f85fed544118c9e0b,2020-05,Lancashire Constabulary,Lancashire Constabulary,-2.233272,53.783377,On or near OXFORD ROAD,E01024906,Burnley 014B,Unable to prosecute suspect
cb2e2706850e31803dcc6218a760ca1d3e2a79fdf51cef2996dd48bf45ef5f17,2020-05,Lancashire Constabulary,Lancashire Constabulary,-2.751615,53.632904,On or near Sports/Recreation Area,E01024965,Chorley 011D,Suspect charged
cb2e2706850e31803dcc6218a760ca1d3e2a79fdf51cef2996dd48bf45ef5f17,2020-05,Lancashire Constabulary,Lancashire Constabulary,-2.751615,53.632904,On or near Sports/Recreation Area,E01024965,Chorley 011D,Suspect charged
cb2e2706850e31803dcc6218a760ca1d3e2a79fdf51cef2996dd48bf45ef5f17,2020-05,Lancashire Constabulary,Lancashire Constabulary,-2.751615,53.632904,On or near Sports/Recreation Area,E01024965,Chorley 011D,Suspect charged
5b7025176ed5e2c53e001b56480789bbc0205eb6ccb6f1f0b9a87208386c26cc,2020-05,Lancashire Constabulary,Lancashire Constabulary,-2.772318,53.542618,On or near AMBERGATE,E01025492,West Lancashire 013A,Suspect charged
d6ef4202c21bf507b67f5f554b8b2f172846cffedf00c1dec3b49737354a6a61,2020-05,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
43cf5141445b76a33746a879953cab00bcd7f561326d0c71597a995da17fddeb,2020-05,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
0dfea1bcc5cea3c86c10a4a5e198eb543a4a1e3a44200050fe369d8087bbb40a,2020-05,Lancashire Constabulary,Lancashire Constabulary,-3.045782,53.784165,On or near MAYFIELD AVENUE,E01012728,Blackpool 017B,Unable to prosecute suspect
4dc2ae8bdfb46a8a02170f049788e3f035dbe5321d572e3bf726d29db501f4d0,2020-05,Lancashire Constabulary,Lancashire Constabulary,-3.052173,53.820576,On or near QUEEN STREET,E01012681,Blackpool 006A,Suspect charged
e630353ff3a6213b2c7b35e89c950e532b84985c66d0a4c20619401851dddee2,2020-05,Lancashire Constabulary,Lancashire Constabulary,-2.460062,53.695204,On or near SUDELL ROAD,E01012646,Blackburn with Darwen 015B,Suspect charged
57a4db2ee96fac7ee77662e10f03a384f3dd337be5d0e2439bbcdf03b10325e8,2020-05,Lancashire Constabulary,Lancashire Constabulary,-3.032220,53.806673,On or near STRATFORD PLACE,E01012740,Blackpool 012D,Further investigation is not in the public interest
fb2659e5b7e9feeb56c1e87d07882dcff82988afd33ba34ec7920019aad80da6,2020-05,Lancashire Constabulary,Lancashire Constabulary,-2.629730,53.651495,On or near HALLIWELL PLACE,E01024940,Chorley 010D,Suspect charged
6b48c51c2b40f71dca644502e739e7bed0f7042b9463c417f71dbaed15b92690,2020-05,Lancashire Constabulary,Lancashire Constabulary,-2.485063,53.737062,On or near Parking Area,E01012596,Blackburn with Darwen 009B,Unable to prosecute suspect
f7c29e7385beede2d65c428cb17acb7961bdf9950b5b7e1a62d266984dd53126,2020-05,Lancashire Constabulary,Lancashire Constabulary,-2.881645,54.063325,On or near GRAFTON ROAD,E01025117,Lancaster 009C,Further investigation is not in the public interest
