Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
5a921c256760aba5eb0b5f3c4db42e3cfefcd991e60f934ed721dcd61df3f86d,2020-05,Northumbria Police,Northumbria Police,-6.041388,54.823400,On or near ,,,Investigation complete; no suspect identified
ef6a49afedd1e60dd0e7be62c57339a6952ccef94ccfb0026215b228b6f0919d,2020-05,Northumbria Police,Northumbria Police,-1.595717,55.293769,On or near LADYBURN WAY,E01027443,Northumberland 008A,Investigation complete; no suspect identified
c80a843d422044e3279c4bdd39dc7b06da9ca1cbb224ade3ed258e0705f1c13f,2020-05,Northumbria Police,Northumbria Police,-1.577226,54.976176,On or near CONYERS ROAD,E01008303,Newcastle upon Tyne 018A,Investigation complete; no suspect identified
8b66da3af059b80220cb51d87f4d1bff748a28a343fa57a1b6accb9e8b09d1a9,2020-05,Northumbria Police,Northumbria Police,-1.538821,54.984690,On or near MAURICE ROAD,E01008575,North Tyneside 030E,Suspect charged
af0b321aab97acd8866e0f08f73b89ca4a2644a2c091501ab8e6d972b6d21092,2020-05,Northumbria Police,Northumbria Police,-1.527871,54.989671,On or near Petrol Station,E01008572,North Tyneside 029A,Investigation complete; no suspect identified
4e35843ca72869afc256f72a057175fa18173d22dcbfbc89048cb318a7b63a56,2020-05,Northumbria Police,Northumbria Police,-1.438222,54.888023,On or near GAINSBOROUGH SQUARE,E01008733,Sunderland 021E,Suspect charged
a1f74874ea7c8cfae8163006f7668f279830a440213f5b06b05439bdc8401a2f,2020-05,Northumbria Police,Northumbria Police,-1.432143,54.876932,On or near MUNSLOW ROAD,E01008778,Sunderland 026D,Investigation complete; no suspect identified
34173e989ba6adf831afb4a57b88c098d210e7eb35cc57832d4671caeaa65e0e,2020-05,Northumbria Police,Northumbria Police,-1.549995,54.934256,On or near RICKGARTH,E01008285,Gateshead 018E,Investigation complete; no suspect identified
7fc253a56654f93d617a1da110cdfc407a8c3968647c1e34a3718773107df091,2020-05,Northumbria Police,Northumbria Police,-1.513545,54.912881,On or near Pedestrian Subway,E01008854,Sunderland 009B,Investigation complete; no suspect identified
7ac62fea3df5e4d1bce932d3a46e92e2d14be304d11409f907d9bd6813d7d90a,2020-05,Northumbria Police,Northumbria Police,-1.470202,54.969511,On or near STANHOPE ROAD,E01008601,South Tyneside 012A,Investigation complete; no suspect identified
beb2dfdd2d00c5c75de3386cc0a59bc52e24afd942281ae2e0df73cc15448ffd,2020-05,Northumbria Police,Northumbria Police,-1.687100,54.978673,On or near THORNTREE DRIVE,E01008415,Newcastle upon Tyne 025B,Investigation complete; no suspect identified
3d9cdc2709172cb7ad3b64206fc58b84bd0efb668c28dc77306f1dc3f7fc4793,2020-05,Northumbria Police,Northumbria Police,-1.572702,54.977023,On or near UNION ROAD,E01008392,Newcastle upon Tyne 026F,Suspect charged
910f7617eed1c2cc2a0477a3542d89f773d657f3157477a75a763b6865e6d6e2,2020-05,Northumbria Police,Northumbria Police,-1.572702,54.977023,On or near UNION ROAD,E01008392,Newcastle upon Tyne 026F,Suspect charged
bfa2a5b311df61d2757f4fc48c887ae1eb966ee4049485406909cb128453bc00,2020-05,Northumbria Police,Northumbria Police,-1.574914,54.934714,On or near Parking Area,E01008220,Gateshead 021B,Investigation complete; no suspect identified
4cb0a387c54117929638a81afc66f49c657ab12c6398ee9c30c62843d07d08dc,2020-05,Northumbria Police,Northumbria Police,-1.616721,54.974644,On or near Shopping Area,E01008397,Newcastle upon Tyne 024C,Investigation complete; no suspect identified
1e8114709ff18e35746025a14e0c998b89e6b9c8b5b53f86e8d3ec9a0013b9a7,2020-05,Northumbria Police,Northumbria Police,-1.381156,54.883585,On or near HALIDON ROAD,E01008780,Sunderland 024D,Investigation complete; no suspect identified
648e5ebcd32f8cf15d1051a8f2594af1490ddd57823f44b98c331e049b6273db,2020-05,Northumbria Police,Northumbria Police,-1.656971,54.968276,On or near MARYHILL CLOSE,E01008291,Newcastle upon Tyne 027D,Suspect charged
648e5ebcd32f8cf15d1051a8f2594af1490ddd57823f44b98c331e049b6273db,2020-05,Northumbria Police,Northumbria Police,-1.656971,54.968276,On or near MARYHILL CLOSE,E01008291,Newcastle upon Tyne 027D,Suspect charged
648e5ebcd32f8cf15d1051a8f2594af1490ddd57823f44b98c331e049b6273db,2020-05,Northumbria Police,Northumbria Police,-1.656971,54.968276,On or near MARYHILL CLOSE,E01008291,Newcastle upon Tyne 027D,Suspect charged
c11fd39511b78e74d4653262bb5f4f004679bfb9354e08137ee5b2fc66d94ce8,2020-05,Northumbria Police,Northumbria Police,-1.428396,54.991851,On or near ROBINSON STREET,E01008668,South Tyneside 002E,Investigation complete; no suspect identified
0179675ba1d2ad52ef579725c129e9fb778efe930ea1faf01adaf735bdb45364,2020-05,Northumbria Police,Northumbria Police,-1.641422,54.974441,On or near CALLERTON PLACE,E01008449,Newcastle upon Tyne 022D,Investigation complete; no suspect identified
ddc531f506814b9fa483c0fbe46ba78392447b3be867ce89a6cb5bb28539569c,2020-05,Northumbria Police,Northumbria Police,-1.641422,54.974441,On or near CALLERTON PLACE,E01008449,Newcastle upon Tyne 022D,Investigation complete; no suspect identified
b6d929de60d9eb044b41e6c6f6a749ec8ffd28d7ac9235a28c78227644519f82,2020-05,Northumbria Police,Northumbria Police,-1.597038,54.968200,On or near MILL ROAD,E01008166,Gateshead 027C,Investigation complete; no suspect identified
d92739d934410f64f3a9d94d8194ad9b89f9b6bab0d55301868a3ec14936fd9f,2020-05,Northumbria Police,Northumbria Police,-1.371190,54.917017,On or near HARELAW DRIVE,E01008791,Sunderland 006F,Suspect charged
014454a76fb4e8c879bae343a0de1ee8350160bff1036ab7d4fe289821670042,2020-05,Northumbria Police,Northumbria Police,-1.450790,54.914141,On or near ALMOND DRIVE,E01008696,Sunderland 008D,Investigation complete; no suspect identified
014454a76fb4e8c879bae343a0de1ee8350160bff1036ab7d4fe289821670042,2020-05,Northumbria Police,Northumbria Police,-1.450790,54.914141,On or near ALMOND DRIVE,E01008696,Sunderland 008D,Investigation complete; no suspect identified
014454a76fb4e8c879bae343a0de1ee8350160bff1036ab7d4fe289821670042,2020-05,Northumbria Police,Northumbria Police,-1.450790,54.914141,On or near ALMOND DRIVE,E01008696,Sunderland 008D,Investigation complete; no suspect identified
