Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
1eaab0b44ab7622e40f4a6ffdf0bb4a5ae09061832bbff5bd329ecac21ed8770,2020-06,Cleveland Police,Cleveland Police,-1.178535,54.550157,On or near THURSBY DRIVE,E01012150,Redcar and Cleveland 021B,Unable to prosecute suspect
d98f123f6c6f79f85b57c794776599481bdb9de24438022bbbfbf9fc9ceab110,2020-06,Cleveland Police,Cleveland Police,-1.242586,54.661987,On or near FIFE GROVE,E01011978,Hartlepool 012D,Suspect charged
e9315b4bc0e5df5baa7a64680dedeeb00ef6581ed3273387cc769f5409810d54,2020-06,Cleveland Police,Cleveland Police,-1.247942,54.572564,On or near GARRETT WALK,E01012041,Middlesbrough 003F,Unable to prosecute suspect
44f40f707bda284df7c6a2982d999f80f1f129dd0099c12c9b0bbc7e785ce16d,2020-06,Cleveland Police,Cleveland Police,-1.327082,54.562030,On or near NORFOLK STREET,E01012217,Stockton-on-Tees 016B,Unable to prosecute suspect
fda26503bdc5291d8f105785dc18a588de3a56a546f9e0c6cd67c00faf10a9b9,2020-06,Cleveland Police,Cleveland Police,-1.236892,54.580304,On or near Middlesbrough Police HQ,E01033468,Middlesbrough 001G,Unable to prosecute suspect
03b58e9747ec4d7984d3f542e774012e1a240130fa221ff2bcb407d7c73a7740,2020-06,Cleveland Police,Cleveland Police,-1.236892,54.580304,On or near Middlesbrough Police HQ,E01033468,Middlesbrough 001G,Unable to prosecute suspect
c53dd8549222096d784316d56852b8eec1f2d991185802566055d27bd36f4742,2020-06,Cleveland Police,Cleveland Police,-1.341644,54.536488,On or near YARM ROAD,E01012270,Stockton-on-Tees 021F,Unable to prosecute suspect
dc6d60fe9f5b800e23ca42cdcca086a7cf3db64926918834e200758b4822fcb2,2020-06,Cleveland Police,Cleveland Police,-1.048612,54.542618,On or near BROMPTON AVENUE,E01012119,Redcar and Cleveland 018C,Unable to prosecute suspect
469351568c979a360a44e85052b3244b4598bbce0048b033ba2c9e277cd39ee9,2020-06,Cleveland Police,Cleveland Police,-1.222896,54.554773,On or near BELVEDERE ROAD,E01012020,Middlesbrough 011C,Unable to prosecute suspect
3f364dabc0529fbbe19c44c4bff1d7cbdc8c74de0edac43d913067a6d312bcfb,2020-06,Cleveland Police,Cleveland Police,-1.266835,54.555820,On or near NEWBURY AVENUE,E01012011,Middlesbrough 008A,Unable to prosecute suspect
41dc65b708a26b7f84799f6d71338a493d2219605e1fe72d00a4f1be3eef8ba4,2020-06,Cleveland Police,Cleveland Police,-1.279255,54.633659,On or near STOCKTON ROAD,E01011968,Hartlepool 014D,Investigation complete; no suspect identified
b8a7a5a3ba7488646ae3b82a26bc5da56282b0aa049bc8b02f7b1c364ead2ffa,2020-06,Cleveland Police,Cleveland Police,-1.300182,54.603082,On or near ST CUTHBERT'S AVENUE,E01012197,Stockton-on-Tees 002A,Unable to prosecute suspect
eada50c140cce8292f1e111f724cce57eeb284a318e8051871ed7c50a1e93bfa,2020-06,Cleveland Police,Cleveland Police,-1.269814,54.618460,On or near Pedestrian Subway,E01012216,Stockton-on-Tees 003E,Unable to prosecute suspect
3d79173af5d36af27bf8f5de8748d37880d606a4724f2e6112d9e3aef3c7d283,2020-06,Cleveland Police,Cleveland Police,-1.320211,54.565110,On or near PETCH STREET,E01012267,Stockton-on-Tees 014F,Investigation complete; no suspect identified
6c05d934d492d37c15b6d82dbd9ea2cd9a4bbdea518395598895fda5e6776bd1,2020-06,Cleveland Police,Cleveland Police,-1.214741,54.686254,On or near Police Station,E01011974,Hartlepool 005B,Unable to prosecute suspect
f9e964862d55290e920bff25e9521f6eba61999f93fab332c7eb4a37e948186d,2020-06,Cleveland Police,Cleveland Police,-1.320211,54.565110,On or near PETCH STREET,E01012267,Stockton-on-Tees 014F,Investigation complete; no suspect identified
d9002648d573213696ed394756f263ce63e09874dffb173186973fc4ab7ff469,2020-06,Cleveland Police,Cleveland Police,-1.219092,54.675354,On or near HARROW STREET,E01011950,Hartlepool 008A,Unable to prosecute suspect
11337c27beb5ce2f3eadf174deee9cf5271e9b09b3507c0a3576d96e07f7044b,2020-06,Cleveland Police,Cleveland Police,-1.328997,54.592344,On or near FIRBY CLOSE,E01012212,Stockton-on-Tees 006C,Unable to prosecute suspect
6cfffa4b225162b300a07e4bc4cf6713895f6146408051319667b6dd68af1c57,2020-06,Cleveland Police,Cleveland Police,-1.218082,54.693196,On or near HURWORTH STREET,E01033466,Hartlepool 003I,Suspect charged
f87c58e207b0a370835089f5c00fe250c7e3fbdbdcea8575bad33fbbf746f43d,2020-06,Cleveland Police,Cleveland Police,-0.984393,54.562245,On or near CONISTON ROAD,E01012165,Redcar and Cleveland 012D,Formal action is not in the public interest
92aa79ba08f85258f2d6f6e4ba08d0a25c7dae8bb70b6e6e28db437a2092cfa8,2020-06,Cleveland Police,Cleveland Police,-1.225485,54.556848,On or near BARNARD COURT,E01012018,Middlesbrough 011A,Suspect charged
