Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
17abdefa5ba5cf738974d462daec7c7afda76e3566c86aa02a28de3713ff05c6,2020-06,Gwent Police,Gwent Police,-2.948539,51.584139,On or near GIBBONS CLOSE,W01001609,Newport 015B,Investigation complete; no suspect identified
a872846d9d2180c29cc202d5e88553a36a053d4c25ffb803daf771a9be7b964e,2020-06,Gwent Police,Gwent Police,-3.063613,51.732179,On or near STONY ROAD,W01001484,Torfaen 002C,Investigation complete; no suspect identified
38af990c5f17d53d30293c75626cdf5f0a6945962b234d1a29a2b8206267da4d,2020-06,Gwent Police,Gwent Police,-3.214357,51.579774,On or near Supermarket,W01001373,Caerphilly 022C,Investigation complete; no suspect identified
dbe6110f98a51aea5c4df6cb46483a4bc111fd5a16432889513e8f84bce37bcd,2020-06,Gwent Police,Gwent Police,-2.909567,51.664157,On or near GLANYNANT,W01001565,Monmouthshire 006D,Investigation complete; no suspect identified
232cfea5187a288a2f262a2a6233f89d87f6cac54af00bab9c7f0f04e25c3481,2020-06,Gwent Police,Gwent Police,-3.136099,51.736679,On or near Parking Area,W01001455,Blaenau Gwent 008F,Investigation complete; no suspect identified
e45f01da10dd90615869b1ab21a27457b67a0c16eb7979f1e87bdbc74e046356,2020-06,Gwent Police,Gwent Police,-2.853210,51.574998,On or near BARELAND STREET,W01001573,Monmouthshire 011B,Investigation complete; no suspect identified
4496b100efd726daad994511cb2006d349cf4d22a0b1e7f12903f2fc77217dd5,2020-06,Gwent Police,Gwent Police,-3.227228,51.621461,On or near DAN-Y-DARREN,W01001366,Caerphilly 019A,Investigation complete; no suspect identified
530840d803b24341b3c55c6cc35a00f2651f939d009e0c97a9a44ccaeaa36cf3,2020-06,Gwent Police,Gwent Police,-2.689291,51.810614,On or near GOOD NEIGHBOURS LANE,W01001599,Monmouthshire 004F,Investigation complete; no suspect identified
13ba2f36df8b0caa8c338d183eea2d03128f6263d747b6e72f93914119b5f94b,2020-06,Gwent Police,Gwent Police,-2.935418,51.594594,On or near DRAKE CLOSE,W01001663,Newport 008C,Investigation complete; no suspect identified
38b4185b357ba23b90f296afa8b8af688dedbd7e33cde782a248005a6b937c3c,2020-06,Gwent Police,Gwent Police,-3.280051,51.746438,On or near STATION STREET,W01001406,Caerphilly 001D,Investigation complete; no suspect identified
821de5dcd9856857b08d49d3319458bfeabe06e0cbcd288e14c6ac6185aeeafc,2020-06,Gwent Police,Gwent Police,-3.214474,51.797604,On or near GREENFIELD CRESCENT,W01001442,Blaenau Gwent 001C,Investigation complete; no suspect identified
564d839451acec7e132f051dac0f2c7daab3287d146ee98e044737b71dbeb998,2020-06,Gwent Police,Gwent Police,-3.135988,51.699914,On or near RAILWAY STREET,W01001466,Blaenau Gwent 009C,Investigation complete; no suspect identified
13122fff962fd0fa8e898d0c81ca0517ff240fcedc41e79208cc8d4550125a96,2020-06,Gwent Police,Gwent Police,-3.197656,51.657005,On or near ST RHIDAN CLOSE,W01001403,Caerphilly 011C,Investigation complete; no suspect identified
1d839db3b239408256cef4235d57dc9597e6873d3f9c061928aa33e946f1bc1e,2020-06,Gwent Police,Gwent Police,-2.993638,51.595158,On or near WHEELER STREET,W01001681,Newport 006B,Investigation complete; no suspect identified
162e7256909152bed86caf9bcbceac8ee405303ff7e6e59f7b9a51826e658164,2020-06,Gwent Police,Gwent Police,-3.221665,51.585336,On or near PONTYGWINDY ROAD,W01001373,Caerphilly 022C,Investigation complete; no suspect identified
60d1880e4ac316fa4eb295c6a2508bd7a0209e46d06486f7ef5cf27f0021423d,2020-06,Gwent Police,Gwent Police,-3.032675,51.680376,On or near ASHGROVE CLOSE,W01001518,Torfaen 006E,Investigation complete; no suspect identified
117c7f62bf654bb1e727398299c703ec73deec070a4dc9a1b7c42cf3aed9b95d,2020-06,Gwent Police,Gwent Police,-2.962115,51.581106,On or near DOWNING STREET,W01001648,Newport 015G,Investigation complete; no suspect identified
b3da0c8c81f77c50d6d44cbbb41e81df730e12592cfbfe9e710a436c1a376f25,2020-06,Gwent Police,Gwent Police,-2.911875,51.602647,On or near OLD LANGSTONE COURT ROAD,W01001639,Newport 004A,Investigation complete; no suspect identified
68ddb4d4150623d6314d889c433fe2a3914cb212695f6a2c9d4b523f458de396,2020-06,Gwent Police,Gwent Police,-3.185905,51.660945,On or near Bus/Coach Station,W01001403,Caerphilly 011C,Investigation complete; no suspect identified
