Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
07763ac09dcf37056ce2abf5d6f789b675db6862095a642a6036633bc4fc26f2,2020-06,Humberside Police,Humberside Police,-0.358750,53.767934,On or near Supermarket,E01012868,Kingston upon Hull 015B,Investigation complete; no suspect identified
4f375c4815066c58328937503aef9f2a4985f6cb43f0e4d7911c772c34a41150,2020-06,Humberside Police,Humberside Police,-0.370282,53.743614,On or near ANLABY ROAD,E01012859,Kingston upon Hull 030A,Investigation complete; no suspect identified
fc69d357668f39fc68e9f2a8b8fbd80b6b0e1a7a9adc215b0b650b034d68743e,2020-06,Humberside Police,Humberside Police,-0.315005,53.785773,On or near ST IVES CLOSE,E01012790,Kingston upon Hull 004D,Investigation complete; no suspect identified
c60f265d3950a1596978b52a2c3e7ef3244af9f42e57de8137225314148b2286,2020-06,Humberside Police,Humberside Police,-0.390552,53.730620,On or near HUNTINGDON STREET,E01012888,Kingston upon Hull 031E,Action to be taken by another organisation
d5baf3af19c7a719bb8c9ca42ac43d40567f1d4cd8f6e0c1bcd26e7eb96c0976,2020-06,Humberside Police,Humberside Police,-0.126478,53.553354,On or near BLAYDON GROVE,E01013229,North East Lincolnshire 013E,Action to be taken by another organisation
ef522316076d07c4a70a1dee179fffb4993f51fa2ebe37b84b72490ca01dc9e7,2020-06,Humberside Police,Humberside Police,-0.296483,53.747990,On or near Prison,E01012848,Kingston upon Hull 020B,Action to be taken by another organisation
b69d4a7392685b1ce8400e05a7dfd9facae7c752ae57bdcd2b621e7b19478b9f,2020-06,Humberside Police,Humberside Police,-0.422504,53.746119,On or near DAWNAY DRIVE,E01013106,East Riding of Yorkshire 043E,Action to be taken by another organisation
973b29dc4b94af6125e4c81b7924a3c2138b934e98c236c6e6daab755b72342d,2020-06,Humberside Police,Humberside Police,-0.489741,53.740298,On or near PRIORY CLOSE,E01013091,East Riding of Yorkshire 035D,Action to be taken by another organisation
1e00aa0043d95c54cdba9454322570a5b439d3e672623a227987891e669c8ad2,2020-06,Humberside Police,Humberside Police,-0.336071,53.790436,On or near HARTLAND CLOSE,E01012785,Kingston upon Hull 002B,Action to be taken by another organisation
6e9f5978570332417445b27d5bc97e62553d5fbeb2022ed403e026e4dae448c0,2020-06,Humberside Police,Humberside Police,-0.347078,53.754892,On or near SOPHIA CLOSE,E01012857,Kingston upon Hull 024D,Action to be taken by another organisation
33c69d63ddf36220cdca8fac2176229719f2c9de3039543760e5d3586495466d,2020-06,Humberside Police,Humberside Police,-0.397832,53.745289,On or near ARCON DRIVE,E01012777,Kingston upon Hull 028E,Action to be taken by another organisation
0f506d62c1203c363d8284b097f247a37ce7f6293b8bcbe2e90fe518e425754a,2020-06,Humberside Police,Humberside Police,-0.436352,54.009432,On or near EASTHOLME CLOSE,E01012979,East Riding of Yorkshire 045B,Action to be taken by another organisation
c3705fb313d6a1f1954f1794d067b3e8ecb1508983647b4ba38d0da02f46b9c9,2020-06,Humberside Police,Humberside Police,-0.358954,53.742057,On or near REGENT CLOSE,E01012855,Kingston upon Hull 029D,Further investigation is not in the public interest
cbed92509101f3883bf3eb0aff1ca1d4e59503e6b6e6d83b980c6a075a78d708,2020-06,Humberside Police,Humberside Police,-0.677781,53.572603,On or near SWINBURNE LANE,E01013278,North Lincolnshire 016A,Further investigation is not in the public interest
276562a9920683d8dc732f4874b9a3c36ecbc32730a90171bcd87cb70f86b160,2020-06,Humberside Police,Humberside Police,-0.302412,53.758556,On or near SAVERY STREET,E01012902,Kingston upon Hull 022D,Further investigation is not in the public interest
9ad3a108f2508d0f046fd36fa02a9e7a4d5af9735790a94348c0511b706ccceb,2020-06,Humberside Police,Humberside Police,-0.202236,54.075661,On or near TRAFALGAR CRESCENT,E01012951,East Riding of Yorkshire 005D,Further investigation is not in the public interest
ff93ee15cd89e830840aecf449688a1f5af22764117a60031f807d57482e1b5d,2020-06,Humberside Police,Humberside Police,-0.680032,53.598264,On or near Petrol Station,E01013302,North Lincolnshire 007C,Further action is not in the public interest
ee466099e1fdd94d09b53148759e83427836b5c6394c7afca45c7341cf71e9c1,2020-06,Humberside Police,Humberside Police,-0.312971,53.892768,On or near EAST STREET,E01012926,East Riding of Yorkshire 014B,Further action is not in the public interest
86b6e1b4c2356857a6dc4c30bc7e5652fa2737c9f8d06d6637320157154c4dd2,2020-06,Humberside Police,Humberside Police,-0.262558,53.766713,On or near AMETHYST ROAD,E01012836,Kingston upon Hull 009C,Further action is not in the public interest
e7c8ab4e2a3ecad5720b8eae0302d20cdcf4d935b2d6ba92814cb4a44affa701,2020-06,Humberside Police,Humberside Police,-0.368149,53.739962,On or near CARRINGTON STREET,E01012892,Kingston upon Hull 030D,Further action is not in the public interest
bb230fa334036205b323a5ff0ea8bac7fe24bc6a98401740487ed10633f813d1,2020-06,Humberside Police,Humberside Police,-0.386576,53.731537,On or near DORSET STREET,E01012888,Kingston upon Hull 031E,Further action is not in the public interest
41df12f530f47b5598b1891e2e144f875a8d9205aee566a1c7d54868fe2565ec,2020-06,Humberside Police,Humberside Police,-0.373347,53.734136,On or near CANOPIAS CLOSE,E01012889,Kingston upon Hull 030B,Offender given a caution
879438dc41c8f4b44492d75c377a8572fba85805abf0b979d59ff83851a51165,2020-06,Humberside Police,Humberside Police,-0.352157,53.764248,On or near Petrol Station,E01012872,Kingston upon Hull 015E,Offender given a drugs possession warning
b7d79209a9046230e6217d8332d9723c0561b375e6c3a30019df582777b5f287,2020-06,Humberside Police,Humberside Police,-0.348839,53.747500,On or near SPRING STREET,E01012851,Kingston upon Hull 029A,Offender given a drugs possession warning
6637afd4aa6fec7834d12f963232f77ab4b412fd2a9fbc2d95dd472e27971332,2020-06,Humberside Police,Humberside Police,-0.629982,53.562806,On or near WESTERDALE ROAD,E01033296,North Lincolnshire 018F,Local resolution
8d725a68ca1a764e052ee093214c30959e32306bc8fa613ef1c707550551a09a,2020-06,Humberside Police,Humberside Police,-0.103132,53.563639,On or near MORTON ROAD,E01013233,North East Lincolnshire 008D,Local resolution
0c6dbe03e6b50136ad60832fab86715a5869cb6c50d3ac7e004f0366e3716736,2020-06,Humberside Police,Humberside Police,-0.374698,53.741570,On or near ARTHUR STREET,E01012864,Kingston upon Hull 027D,Local resolution
9126366274f143f6a609220722df7defbfdf0c1602c819e4e69f5157b86fdd32,2020-06,Humberside Police,Humberside Police,-0.389598,53.778195,On or near BAINTON GROVE,E01012874,Kingston upon Hull 008B,Local resolution
afe5b47e26ace876af3dbc128d638caf17535faa69693ce8f1c36164196a5115,2020-06,Humberside Police,Humberside Police,-0.358164,53.765058,On or near GOULDESBOROUGH COURT,E01012868,Kingston upon Hull 015B,Local resolution
255e085c3fb25f87894b70385aa284975c67e70d26163aa9627e8899c94daacc,2020-06,Humberside Police,Humberside Police,-0.407984,53.754737,On or near PRIMROSE DRIVE,E01012802,Kingston upon Hull 023D,Local resolution
6156435594fc76bb7bf98cd8645f9902662ba205319bdfae90462bc4c2ce7ab1,2020-06,Humberside Police,Humberside Police,-0.169686,53.774033,On or near NUTTLES LANE,E01013028,East Riding of Yorkshire 031A,Local resolution
89a2473819ac29f3ce76d5514c6958824759a04e5829994b89aacc3ead5a637c,2020-06,Humberside Police,Humberside Police,-0.159030,53.909914,On or near SOUTH PROMENADE,E01013049,East Riding of Yorkshire 012C,Local resolution
357d030ba975e15d3b013de23e462a675ff06abfc130c9cb60636248ea8c0690,2020-06,Humberside Police,Humberside Police,-0.492810,53.551313,On or near Parking Area,E01013272,North Lincolnshire 011E,Local resolution
116066e7d1a7ad38d92a294c5dbddf940d7f81a11e11d9b7e69632cc4f8ac3fc,2020-06,Humberside Police,Humberside Police,-0.094808,53.567417,On or near BEMROSE WAY,E01013221,North East Lincolnshire 003D,Local resolution
ad10dfb70656755e9723b9c93b8ba2436a981d869b95299d63508c914e6fd8ba,2020-06,Humberside Police,Humberside Police,-0.367646,53.788533,On or near COUNTESS CLOSE,E01012768,Kingston upon Hull 005C,Local resolution
a63cf387131ec524bbd1c07dc6c9bb7b6a9e33ca8f06bc5c17622bb26d2314a1,2020-06,Humberside Police,Humberside Police,-0.208314,53.591600,On or near STALLINGBOROUGH ROAD,E01013173,North East Lincolnshire 007A,Local resolution
7756988eb370d4e320eafd9819900ac9937d8b7c24eb789d4452597d669c26a5,2020-06,Humberside Police,Humberside Police,-0.352922,53.772609,On or near DESMOND AVENUE,E01012767,Kingston upon Hull 012B,Unable to prosecute suspect
2784045d8f0e9ecb8ab57279b8ed00066bb257424a0518567f5d80258e0f95a2,2020-06,Humberside Police,Humberside Police,-0.376215,53.788334,On or near Parking Area,E01012875,Kingston upon Hull 003A,Unable to prosecute suspect
