Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
f0846da243164909d7dc160e3b1592a095348c3c657ea7598e86b79569d8e4ee,2020-06,South Yorkshire Police,South Yorkshire Police,,,No location,,,Offender given a caution
74b7a04118cc9ee9adac468fb24f3d10f85619dd5d01da2bd214e50e3374bab1,2020-06,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
5005e23fadf2d7d340c65da9b82c2f1c940ce454c10eb4baf729993d8e554441,2020-06,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
b2f9b1a5eee9de7bde5860a42fa8bfd33e3476eca9f203fb388974e0f779c6e8,2020-06,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
4addadb2c5467d5b872176f6cb79b4382b9c095335de0aaba53c4dd67471d791,2020-06,South Yorkshire Police,South Yorkshire Police,,,No location,,,Suspect charged
ca7bf2e017f21d63d41b48efc22b603e849dbd135bd2a090b3809d9c60fde014,2020-06,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
b32354ca3003785b974905c0fbeae456b8fbc2509d68b2be72d6a6abe40935d8,2020-06,South Yorkshire Police,South Yorkshire Police,-1.154768,53.509005,On or near GRANGE VIEW,E01007494,Doncaster 023A,Investigation complete; no suspect identified
ab769737dbd96eb08de3f923e5998e737a9fb7b0237324d7a6baa1c6fa5c3cf1,2020-06,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
9b316fe60e5ace3a1835bfba813f04a07047f770225336bb51b57ad5622ea7ea,2020-06,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
c8e12c8650869b648e0503b19473c984921cca456bead0877c9c7ee75e44972e,2020-06,South Yorkshire Police,South Yorkshire Police,-1.490109,53.395150,On or near PRIMROSE HILL,E01008157,Sheffield 026D,Unable to prosecute suspect
c8e12c8650869b648e0503b19473c984921cca456bead0877c9c7ee75e44972e,2020-06,South Yorkshire Police,South Yorkshire Police,-1.490109,53.395150,On or near PRIMROSE HILL,E01008157,Sheffield 026D,Unable to prosecute suspect
c8e12c8650869b648e0503b19473c984921cca456bead0877c9c7ee75e44972e,2020-06,South Yorkshire Police,South Yorkshire Police,-1.490109,53.395150,On or near PRIMROSE HILL,E01008157,Sheffield 026D,Unable to prosecute suspect
684c567b87a0c8f2b87cf421dd93f8612f35f84da5f3210b866095fae1815ef3,2020-06,South Yorkshire Police,South Yorkshire Police,-1.491405,53.378535,On or near Parking Area,E01007860,Sheffield 036B,Investigation complete; no suspect identified
d98c807e24b7e92f966541badc90d175c3c2cafaa87c26ade219aa84b1a14fac,2020-06,South Yorkshire Police,South Yorkshire Police,-1.491053,53.386597,On or near TAY STREET,E01008067,Sheffield 030D,Investigation complete; no suspect identified
8c09ea2ca1c015b26bfd463b890890d3b9791ba6961e7283eadd6dc4543ad130,2020-06,South Yorkshire Police,South Yorkshire Police,-1.440700,53.379765,On or near SAUNDERS ROAD,E01007886,Sheffield 075F,Suspect charged
046799785cff52f6175537aeb97f97351ad3e0124418c70fce21580ca1913dbc,2020-06,South Yorkshire Police,South Yorkshire Police,-1.440700,53.379765,On or near SAUNDERS ROAD,E01007886,Sheffield 075F,Suspect charged
52c6e1bef40c25c774cab777d62bef3f7b3bd3178507c5c1a5a58cba3c87ddbc,2020-06,South Yorkshire Police,South Yorkshire Police,-1.471292,53.318996,On or near BOWSHAW VIEW,E01008084,Sheffield 070D,Investigation complete; no suspect identified
ad82d731c3005694c8e14757c3daf2e398ed2436ffb8573db57e2d2d5587f202,2020-06,South Yorkshire Police,South Yorkshire Police,-1.440700,53.379765,On or near SAUNDERS ROAD,E01007886,Sheffield 075F,Suspect charged
f92acfb7c82357a54348a34afe126c34c1d02f43d3b54522ba9a461bff4bc5f3,2020-06,South Yorkshire Police,South Yorkshire Police,-1.458030,53.392986,On or near BRUNSWICK ROAD,E01033269,Sheffield 022G,Suspect charged
5a48860f90a07c2fad12d9526ee5ed7fb8628c785c75cdd0d7061a4848753216,2020-06,South Yorkshire Police,South Yorkshire Police,,,No location,,,Action to be taken by another organisation
9419abbcec4cef08032a417c0c07ce20991dba88c4d276d4b653c4fa55c96f81,2020-06,South Yorkshire Police,South Yorkshire Police,-1.395901,53.443564,On or near WARRIS CLOSE,E01007807,Rotherham 011E,Action to be taken by another organisation
1d0f1ae3a15924d63eaeb1ae558b6730fe24a872e7995adda2f8d9cd6da661ba,2020-06,South Yorkshire Police,South Yorkshire Police,-1.464429,53.322786,On or near Supermarket,E01008082,Sheffield 070B,Investigation complete; no suspect identified
bfd3416d740ea7de3573843103957d8b8b7a230b9d4ae2d6f99f75f64a5a1cd5,2020-06,South Yorkshire Police,South Yorkshire Police,-1.408574,53.386280,On or near CATCLIFFE ROAD,E01007907,Sheffield 032A,Investigation complete; no suspect identified
a18144e1a5788f5c606638e572fa33e3d81bfd28a84bfcb7359ad5881e6bb1f8,2020-06,South Yorkshire Police,South Yorkshire Police,-1.298257,53.496234,On or near Sports/Recreation Area,E01007577,Doncaster 031F,Investigation complete; no suspect identified
cbe08f9e6c95644ba9422e6526292afad29b772bc308be46004f30f672ea267f,2020-06,South Yorkshire Police,South Yorkshire Police,-1.071560,53.536756,On or near HARRIS ROAD,E01033260,Doncaster 014F,Investigation complete; no suspect identified
751e272963b136e4790a17d34484cf10e1cc9ec4723c00fdaae0f8f75adcb49e,2020-06,South Yorkshire Police,South Yorkshire Police,-1.306116,53.496829,On or near HIGHWOODS CRESCENT,E01007574,Doncaster 031D,Investigation complete; no suspect identified
7534bd55d5e9dec8d412dc435b56c4c38cefd0ad96e5cf0d457c82643426d053,2020-06,South Yorkshire Police,South Yorkshire Police,-1.498391,53.384030,On or near SPRING HILL,E01008066,Sheffield 028B,Investigation complete; no suspect identified
e69b77c5856208508be11349b619af04ac67ca9f683beaa6c6dafc62da7595e4,2020-06,South Yorkshire Police,South Yorkshire Police,-1.503093,53.566274,On or near THE CRESCENT,E01007381,Barnsley 012C,Investigation complete; no suspect identified
8edb961a76e77a135b18ad7fb1a2690946722d4be88e18c0c076ffe765ddbb25,2020-06,South Yorkshire Police,South Yorkshire Police,-1.125274,53.525817,On or near ST VINCENT ROAD,E01007648,Doncaster 019D,Investigation complete; no suspect identified
d5ab8ab8d35e86e6d7761216d5111f67c396c446f6ad481c030e3898d32fb957,2020-06,South Yorkshire Police,South Yorkshire Police,-1.487851,53.372785,On or near VICTORIA ROAD,E01008104,Sheffield 036E,Investigation complete; no suspect identified
52acc94ac3b5711225fe72b4c4848aad1c9343cddc2ca8cd4e0112e2125ebf45,2020-06,South Yorkshire Police,South Yorkshire Police,-1.407983,53.407256,On or near Park/Open Space,E01007913,Sheffield 018C,Investigation complete; no suspect identified
5f298cd757b78284d4cb259540601d42fc07ea0ab1ddfaaf193c99b03389d099,2020-06,South Yorkshire Police,South Yorkshire Police,-1.407983,53.407256,On or near Park/Open Space,E01007913,Sheffield 018C,Investigation complete; no suspect identified
dd3ce1a8df99036ecc1391136e3a4021322d6046b0c0b2123f29b4a5188a1e7c,2020-06,South Yorkshire Police,South Yorkshire Police,-1.109257,53.530733,On or near Hospital,E01007567,Doncaster 018D,Investigation complete; no suspect identified
fbbc725befdc801057349aecf2249c9ff417c5345208ed313bd981fe2ae3c48e,2020-06,South Yorkshire Police,South Yorkshire Police,-1.368858,53.367560,On or near FLOCKTON CRESCENT,E01007972,Sheffield 044C,Unable to prosecute suspect
b0ca6e75dcf4ecd8afe190f2bcc714176b65eaffcbaa0218bffdfe4073994151,2020-06,South Yorkshire Police,South Yorkshire Police,-1.355440,53.495765,On or near NEWHILL ROAD,E01007822,Rotherham 002F,Investigation complete; no suspect identified
e7706321c7deb1e77e41770f5dcd032cf49e4c804b91bdc59e83a6ab8c77632b,2020-06,South Yorkshire Police,South Yorkshire Police,-1.468978,53.389305,On or near Theatre/Concert Hall,E01033270,Sheffield 022H,Investigation complete; no suspect identified
b6e47a83556109160ddc335b8bfb65ca6b4bfe1b73e5424a17b938052a9ec85a,2020-06,South Yorkshire Police,South Yorkshire Police,-1.136918,53.522963,On or near Parking Area,E01007645,Doncaster 022E,Investigation complete; no suspect identified
7cd5d4e9a65d3a2a89694c8e9517d386dc1725bf1f42a03002f2e8a4a6790fe5,2020-06,South Yorkshire Police,South Yorkshire Police,-1.408529,53.592216,On or near HIGH GATE WAY,E01007331,Barnsley 003B,Investigation complete; no suspect identified
096a8a62b9256f7abf0d5029363f40bcc5e936118e586b54eb2cf2b517016559,2020-06,South Yorkshire Police,South Yorkshire Police,-1.136918,53.522963,On or near Parking Area,E01007645,Doncaster 022E,Investigation complete; no suspect identified
df9fe3e4377c51c71e1be360410e6b1004fc459781f5e68ace0193f6eac950c3,2020-06,South Yorkshire Police,South Yorkshire Police,-1.456121,53.456599,On or near BURN GROVE,E01007891,Sheffield 004D,Investigation complete; no suspect identified
c29c032a395b8f64220f4e7297734d6f7acf440f685febd67158493fc9da5b03,2020-06,South Yorkshire Police,South Yorkshire Police,-1.451339,53.383571,On or near ST JOHN'S ROAD,E01007885,Sheffield 075E,Investigation complete; no suspect identified
08514aec173f2e232c5fdf98b555a8f83035eab20ff45f90506feda1e8eab437,2020-06,South Yorkshire Police,South Yorkshire Police,-1.369164,53.366150,On or near FLOCKTON ROAD,E01007972,Sheffield 044C,Investigation complete; no suspect identified
5a21e1fd959a31595feb05273d36eed869596936e592347cf52bc7ec79f176b3,2020-06,South Yorkshire Police,South Yorkshire Police,-1.425597,53.389455,On or near BRAY STREET,E01007905,Sheffield 027C,Investigation complete; no suspect identified
a698ea8402eb35ad2acf44adb34443d051d0e99bc8d65f32737e14cbd35f5086,2020-06,South Yorkshire Police,South Yorkshire Police,-1.357242,53.431345,On or near Shopping Area,E01007714,Rotherham 017B,Investigation complete; no suspect identified
050fcc941dcb25776bb6b170bdfe9d19da320f69e4b779161ab3daa7a2fb8411,2020-06,South Yorkshire Police,South Yorkshire Police,-1.499044,53.370586,On or near WIGFULL ROAD,E01007863,Sheffield 036C,Investigation complete; no suspect identified
31060eb75bb94fc9bc228aa4f721a5ef96bc6ad8444964b94070f278ecf51f8b,2020-06,South Yorkshire Police,South Yorkshire Police,-1.071282,53.494930,On or near BESSACARR LANE,E01007606,Doncaster 027D,Investigation complete; no suspect identified
6e8e3f700e258eff035369de67b929b8545ac29ce3d978afd096316659609fa1,2020-06,South Yorkshire Police,South Yorkshire Police,-1.264702,53.319925,On or near CARVER WAY,E01007753,Rotherham 033E,Investigation complete; no suspect identified
c30759c0a4e6d59f70db5702ace5043e4ed5f214c43fe881b7d80e3b671ef553,2020-06,South Yorkshire Police,South Yorkshire Police,-1.216232,53.485145,On or near MILNER GATE,E01007620,Doncaster 020D,Investigation complete; no suspect identified
97a42067c46d509ae6c1182de73007ccab17cbd11a9784d59b956e4256f40f4a,2020-06,South Yorkshire Police,South Yorkshire Police,-1.489150,53.554252,On or near BUCKDEN ROAD,E01007443,Barnsley 013F,Investigation complete; no suspect identified
f20c9ef1aa657fe8f1d686742028d4ccd7e73c5c41f381321ebc12b6d7082903,2020-06,South Yorkshire Police,South Yorkshire Police,-1.322137,53.409946,On or near COTSWOLD CRESCENT,E01007811,Rotherham 024A,Investigation complete; no suspect identified
a886d53e0d8826d78e1973b97c8874e631e81e99b450b548ce6c3da836fc7139,2020-06,South Yorkshire Police,South Yorkshire Police,-1.061342,53.502762,On or near TATENHILL GARDENS,E01007604,Doncaster 024D,Investigation complete; no suspect identified
110a44e2cd3eb4392d3c03552df87af943834005d2fda03a5c5ea3cc66ba5a59,2020-06,South Yorkshire Police,South Yorkshire Police,-1.020445,53.583557,On or near NORWOOD ROAD,E01007563,Doncaster 006F,Investigation complete; no suspect identified
a450c993bb19ee0a9593c73523dd6c4978f7166e44533ee4a36c1899813e69d2,2020-06,South Yorkshire Police,South Yorkshire Police,-1.193168,53.569638,On or near TENTER BALK LANE,E01007464,Doncaster 009A,Investigation complete; no suspect identified
5dffcd0ce37f81329b7d04dbc9eb60a55c10bad0a541ebe430b07178341b650a,2020-06,South Yorkshire Police,South Yorkshire Police,-1.491823,53.395166,On or near GRAMMAR STREET,E01008157,Sheffield 026D,Investigation complete; no suspect identified
6f818b005b3123e77ffcc13cd9e38f2ea2a8fcfdc5c328e3ee96ab8e60b16a8e,2020-06,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
d1abef0556231c6e622906d8696d05d738f8ee0463fbe9f0d690158db6e56bbc,2020-06,South Yorkshire Police,South Yorkshire Police,-1.478134,53.436158,On or near COPPIN SQUARE,E01008125,Sheffield 009G,Investigation complete; no suspect identified
19860955a1ee53ee9b869d270fc2169639d37c21ec9e71f658a9d72df9dd91cb,2020-06,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
