Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
6de4ca78779bd5c97248ea7466990c77ea114cb4e5713c79e8cc08c2cef31ddd,2020-07,Derbyshire Constabulary,Derbyshire Constabulary,-1.294752,52.960424,On or near THURMAN STREET,E01019658,Erewash 006A,Unable to prosecute suspect
9c3f290e3a174f1245f4bd828fe06bccbdc781abe8ea14b1a980dc39a97055e8,2020-07,Derbyshire Constabulary,Derbyshire Constabulary,-1.434100,53.223049,On or near MELLING CLOSE,E01019578,Chesterfield 013D,Unable to prosecute suspect
ec04c07e928da9753370a05a819528a53332ae99e063d2539071df65f2431e8e,2020-07,Derbyshire Constabulary,Derbyshire Constabulary,-1.431647,52.885943,On or near FOLKESTONE DRIVE,E01013500,Derby 028D,Unable to prosecute suspect
342baf007943c05972c5cb464cf4adff216de5cff2765ec0c9bdb8d33b1897a9,2020-07,Derbyshire Constabulary,Derbyshire Constabulary,-1.422476,53.266608,On or near DANBY AVENUE,E01019574,Chesterfield 001E,Unable to prosecute suspect
0634a1c359052b11824c809a32f011b05d5a8b29f97c50d3a40d43c35d980239,2020-07,Derbyshire Constabulary,Derbyshire Constabulary,-1.537591,52.770069,On or near ROSE HILL,E01033536,South Derbyshire 012D,Investigation complete; no suspect identified
517e513d535bc2fb2c3da16f817515c9e0b1a3e969fd9909ce56a81fdd353c22,2020-07,Derbyshire Constabulary,Derbyshire Constabulary,-1.530296,52.924497,On or near THAMES CLOSE,E01013549,Derby 009B,Unable to prosecute suspect
f02326b95f0937dc842cf7eeca9967ebf81961ec7ec64dbec7dde35e4b58a7a7,2020-07,Derbyshire Constabulary,Derbyshire Constabulary,-1.328113,52.959529,On or near BRAEFIELD CLOSE,E01019669,Erewash 007D,Unable to prosecute suspect
3a779432d62a4e37666075101eaf48dc81211d9f5cf8a3c58e061b9a3872e17c,2020-07,Derbyshire Constabulary,Derbyshire Constabulary,-1.402305,53.273448,On or near ALBERT ROAD,E01019529,Chesterfield 003B,Unable to prosecute suspect
8a0e200b50198266f3fbf29643e6e3dd3bc7ef0a3bbf6f81a5e8594a157feea0,2020-07,Derbyshire Constabulary,Derbyshire Constabulary,-1.413736,53.189701,On or near SUNNINGDALE PARK,E01019824,North East Derbyshire 010C,Unable to prosecute suspect
723e9a99950a96024188dd2b26126670eb8c566b1277ec77f7e23a9f74b50c13,2020-07,Derbyshire Constabulary,Derbyshire Constabulary,-1.413736,53.189701,On or near SUNNINGDALE PARK,E01019824,North East Derbyshire 010C,Unable to prosecute suspect
1482ef7fa94283f0af675082d3addf463650d8a4f3c622af1696f09748e9fdfa,2020-07,Derbyshire Constabulary,Derbyshire Constabulary,-1.559235,52.771149,On or near ALEXANDRA ROAD,E01019877,South Derbyshire 009B,Unable to prosecute suspect
11c83e081412632f2dc264c1bcb9344a5d0b82a1db936a492079d92e487771d9,2020-07,Derbyshire Constabulary,Derbyshire Constabulary,-1.472445,53.017825,On or near BULLFINCH CLOSE,E01019418,Amber Valley 011C,Investigation complete; no suspect identified
6db98b1fdd72567848eebd50d4e26cc8c102761798c9893842f0a1365ee5b148,2020-07,Derbyshire Constabulary,Derbyshire Constabulary,-1.413736,53.189701,On or near SUNNINGDALE PARK,E01019824,North East Derbyshire 010C,Unable to prosecute suspect
2a86f49d37b5833682bb6ba9035941c3712eb44bf24081de7261fc8d56476947,2020-07,Derbyshire Constabulary,Derbyshire Constabulary,-1.496883,53.297543,On or near ASHFORD CLOSE,E01019794,North East Derbyshire 005D,Unable to prosecute suspect
8c314008c0e5da48233c0f21ada583554565288460cd9fd05254995bc8046c4e,2020-07,Derbyshire Constabulary,Derbyshire Constabulary,-1.955623,53.444641,On or near WREN NEST TERRACE,E01019738,High Peak 003A,Local resolution
90294c1471f5300ffd85182e37ac45d2ed11eb49d1b29f8e7a89f0b80824dbd2,2020-07,Derbyshire Constabulary,Derbyshire Constabulary,-1.947754,53.439901,On or near GLADSTONE STREET,E01019768,High Peak 003F,Unable to prosecute suspect
c3c03d2967f40616e0f3f2b315454f475f4a2d9ef3e5a90874bafa2d4fe50c30,2020-07,Derbyshire Constabulary,Derbyshire Constabulary,-1.538103,53.138399,On or near OVERDALE,E01019625,Derbyshire Dales 006D,Unable to prosecute suspect
