Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
f33a13662070d08900a672139595c1ed5b04065379bef792384e81fc3dfa5590,2020-07,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Investigation complete; no suspect identified
c10e0b141346fbf2e2acfcc601f7814247e83769eaac71678a0270a86fe9dfd2,2020-07,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Investigation complete; no suspect identified
19cadb4174a842e329a610f757d681342888c01c4066f8fe38905ba813e7e021,2020-07,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Investigation complete; no suspect identified
58a711dd8c7abf7138aaa599515831b7493e59e08cfa0bf9e92e3a1313e02b71,2020-07,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Unable to prosecute suspect
d901e75367d92e4957f85d4a29072c5b0a569e93ef0e0482b477ce5d5276ac43,2020-07,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Further investigation is not in the public interest
1381da97b85b52e894cc098c25df3e3017d01502a55fca9f4b1fa2ee988fb271,2020-07,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Unable to prosecute suspect
b96542d4a665da2e5ca6cf073505a098e52acd432f91447a68e735c7e76c2f9b,2020-07,Dyfed-Powys Police,Dyfed-Powys Police,-3.432604,52.675487,On or near MAESYLLAN,W01000452,Powys 004B,Investigation complete; no suspect identified
dca6d79896d57559b50b06f00d206b65903451294b9913cf29419e244e4a9801,2020-07,Dyfed-Powys Police,Dyfed-Powys Police,-3.759571,51.778551,On or near COMMERCIAL STREET,W01000502,Powys 021C,Suspect charged
9ad3f1f95d303f6e79a9592a78463c146b8e7a73984de895fd68f404bb6ff80a,2020-07,Dyfed-Powys Police,Dyfed-Powys Police,-3.980427,52.488366,On or near DOL PISTYLL,W01000523,Ceredigion 001C,Unable to prosecute suspect
abc39922485d71d03429e3ff17e484716e32148d10344ad6d0e589059642212b,2020-07,Dyfed-Powys Police,Dyfed-Powys Police,-3.142436,51.856330,On or near NEW ROAD,W01001904,Powys 018G,Formal action is not in the public interest
b8b82fec9f9e4ec8a8a3f97aad3ec96f166064922d542225e04cc4f5c500bc46,2020-07,Dyfed-Powys Police,Dyfed-Powys Police,-3.380839,52.241025,On or near HIGH STREET,W01000454,Powys 013A,Suspect charged
