Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
cbf32b6dc14e31c1ad25c2a5633495fe8b7022abcc51f19fea80c7ca9eae5086,2020-07,Staffordshire Police,Staffordshire Police,-2.186063,53.003089,On or near LONDON ROAD,E01014345,Stoke-on-Trent 019E,Unable to prosecute suspect
44b92398a27324bdf7cfc4299f5fbfd2c1cf93a114ad0eef2a56b80decb77979,2020-07,Staffordshire Police,Staffordshire Police,-2.097177,52.990395,On or near THE MOAT,E01014363,Stoke-on-Trent 024A,Suspect charged
aaadefd6a60d2ad3aa751a0b840cb3961378115752a6a2cd18c48df6f3a7c55b,2020-07,Staffordshire Police,Staffordshire Police,-2.020032,52.655298,On or near ANSON CLOSE,E01029640,South Staffordshire 005C,Unable to prosecute suspect
aaadefd6a60d2ad3aa751a0b840cb3961378115752a6a2cd18c48df6f3a7c55b,2020-07,Staffordshire Police,Staffordshire Police,-2.020032,52.655298,On or near ANSON CLOSE,E01029640,South Staffordshire 005C,Unable to prosecute suspect
4997c10752ac1f42276a2498494b4d69b04fa7909a398cc2b7f128933c8f56ad,2020-07,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
8f0ccd26c97492545baa417a94f22a341a1e17dc4208d9f04bf05b71ae41f2c7,2020-07,Staffordshire Police,Staffordshire Police,,,No location,,,Further investigation is not in the public interest
250e188eb783ad3ce1bcfe1c0435a8bfdb9d4ffc0c2eb9a44502986adc17140f,2020-07,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
d713de04689ad5109fc0d452b7fe43a311f660e535232d51275c25ca3a38f26c,2020-07,Staffordshire Police,Staffordshire Police,-2.013612,53.105746,On or near EAST STREET,E01029806,Staffordshire Moorlands 001B,Unable to prosecute suspect
912db89407da3edabb61d1081b880c9a3058f27be4136cf8962bafbfffff0f6d,2020-07,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
299b3c2be760325a05349bcec9f5c1e1d7a78890e5d2d6564bed92c1793986d6,2020-07,Staffordshire Police,Staffordshire Police,-2.122059,52.801596,On or near HOLLINS DRIVE,E01029736,Stafford 012B,Investigation complete; no suspect identified
ab26b56603f8a2a0eff67e1716dac428e46ecc4b89cafae5fccd384f02681ca2,2020-07,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
5d1d93180c8fbffd1c336ca444b1f7c641ce5e15bd9e3d867188b4ddc8218149,2020-07,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
cb7ba9c5dcf21b295c83148788a71fcc3ad1403041deca79bfe52b192aef88a5,2020-07,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
284c29d5d14f61dd386eb5b102211711e47d2c0e814f1220a2a4d96da515e159,2020-07,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
bd74e70dc0241a7484e2b677b32cab153904baeed67d4613b891160fd297c857,2020-07,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
25f98f3bef26fb8fd5e9dd0abff03537f15aff7702bcbb0cfa911b7f83252555,2020-07,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
1666e638daccf69490077a48443936af2bdce02ca013c56d93b50739d0e8b2ba,2020-07,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
de5070903ca4638efaddb28f58c989342dbb8899475ff50cdc4bff7d96fa3da1,2020-07,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
c8a460b8e3dfb6257a71af2a9391ff47ec531e3b676c89c8d1184f5cadc25869,2020-07,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
0f1d4c0d5ca206d762ebcf41e0962b58186a2d7a90e6ff2ef9a8e419f3b2cbbd,2020-07,Staffordshire Police,Staffordshire Police,,,No location,,,Formal action is not in the public interest
0f1d4c0d5ca206d762ebcf41e0962b58186a2d7a90e6ff2ef9a8e419f3b2cbbd,2020-07,Staffordshire Police,Staffordshire Police,,,No location,,,Formal action is not in the public interest
c91e0c9aa0add0a1e3951225333834c429b4fc6f0f3f218aea42cd88782c2d8e,2020-07,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
5a6bccd89703ae3bfca0d4de05e475a40b6915e0ed323ab61524fa739bd62077,2020-07,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
75f79e0312e6c3e003034de2c9e1f72d1d68bf8809dbd3951d911d18c76dcb4b,2020-07,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
0380452e3d71fdff4a017027e2c8af513891126f644d2be6a64ba033c169bf11,2020-07,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
7e8a55e51f11a1ee7843d8c7da6db110043df8c91a55851a4d7225873ad9613f,2020-07,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
81484f1364541e8cb184ffa83e15a621cc1293cb9ddfec228c63b87ccfe0790f,2020-07,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
680f0801ccc74a8c37d59f9d31749920991878084bf2368ac8b0fa8a0e6fca46,2020-07,Staffordshire Police,Staffordshire Police,-1.927863,52.671819,On or near AVON ROAD,E01029529,Lichfield 010D,Unable to prosecute suspect
ba9deefc10b0bf5f2cc45263df646b751361a8791f7bd1e43fc4ab8efd8d36fc,2020-07,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
31810783d438c2b5084afdd8a0fdd7c0976d2719aa4d2c95722dbae4641e6d71,2020-07,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
fdfd53a42e1839376094ba15743f2d194e28b878aa69d4bf04481e59ed735fb8,2020-07,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
d154511df561afeada27f02f523ff1845e3e8b9c63e9c5a7646890801438bd02,2020-07,Staffordshire Police,Staffordshire Police,,,No location,,,Further action is not in the public interest
a2a65fd2795e1a1a3aab32c311571de24609bc66bb0fad845878ecfcf7e712bb,2020-07,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
89236013421ee5f63ab215eb57bf0214527a25624623807baeedbc7800e36a85,2020-07,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
e15201ce9f32ef5e6ace401445d5557a3cc05a6a11a56ac859ce9b7d47c5d732,2020-07,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
0d7830403e098f813b75eaa8b2ae66b7f4ed2fa79e1f18f8d323341af1d58d75,2020-07,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
afdc3d1705975b28c6f53119414a0e205be469bafe94f54e20c4a91d50dacb76,2020-07,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
5e02b7336a26d4d5f5a8bacf121230787be7b9660a593ce702c148868d99befe,2020-07,Staffordshire Police,Staffordshire Police,,,No location,,,Offender given a caution
3fdc0a39b5917d0702f4b471b24f5ca67844cbe652a98a13cb2f4a21be943cad,2020-07,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
3a2e9a4237a8789b62b8857e6afa182a874e14e6170b5e5bbc98672439000705,2020-07,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
81d209d4ca9016ce78ce89d02bef16b4c655980da144b0821b03e1a932c716bb,2020-07,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
c411964f33cb185d702f98896841278a92a230935612949a219b27f3540fb2dc,2020-07,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
330444e136219e8551f1e5177a9ccb848bbeb04127ea9a5b4777a72371c92eed,2020-07,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
bd036da3b3e549f62a522947a8e610179919f500774b8c9372829ca151ae467c,2020-07,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
ed20f03cfbe5ffa076653a939e24f30a22d2df87b808ca654c74ec8fb747774e,2020-07,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
38589aea40d6d9bbde51f2fa39ebafac52d01f6981f35755e13c28c778dee264,2020-07,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
4a56e29efe17852db6b77dad442ebb17554097c0b04a425ca59dc7c6b7574889,2020-07,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
5e97d0ca7fcac633b83ccfc26af3a742291322194cf9c2ce242c05a08735d726,2020-07,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
aa7c0b4a0a481b0e4e60c5735c082fa2e808a96c2961dfa68eb3c5b0badd6d72,2020-07,Staffordshire Police,Staffordshire Police,-2.212819,53.062067,On or near MADISON COURT,E01014361,Stoke-on-Trent 005D,Investigation complete; no suspect identified
16932b2e4fcb58aabac23fd978cf50424ec1709c2018d958b15e43f8140ea39a,2020-07,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
fe89272286434ef2b79d9812fb6d294c197ebbd2e9c69e32a778d0c95002c3a1,2020-07,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
13d14947dd60d19b84dbae6c7ac5170a284ea71660002cf8ab863a70b7d2c719,2020-07,Staffordshire Police,Staffordshire Police,,,No location,,,Further action is not in the public interest
65efe8037aceaac23a9107e2e1a5e7f800c20c685369199db79c6ebe93743604,2020-07,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
341f294cae25753235e113d73324f3ff75afe86eb6b14b90f0a07d462616effb,2020-07,Staffordshire Police,Staffordshire Police,,,No location,,,Action to be taken by another organisation
5bf3f2bc5c17742bc164518f9fa61ff3b4337b8d440b95c34831b0833a4fa558,2020-07,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
b0b6d810c1392ecc7e6c88a8ab64dd7427c70b8c6733fb46f762858332814085,2020-07,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
375a6b95486094a646317338e3bfd2ad7d2b95105f32cff410a2ee7bb550d9f2,2020-07,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
9bf1b5cb0782dafc38ddd73804bb29cc836d6bb759a7200dd0681a31e02a218b,2020-07,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
45daf0b684832a80f3a136efac1f87f4e46cf3ebf7795154c1a39a3c439e2f9e,2020-07,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
bf42c8f5266838a151dce4140efd5dc3f2ac6972812c4083e19b841dd6b27efc,2020-07,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
5a35b165cf933119b1305b83125498336a1f48a6e99dda4c6f4216459d95fbfc,2020-07,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
7b80592811021ef6a6a3dc1d9c314673dc2f7b2f850943dda01593bb15f968e3,2020-07,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
820608de91df49e1fd397c1d134605f0f02606e5f29e9df994bdd117e56bb9e5,2020-07,Staffordshire Police,Staffordshire Police,,,No location,,,Further action is not in the public interest
756a617758836cda34bf9dc060c8d163d155a599c50dff2edaaebd200b9893a3,2020-07,Staffordshire Police,Staffordshire Police,,,No location,,,Formal action is not in the public interest
a560659284301e69ee9a1543e37cbbae93b863718fb62866bff7350a7df3575e,2020-07,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
861ca07167222eda6e137b58c193c9d636bfe2e4fdf2eb70236deca877d115d1,2020-07,Staffordshire Police,Staffordshire Police,,,No location,,,Local resolution
82cbbc79f648a68e4e4abcd9a24d0a15ce495bfe7b3e5c82bf29ad11f1ba4157,2020-07,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
456f5eafff55c1c1c73ded470088f11050a6928c283c9534333bd1f022668470,2020-07,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
721565c473832c49c85551ba3f79f7f30af58a828613582c8355da5467ea128b,2020-07,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
51118e5c9524b765d00a249836f85cc6e3f3660339e77a14762ffece27094656,2020-07,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
d26225c75b5497bc41bee2876ae87f31ace2524ff56fd8e8996b32f889f43e77,2020-07,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
c073982e4a671b44d32ac29b255f947e56057bc8269ad1063d6bc9a0756f004f,2020-07,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
b88c52f6b6b9b1d3e9df2c1045402e8a2d39e9abc30b36a46a3c42354a42993e,2020-07,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
3e9bb4f5733609fd02c45427dbf9fc51c734607cdb329db28dc1a480376add5f,2020-07,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
1e676907a93f37c3b74207633dce18e2168a0207d4275d0a22785adfe3511eb1,2020-07,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
d87b24430c58c103e0d763d8b72ca8fc98dbda4f263d19dd8d8125a4bc1763fe,2020-07,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
74d9f0e84c64257274f6ecaf4063d1a75d47246699ae09719eef47c9e1293e90,2020-07,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
30b69ff4270cf95aa76af8d23240e5373345d2767c3e484d5e1e0c6e2cba7625,2020-07,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
1823faaccdecfb865b5aa667a116537fc86c0c1b153d48970a3d1492b9330ac2,2020-07,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
09224baf91a4b7ea9b09fe897a4d06c92f2091d0ccc1c9fd8180fd00c40c8149,2020-07,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
4e9262da05ad25e1cf1dfb8e7eb50fd38d1c36a5e14d5a39a6bb85b86df870e4,2020-07,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
d0c9b90a2a49252548e7e705eb48e74fc49e7bb25ba03a5f2fa628b740005e8d,2020-07,Staffordshire Police,Staffordshire Police,-1.824434,52.682427,On or near Shopping Area,E01029526,Lichfield 004E,Investigation complete; no suspect identified
c55f230b02364cf2a5ff8bec5dbb3c6fcf1db2bce3c80de94a25db94ba02e30f,2020-07,Staffordshire Police,Staffordshire Police,-2.029812,52.688171,On or near Supermarket,E01029360,Cannock Chase 012B,Unable to prosecute suspect
d2845fb80085b60a82328a7bcc5b5f33da0b90730fcc68e2278a3970e9005790,2020-07,Staffordshire Police,Staffordshire Police,-2.192858,53.046343,On or near Shopping Area,E01014251,Stoke-on-Trent 009C,Local resolution
d2845fb80085b60a82328a7bcc5b5f33da0b90730fcc68e2278a3970e9005790,2020-07,Staffordshire Police,Staffordshire Police,-2.192858,53.046343,On or near Shopping Area,E01014251,Stoke-on-Trent 009C,Local resolution
85a982d5097540d90b37416bf9b360a9cec31cefc191503f1ac0dac042cb5103,2020-07,Staffordshire Police,Staffordshire Police,-1.727312,52.643893,On or near HELMINGHAM,E01029847,Tamworth 001B,Unable to prosecute suspect
b76434cf60494e8bb6c636d43cf4bb05367add2f1605f939aaa9ca7a99dddf9c,2020-07,Staffordshire Police,Staffordshire Police,-2.209750,53.060077,On or near Parking Area,E01014355,Stoke-on-Trent 005B,Investigation complete; no suspect identified
ccad09960dab2b05c58228d52b1e7bb7b995cd1c242440c9321e000c0d270481,2020-07,Staffordshire Police,Staffordshire Police,-2.226757,53.011118,On or near Shopping Area,E01029604,Newcastle-under-Lyme 011E,Unable to prosecute suspect
ccad09960dab2b05c58228d52b1e7bb7b995cd1c242440c9321e000c0d270481,2020-07,Staffordshire Police,Staffordshire Police,-2.226757,53.011118,On or near Shopping Area,E01029604,Newcastle-under-Lyme 011E,Unable to prosecute suspect
c54cc8e9850c60e8ff1f7c82bb9ef14eb7cc57a9d325f3cd11b881dda338f9d9,2020-07,Staffordshire Police,Staffordshire Police,-2.302207,53.054502,On or near Parking Area,E01029532,Newcastle-under-Lyme 005A,Action to be taken by another organisation
b26bb7b4e0ce1dbee0a5040cf3b9f6ef4ba1b45f80543c3c449e015ac03b7a94,2020-07,Staffordshire Police,Staffordshire Police,-2.222240,53.008079,On or near GROSVENOR GARDENS,E01029602,Newcastle-under-Lyme 011C,Formal action is not in the public interest
b26bb7b4e0ce1dbee0a5040cf3b9f6ef4ba1b45f80543c3c449e015ac03b7a94,2020-07,Staffordshire Police,Staffordshire Police,-2.222240,53.008079,On or near GROSVENOR GARDENS,E01029602,Newcastle-under-Lyme 011C,Formal action is not in the public interest
e40007979be7788c00e420df8cea70b2e77a057cb03edd62079dedbb8c00ef57,2020-07,Staffordshire Police,Staffordshire Police,-2.215889,53.034420,On or near COBDEN STREET,E01029609,Newcastle-under-Lyme 008D,Unable to prosecute suspect
e40007979be7788c00e420df8cea70b2e77a057cb03edd62079dedbb8c00ef57,2020-07,Staffordshire Police,Staffordshire Police,-2.215889,53.034420,On or near COBDEN STREET,E01029609,Newcastle-under-Lyme 008D,Unable to prosecute suspect
9ba4b4952c9fe97a433a2516aaf11abf6857f0675c4bcd1438071bcb15c7de33,2020-07,Staffordshire Police,Staffordshire Police,-1.702216,52.639707,On or near SPENSER CLOSE,E01029850,Tamworth 002D,Unable to prosecute suspect
031438c3ff5b73401765b1b1ba403bd0e9c648759ed52a8b6e8d5cea386c1781,2020-07,Staffordshire Police,Staffordshire Police,-1.629688,52.821452,On or near BARKER ROUND WAY,E01029428,East Staffordshire 008C,Investigation complete; no suspect identified
87c57133e492eee57457c53c78cc8a073a73b8fb7f973e2813c7bef7c47122d8,2020-07,Staffordshire Police,Staffordshire Police,-2.227416,52.989111,On or near RIVERSMEAD,E01029591,Newcastle-under-Lyme 014C,Unable to prosecute suspect
87c57133e492eee57457c53c78cc8a073a73b8fb7f973e2813c7bef7c47122d8,2020-07,Staffordshire Police,Staffordshire Police,-2.227416,52.989111,On or near RIVERSMEAD,E01029591,Newcastle-under-Lyme 014C,Unable to prosecute suspect
0400db5a978c0d0e2c2aa036fdefe21d48f62127248e1e6f17ec56a26feae6b4,2020-07,Staffordshire Police,Staffordshire Police,-1.653421,52.832069,On or near TUTBURY ROAD,E01029466,East Staffordshire 004F,Investigation complete; no suspect identified
7b5fe0b53cfcdbc27c57230672faebc8e130c294878167eb8e4fd5e9a7f5a00b,2020-07,Staffordshire Police,Staffordshire Police,-1.625952,52.807318,On or near WETMORE ROAD,E01032896,East Staffordshire 011F,Investigation complete; no suspect identified
2a193d1309bbfd6297ac0939db855e33b786590dc9181594ca2e83c15450d774,2020-07,Staffordshire Police,Staffordshire Police,-2.233858,53.026260,On or near COPPICE VIEW,E01029552,Newcastle-under-Lyme 006D,Investigation complete; no suspect identified
62537bbb405cc345f44b1322b49eb9fc9ad14885d2dd9d0ba309ffd38665f81d,2020-07,Staffordshire Police,Staffordshire Police,-2.190430,53.020153,On or near KILNDOWN CLOSE,E01014281,Stoke-on-Trent 015A,Investigation complete; no suspect identified
2b29ec6facc16432f620eccabf1bea187e2aee3ce22b96dd1e109cfc5d15dfb8,2020-07,Staffordshire Police,Staffordshire Police,-1.642441,52.822588,On or near HORNINGLOW ROAD NORTH,E01029434,East Staffordshire 007A,Unable to prosecute suspect
2b29ec6facc16432f620eccabf1bea187e2aee3ce22b96dd1e109cfc5d15dfb8,2020-07,Staffordshire Police,Staffordshire Police,-1.642441,52.822588,On or near HORNINGLOW ROAD NORTH,E01029434,East Staffordshire 007A,Unable to prosecute suspect
04cdae643c9eb333af64d96d874e0e68a5da945bc6af3fbcd55e676452fd4d33,2020-07,Staffordshire Police,Staffordshire Police,-2.118795,53.077705,On or near CLAY LAKE,E01029776,Staffordshire Moorlands 008C,Investigation complete; no suspect identified
82a8c3d968228ec0ac4a789f45143b7ced4715f9638785824e730349ba378b81,2020-07,Staffordshire Police,Staffordshire Police,-1.654802,52.633115,On or near LINDERA,E01029824,Tamworth 003D,Suspect charged
82a8c3d968228ec0ac4a789f45143b7ced4715f9638785824e730349ba378b81,2020-07,Staffordshire Police,Staffordshire Police,-1.654802,52.633115,On or near LINDERA,E01029824,Tamworth 003D,Suspect charged
82a8c3d968228ec0ac4a789f45143b7ced4715f9638785824e730349ba378b81,2020-07,Staffordshire Police,Staffordshire Police,-1.654802,52.633115,On or near LINDERA,E01029824,Tamworth 003D,Suspect charged
1b36cd8c3334dfda9b85925b9b1cfbd0aa9dd83a8e658101a8a03e38ef200602,2020-07,Staffordshire Police,Staffordshire Police,-2.141871,52.982224,On or near DUNDEE STREET,E01014311,Stoke-on-Trent 027C,Unable to prosecute suspect
