Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
c475ce7cc6494e76726d7a1abf80c65a23a781b93f37dddb50c9eeef2192817f,2020-07,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Unable to prosecute suspect
d8e9bd65985c2000f0dc3099a3ea6429f14ea40023aba622154a4361715d09ed,2020-07,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Unable to prosecute suspect
6bcb0461a990c1af0b0bd2a545e0664c9635181fd501660afacbb30ad80ab453,2020-07,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Investigation complete; no suspect identified
38ecf4e688b09d38af6ceb5e3e25a9e235aeb3799d9ef3bd9f351d573d2ddc28,2020-07,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Local resolution
1d322ece35d02667fa91cc9e5ca4d5150ba4091643c05a2a56512e4daf2017ce,2020-07,Suffolk Constabulary,Suffolk Constabulary,1.197856,52.038871,On or near BADER CLOSE,E01033131,Ipswich 014G,Offender given a caution
ba0316a24b0e5f58179141c5d2ea92ce28adf9a952dc60ae67f9414931c3259a,2020-07,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Offender given a caution
969d1fc105ce39693d1499ab75df661bfa18eddb2e12f1af73042cd1f8af2a47,2020-07,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Unable to prosecute suspect
9a48a4593f278ec950568b05810fafdfff7c64efb5de09bb65a88b047ad12b6f,2020-07,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Unable to prosecute suspect
142587289011a13104828546d1de26e1f0b44382b5eb74310676a88ef62f1d41,2020-07,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Unable to prosecute suspect
115fbb8b728163a6b7d915489008e053d869b4691f24abdb286cba7b444314aa,2020-07,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Investigation complete; no suspect identified
3a385e9214e83ce66b5fe8824e43dc394db728b82034ba9fc644f37dd193b9d8,2020-07,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Suspect charged
ffcae2052acc49957474aa80f5ac47eeee06991f67b1d8e1eaf3b77611127f2d,2020-07,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Investigation complete; no suspect identified
b3f4ae4eb0eca52df534bbb22be959c7956899bd214153d02ec93fe53b58471e,2020-07,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Unable to prosecute suspect
81e082a1ffbb6e1a620dcfe424d0603a2d5383c501910a1bbb37fd3f7e50b26d,2020-07,Suffolk Constabulary,Suffolk Constabulary,1.175925,52.057840,On or near SPRING ROAD,E01029958,Ipswich 007A,Investigation complete; no suspect identified
555f4286c7533b33db20f2b1087a1e24b5fa0e5c0322d95f2ab24f70b502267f,2020-07,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Offender given a drugs possession warning
4403dc01042567ba9e6e0be7f59332726b01ddda01b1939413625b003201af64,2020-07,Suffolk Constabulary,Suffolk Constabulary,1.136378,52.081259,On or near BURKE CLOSE,E01030036,Ipswich 001E,Unable to prosecute suspect
bca60f72620d371cd8f709318c0d37b33fb3c207ee325863ed7902db9ff12dae,2020-07,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Investigation complete; no suspect identified
9e9fdcc8a7647a7bb9decc22f4acf71649a01e1b708361ab2fa61b8f10913ade,2020-07,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Investigation complete; no suspect identified
254a44d243700a8081d03dc20b8032a3498d8e6c394a57a647a501c3290792a8,2020-07,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Investigation complete; no suspect identified
f3a49cfd3aa286118ddec6499bac51f746c324a1ed6d1ad7be2818e4d7c1eac3,2020-07,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Unable to prosecute suspect
c01fedc2a0c57c502dd31c947d675ceeb068013d012e7d72e38fd3ee7a7178a2,2020-07,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Unable to prosecute suspect
c277a0da0dd0192210f9bb8e82923798d3213b6db52052ce5bc385d7e0b97056,2020-07,Suffolk Constabulary,Suffolk Constabulary,0.519759,52.419278,On or near MAYFIELDS,E01029944,Forest Heath 002E,Unable to prosecute suspect
703c2032d1c542387257cae1c8d4fc1ba396dec3289d0d142821d1cf7bec03b5,2020-07,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Suspect charged
b670ab9cd9ee196c9e91db18dd7098c24e874ee4724714deb352b7f0aefaf901,2020-07,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Unable to prosecute suspect
63bc87d6f2fcfe89feb3f98cb8ff8b37da3898ad26b9330dee26d3f51c46d04e,2020-07,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Investigation complete; no suspect identified
e0e05ee6d33617d69b50b70b67b35947313000fef9a3429240e25a702e127186,2020-07,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Suspect charged
75fc5ea7ca87c723b689cabf39fbb54e2b503ed40deec43890f89490c185ec5d,2020-07,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Investigation complete; no suspect identified
6d576b59a9f64d5976831917bb5ed48392269fc4a668daecdba8616c2e99ae8f,2020-07,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Investigation complete; no suspect identified
b5145f13f77a26cd66ada9dc2380bd6c931e542fea9f3f7f0ebd4e4bf2584464,2020-07,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Unable to prosecute suspect
b5145f13f77a26cd66ada9dc2380bd6c931e542fea9f3f7f0ebd4e4bf2584464,2020-07,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Unable to prosecute suspect
be64ed8151cac585dddd0fd098edb3a811c554474f10f3c359cd1690d2ea2385,2020-07,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Offender given a caution
88b33bdb79c95915d5e955dbd83884e0abfe1463e76985dd62ecb6377d2e17fb,2020-07,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Local resolution
