Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
c5c1347d211e069c229795b191dad46719f7a7f4ef94e4b85a459c9a9547f47a,2020-07,Thames Valley Police,Thames Valley Police,,,No location,,,Investigation complete; no suspect identified
22b6cc2ef28629c80c410c11d8408018e1bd5d4371bdff3fdb17b84bbb84b461,2020-07,Thames Valley Police,Thames Valley Police,,,No location,,,Investigation complete; no suspect identified
8210c01cc869b16f0dea0763b7a8fa50a49ff8b6d63e04fef8c43b9e2c79487e,2020-07,Thames Valley Police,Thames Valley Police,,,No location,,,Investigation complete; no suspect identified
07c59b5bd856c3029a1e808f4a415f54c4a8eb3d386cb57ffe94dc910b1fd5a3,2020-07,Thames Valley Police,Thames Valley Police,-0.717668,51.998701,On or near DURRANS COURT,E01033497,Milton Keynes 023E,Investigation complete; no suspect identified
5f4a90f7a98d91c57be617372387214803a13450618c7ef8ec7cfb0b64a07d15,2020-07,Thames Valley Police,Thames Valley Police,,,No location,,,Unable to prosecute suspect
6afae19c29ca83007b82728b00fb4ab5c2213b61b2628dd13d7823fa61f1ad25,2020-07,Thames Valley Police,Thames Valley Police,,,No location,,,Unable to prosecute suspect
13ba61cf5e67690025f217779e67bde57a40f64ac658184db60b6120846c8ad3,2020-07,Thames Valley Police,Thames Valley Police,,,No location,,,Unable to prosecute suspect
973f9cc73a550745c064a9bca7eb829e43e1f00185b2b66ed1ef5ba28d4fd61a,2020-07,Thames Valley Police,Thames Valley Police,,,No location,,,Unable to prosecute suspect
7fa0d03762617e9ed33d2499326afe28f4c3b17e10f10ef211e1528f35e8f1fa,2020-07,Thames Valley Police,Thames Valley Police,,,No location,,,Unable to prosecute suspect
f452faf89823d839741087de86646c9fa66717a72189298462495d2b7e18b2ee,2020-07,Thames Valley Police,Thames Valley Police,,,No location,,,Investigation complete; no suspect identified
9f656367c98b7bb04fcb5210f79d9bd32e26b6e0c01e0a73f8ac726f607bab65,2020-07,Thames Valley Police,Thames Valley Police,,,No location,,,Investigation complete; no suspect identified
d602c9a023ca822f9462ae04c5733bc96d1a17990f4e90e55565ab72c1e4c135,2020-07,Thames Valley Police,Thames Valley Police,,,No location,,,Offender given a caution
001bf0077c68e46e8ffd987a68129ffdc25325b0e81892fd787b0bcfa79b0d47,2020-07,Thames Valley Police,Thames Valley Police,,,No location,,,Investigation complete; no suspect identified
e53c648ea594f71237a7176d1cd29a1794d4df319d7651af9aefdf20c92fef25,2020-07,Thames Valley Police,Thames Valley Police,,,No location,,,Investigation complete; no suspect identified
