Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
e7665f6eb86ee5f3e0dc11456baebb08e758074c177186758d5f49a5a45fa5a6,2020-07,Wiltshire Police,Wiltshire Police,-1.626435,51.253638,On or near SPINNEY ROAD,E01031878,Wiltshire 041C,Suspect charged
ba69983a7ab9232d75491169d4b15c6a97175fae5b5647083d7a525ac9231ba5,2020-07,Wiltshire Police,Wiltshire Police,-1.779354,51.561746,On or near SPRING CLOSE,E01032714,Swindon 019E,Offender given a drugs possession warning
d101e895ba04a8d46629ebe779e33822e9ea0451f2d16b57be5f5a17df42b4a3,2020-07,Wiltshire Police,Wiltshire Police,-1.806608,51.072157,On or near WINDSOR STREET,E01032003,Wiltshire 055C,Suspect charged
23aec9bf021f194d88e53c019977822d65c993fb7e7ad54fe3184d6a7c1ae06e,2020-07,Wiltshire Police,Wiltshire Police,-1.754843,51.556779,On or near HELSTON ROAD,E01015540,Swindon 020C,Formal action is not in the public interest
23aec9bf021f194d88e53c019977822d65c993fb7e7ad54fe3184d6a7c1ae06e,2020-07,Wiltshire Police,Wiltshire Police,-1.754843,51.556779,On or near HELSTON ROAD,E01015540,Swindon 020C,Formal action is not in the public interest
23aec9bf021f194d88e53c019977822d65c993fb7e7ad54fe3184d6a7c1ae06e,2020-07,Wiltshire Police,Wiltshire Police,-1.754843,51.556779,On or near HELSTON ROAD,E01015540,Swindon 020C,Formal action is not in the public interest
72b328a65fc2aa4b82513faccb4de54a8ca713cd1279ecd894b0698817de81ad,2020-07,Wiltshire Police,Wiltshire Police,-1.796752,51.070737,On or near Supermarket,E01032014,Wiltshire 056A,Suspect charged
72b328a65fc2aa4b82513faccb4de54a8ca713cd1279ecd894b0698817de81ad,2020-07,Wiltshire Police,Wiltshire Police,-1.796752,51.070737,On or near Supermarket,E01032014,Wiltshire 056A,Suspect charged
fb5c45e5fde88d9f57398cd1ab93af37a4daee24bd4652e9a28462367cea25bb,2020-07,Wiltshire Police,Wiltshire Police,-1.743938,51.559498,On or near TAVISTOCK ROAD,E01015538,Swindon 016A,Suspect charged
303717d2e13d27bd55091a8d65256ed935e1fd2c6c7846e8010bbe3ce60a66a7,2020-07,Wiltshire Police,Wiltshire Police,-2.211521,51.322838,On or near UPPER BROAD STREET,E01032086,Wiltshire 031B,Suspect charged
