Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
404a1a144483351737356d54e2b03034faa40888fcbe191000e23172df21ff5f,2020-08,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Unable to prosecute suspect
90978c7f708fc603f4578e8c23e775d991306903147c043bf95051065c6fa48b,2020-08,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Unable to prosecute suspect
242991da8992f8c9c2e5098bd7cd08f8eea4249e5cec3fcec4ad52190a105f44,2020-08,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Suspect charged
0b149e2d171b3d238ff03051f84a88c955c9669a9cef6ac65d4250ffa53fe46c,2020-08,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Unable to prosecute suspect
e9fb586aa938e30fdcf711bc9611a4a60534da958a3285c7eade75a023ae84bb,2020-08,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Investigation complete; no suspect identified
8e470b79d981a9c7fee91922be96f442c53df8fb7a228e3d39d9229548128c64,2020-08,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Investigation complete; no suspect identified
068124483110657ef99d06e6910003bc67fb975a9fbd499520a5425bd3820c88,2020-08,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Unable to prosecute suspect
2133fba31c7957552aba2ec53d6d3398b0e422a40ad6e6b33cd30db2298bb402,2020-08,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Unable to prosecute suspect
0daad382440b75af5d2128da607444ac0c919267e9ba26e7fd9d0be44107e934,2020-08,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Investigation complete; no suspect identified
e178794a3955ff967f836ee6a72313b14bd026dcb53c91cd8a6f190a8a15c6c9,2020-08,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Unable to prosecute suspect
045d1ad69bdf78e47c83da57186616b093a9bb6d5d059a17cc76323e795b408e,2020-08,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Investigation complete; no suspect identified
4b4583952bea3f29a19e43e729d861b7077590c43da7f3880d1bcc72c2d276a8,2020-08,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Unable to prosecute suspect
21a6676beb686945d8784321b728834778b3f08dc9d76294d75ec923ccdc4660,2020-08,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Formal action is not in the public interest
a82ba19ad9d442d3fc38d196c231367d6128fb4fbe5f19e935c8ff6af16bbf9c,2020-08,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Investigation complete; no suspect identified
fcf81be07cf961ff22daed770ee2c90c5298bb550a632882de6ee1ec6c4a6501,2020-08,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Unable to prosecute suspect
a2ed08e827e3b726de9f6b0dc94e48e3a9aedec877eec0a42ffaaf8bed6e043a,2020-08,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Formal action is not in the public interest
494635e3f42cef232077c3905832d75c114cdd087933925ed95f636997c879ab,2020-08,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Unable to prosecute suspect
ef61fc3093ad8a6f404fa78e3dfd86c6421f91bd40e6452f42ff949f0a7eb7b7,2020-08,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Investigation complete; no suspect identified
e9a32ffc4b5a155052293ecee357500e862b764c6e87f2050f70ddf3014a9dd6,2020-08,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Investigation complete; no suspect identified
e41a5b3f1e05610f489cf0261a425872cb428dc1fcadaf8c06f8c3f71ac4739c,2020-08,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Investigation complete; no suspect identified
959e43681eb65c70eef057dc267498409e2bf252a6689b6010b4ae9b7d133c09,2020-08,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Action to be taken by another organisation
21ed9bb3725ad14f5393615528cf223ce6ee3c9505cbeedf9d5bd7f9d7de0ec4,2020-08,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Action to be taken by another organisation
e28b033bf1e0864259d5c0ea677d3458ffba19596449cc201fdb54f279d66599,2020-08,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Unable to prosecute suspect
3e779829ecb43e1db8fcf79fb4e18b0733349f6f47bf0f4546194e746737023a,2020-08,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Unable to prosecute suspect
739f8d5bd4488bb13e92509f25399802ab9f2e448ad03504ee4cf2e0fc6e4034,2020-08,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Investigation complete; no suspect identified
ffb6030c55317ab4db4ecb3da4b263ba03980b8020028394abfb3e1872ae7fac,2020-08,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Investigation complete; no suspect identified
2a3c8fde6ff7d5b7d231c72e5b18a172153472cea75da122daf00e428c9aa59a,2020-08,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Unable to prosecute suspect
c37a84ed9e44bdf0b1aa80c8a7f527b4d224f2aafca5ab330402a109ff55bf61,2020-08,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Unable to prosecute suspect
64c313a788572e6b3def50e36c3c06aad62cc45c801ef23c6c9833d6b562d05c,2020-08,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Unable to prosecute suspect
db1ffb1f6486dbd314359f8c4a00ba3ddd2bd3984493029ab2cefbaa90446986,2020-08,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Unable to prosecute suspect
18d005c89a83e39edf5c311bb19232dbee6d81c8729f5dd081ca2112787a4faa,2020-08,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Unable to prosecute suspect
4dab553baf01ec018b20cfb282a78a7ee141fcbacfd617d83a3409f3836b7975,2020-08,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Unable to prosecute suspect
e3a1682ece5dabd0faaa75c08c7c43cd096cdcc8783812568f32a72b4f0996cc,2020-08,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Investigation complete; no suspect identified
a9a369cfd7fd8ec0acdf3a8d42d22902226bbd0bff257c4a4f86fa8a74c8434a,2020-08,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Unable to prosecute suspect
34549c76df97e3b453162beb33d230f89b543d26ff92c32d4361b91dad00cad1,2020-08,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Investigation complete; no suspect identified
484096f265d4da3c525a11e8fd87ee3a1c81e79388295a37202d207b81c98212,2020-08,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Unable to prosecute suspect
8b919b352e3377643bf10fc0b82adb3d53c5c228d36c1ca191768b70ef8863d6,2020-08,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Investigation complete; no suspect identified
4950f93d015ac4c7557e3084618d30589e07638d0245de9b2ae59f62c6c686e2,2020-08,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Investigation complete; no suspect identified
76a56d3e0b10246a74e914b61b62184e61cfdbe27808d5b17f9037366de53b4c,2020-08,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Investigation complete; no suspect identified
fbeaba470976a63cab9894a9f56fe7c1b3df31dd3883a2a8ddcd89035ca5a13b,2020-08,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Investigation complete; no suspect identified
11f0307a707828665aa7e2643d56bd06db8eddb03a4b7972b0b258eb7acf1701,2020-08,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Investigation complete; no suspect identified
d0eef21316ca6357111e252b4ef6f48b74b4dd4f7e5d3a5fbf54b31ed8312a37,2020-08,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Investigation complete; no suspect identified
f6d9b053b9b14aa76f9623d69da1a606a3488a8c7891b8c6291b4ef6bf465b79,2020-08,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Unable to prosecute suspect
507373c6e4b3369418b1614d0b93c908f60cb41e96b26f973d0a9653b28b8815,2020-08,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Investigation complete; no suspect identified
296d4584907bc2a9b5c992cffcf1148970d06797c0e73dc6535175d43fc7784a,2020-08,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Investigation complete; no suspect identified
293c36b24265c689971983e7f31b0ca68c98e157876894698d5e5c90a5613ba5,2020-08,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Unable to prosecute suspect
f12a5332efb12d8c5383ad14e55e45ec06d906f0a5e996d04bca349711ed3b00,2020-08,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Unable to prosecute suspect
1ba6f48ad929f0f00886ee435c28cbe1b086200c9cc799b5b0b721eb3235d13d,2020-08,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Investigation complete; no suspect identified
f9ca1a82b134ba2679ec839f5bca09fc7ad7c36aaf182ca55820eee8aa777f24,2020-08,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Investigation complete; no suspect identified
