Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
f9e17ebd77942262e9dcc08ced5f6c2e2531c3ee0874c8bf6cd72e58af026c78,2020-08,Gwent Police,Gwent Police,-2.749512,51.658967,On or near Park/Open Space,W01001549,Monmouthshire 007A,Investigation complete; no suspect identified
fbe429aefbd48e6f79ae0ae15d065d67b187ed54431f18c94b540ea3d8b78000,2020-08,Gwent Police,Gwent Police,-3.041181,51.660897,On or near GOLYGFAN,W01001538,Torfaen 009D,Investigation complete; no suspect identified
5368ab9a1645a1b8cba08c5dac3171ae6b5e8515f22a79f022d7426df61e6527,2020-08,Gwent Police,Gwent Police,-3.009226,51.572177,On or near Supermarket,W01001629,Newport 017A,Investigation complete; no suspect identified
4821e0a074dd6ef4902bfb01f247979a3b7ed8dae203b5e7d5fc73f39a46e9a5,2020-08,Gwent Police,Gwent Police,-2.967587,51.579874,On or near COLSTON AVENUE,W01001642,Newport 013A,Investigation complete; no suspect identified
1e46a4c9d2d15200b0fa91adefc829a2a75b2f0a9a41bc726577ce14ce045ae2,2020-08,Gwent Police,Gwent Police,-3.261741,51.790057,On or near LLWYN HELYG,W01001474,Blaenau Gwent 003C,Investigation complete; no suspect identified
a85d8443862659a1bf65b9d67aacbcb6a2c28445aaa7c8621d8b8cb27f7250a4,2020-08,Gwent Police,Gwent Police,-3.005989,51.613755,On or near MALPAS ROAD,W01001655,Newport 002E,Investigation complete; no suspect identified
230c69dbbf9c0cf9ec30422c3a197210019d0b2e5c9f80d26c45cd2d27e97d78,2020-08,Gwent Police,Gwent Police,-3.090708,51.610085,On or near Parking Area,W01001410,Caerphilly 016D,Investigation complete; no suspect identified
cb2aebf64e54c21ce0b3fe6f523493040ce1ef358198c3dfe2a0eb383161862b,2020-08,Gwent Police,Gwent Police,-3.071087,51.559364,On or near PENYLAN ROAD,W01001657,Newport 020C,Investigation complete; no suspect identified
1ccce1a5168d568c3ab50d5e4359ed501a2c0e346a1410b5509b903c6d695f89,2020-08,Gwent Police,Gwent Police,-3.210190,51.572866,On or near POPLAR ROAD,W01001425,Caerphilly 024D,Investigation complete; no suspect identified
68ac0ec506a4f18ae2c096c5ffef11f8f8c37effe509e1fee4f718437168b086,2020-08,Gwent Police,Gwent Police,-3.248099,51.669238,On or near SWN-YR-NANT,W01001414,Caerphilly 008A,Investigation complete; no suspect identified
40a1fd542987a4ad02257bc8e898a1e21ece90ac41ba1854614f6a471458087a,2020-08,Gwent Police,Gwent Police,-3.221838,51.642890,On or near THE CRESCENT,W01001369,Caerphilly 012D,Investigation complete; no suspect identified
332f7201da5f194b979bc0059cb62322c4d8511e75cfb2277d510198eb26b711,2020-08,Gwent Police,Gwent Police,-3.031041,51.566970,On or near Parking Area,W01001913,Newport 020F,Investigation complete; no suspect identified
06b233be1854b41886b757f9bdab3b743591199ead4fcf59877edce95a5d4cf5,2020-08,Gwent Police,Gwent Police,-3.234383,51.655671,On or near DERWENDEG AVENUE,W01001363,Caerphilly 012A,Investigation complete; no suspect identified
db4ea004106d8333afd4301123e69de232cdfa4ede9595139b2fdf08a9f4d8b8,2020-08,Gwent Police,Gwent Police,-3.225515,51.592165,On or near A468,W01001368,Caerphilly 019C,Investigation complete; no suspect identified
424fe6db9887ff43538e823dc9e21a3cc711a504a7701878199738dc561159a8,2020-08,Gwent Police,Gwent Police,-2.987083,51.595798,On or near Shopping Area,W01001676,Newport 007B,Investigation complete; no suspect identified
85dfeb61e09edc537f575549d0f521224900d59a2196f379c2f84f331f7bd24f,2020-08,Gwent Police,Gwent Police,-3.043468,51.711958,On or near GREENLAND ROAD,W01001531,Torfaen 003D,Investigation complete; no suspect identified
654c4e3aadd60b261b68dcd834f299d297c0f77c4102105c314d97a5c33ecb41,2020-08,Gwent Police,Gwent Police,-3.014595,51.614967,On or near BAIRD CLOSE,W01001652,Newport 002B,Investigation complete; no suspect identified
91ece136e4aa3da1d1df70a4c8058573d6e7c4b1b55bfa1071d5d07ca3dbe88a,2020-08,Gwent Police,Gwent Police,-2.950306,51.577489,On or near FOSSE CLOSE,W01001646,Newport 015E,Investigation complete; no suspect identified
c90fbafc0f445bd5731088d495b4331985660d653201136c80b2075a95ed52d4,2020-08,Gwent Police,Gwent Police,-3.092443,51.601752,On or near B4591,W01001413,Caerphilly 017C,Investigation complete; no suspect identified
c049d64880c44e0067fe611a4a07cae36e4d6f367e32782b181cddfc5e5fb894,2020-08,Gwent Police,Gwent Police,-3.053839,51.702325,On or near CLUB ROAD,W01001540,Torfaen 004E,Investigation complete; no suspect identified
5d95999b7a6eb95a17e6b485c596a73a579a1706887b9279cf7234df3fc2b315,2020-08,Gwent Police,Gwent Police,-3.279584,51.651411,On or near HEOL-Y-WERN,W01001377,Caerphilly 013A,Investigation complete; no suspect identified
821122eba4c5cb71ddd807ef858dfdc92de424f1883a0b4d150f7c9c030c4ff8,2020-08,Gwent Police,Gwent Police,-2.996774,51.576843,On or near SPRING GARDENS,W01001659,Newport 018A,Investigation complete; no suspect identified
8e1edb8014f9647242067dcf1bc4ada982f4bf18799ed3453132e9aa837ad544,2020-08,Gwent Police,Gwent Police,-3.040603,51.705689,On or near PARK ROAD,W01001525,Torfaen 003A,Investigation complete; no suspect identified
d2e767d111f9821851bd33df190471552f734f9f889605941468da4bc39275e9,2020-08,Gwent Police,Gwent Police,-2.986253,51.576104,On or near CLARENCE STREET,W01001659,Newport 018A,Investigation complete; no suspect identified
0dadd81b79bd1e7c9f9df9f064bc2e094aed2d847d09b33a92b3414db60a0458,2020-08,Gwent Police,Gwent Police,-2.987886,51.575551,On or near Parking Area,W01001659,Newport 018A,Investigation complete; no suspect identified
59566914bd4b66d80e108bcd46593808e400a2e479bc7f3abc2a23ab74156b48,2020-08,Gwent Police,Gwent Police,-3.228131,51.643652,On or near Petrol Station,W01001433,Caerphilly 013E,Investigation complete; no suspect identified
ea8f57b7f32178919bcda296cef1ae673ac7338298858bd595c32e124ab02c4a,2020-08,Gwent Police,Gwent Police,-2.719044,51.810787,On or near Supermarket,W01001553,Monmouthshire 004B,Investigation complete; no suspect identified
74d7ae73368668aad033ff2cbd7a99a43293ce20c407ee8dcf001ac3f951a678,2020-08,Gwent Police,Gwent Police,-2.999241,51.583358,On or near CLIFTON ROAD,W01001687,Newport 014D,Investigation complete; no suspect identified
85b1b164cbac57712d0e8292f90fee8a29f4511056d5797087b50caa8e14860b,2020-08,Gwent Police,Gwent Police,-3.066308,51.743304,On or near SAMSON'S AVENUE,W01001482,Torfaen 002A,Investigation complete; no suspect identified
dde83dc4ed18ebbdf3a43096afdce5d347d3cba0c210aac7c630fae2e13aa58f,2020-08,Gwent Police,Gwent Police,-3.213474,51.792237,On or near PEN-Y-DRE,W01001438,Blaenau Gwent 004A,Investigation complete; no suspect identified
68f80ef14f3da6eacc2db2cdc680f73fa9bf39da6e15a9ee7c91607fdbc761f6,2020-08,Gwent Police,Gwent Police,-2.971676,51.891285,On or near Sports/Recreation Area,W01001548,Monmouthshire 001B,Investigation complete; no suspect identified
aa7641170127bd6c20f11952e04d340001b7c35a7fd18a43866d491998ccbfa3,2020-08,Gwent Police,Gwent Police,-2.958626,51.584713,On or near LIME CRESCENT,W01001607,Newport 015A,Investigation complete; no suspect identified
9aa8b658de05f9c24bf65955dd1d80e389ab8e819d2e764124e2a434b700692b,2020-08,Gwent Police,Gwent Police,-3.025813,51.580198,On or near Sports/Recreation Area,W01001604,Newport 012D,Investigation complete; no suspect identified
