Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
418d7eff3dd95906346ac9f6c3c969a3a5d4a4da25ac05741b03a493fd41260b,2020-09,Gwent Police,Gwent Police,-3.220896,51.662664,On or near PLAS ROAD,W01001389,Caerphilly 007E,Investigation complete; no suspect identified
691648473d6edd4ed6c78fd26d0d429be38181a74a2bf508d461a56d03a636bc,2020-09,Gwent Police,Gwent Police,-2.943894,51.575877,On or near Supermarket,W01001646,Newport 015E,Investigation complete; no suspect identified
301fb698e5095c5dbb18f085e6d8aa5284dc0167a5eace39eca60c2b7601a7a1,2020-09,Gwent Police,Gwent Police,-3.236664,51.637511,On or near Sports/Recreation Area,W01001434,Caerphilly 013F,Investigation complete; no suspect identified
cf138700a5f0618fe2408f051e5eef6d065aab7dc4c4054f9ce23ebac3dee46b,2020-09,Gwent Police,Gwent Police,-3.006988,51.576674,On or near AUBREY HAMES CLOSE,W01001686,Newport 014C,Investigation complete; no suspect identified
1d7988cc8457fc3bcfe412b8f7b25ffb3c38df1b81abaf45e85f9b4ca27ecc1c,2020-09,Gwent Police,Gwent Police,-3.133600,51.739832,On or near TILLERY ROAD,W01001454,Blaenau Gwent 008E,Investigation complete; no suspect identified
ef9a32a27f03e4d473c9ec7e509501601c753714bd83018e44ea839b243ca12a,2020-09,Gwent Police,Gwent Police,-3.286676,51.761886,On or near HIGH STREET,W01001375,Caerphilly 001B,Investigation complete; no suspect identified
44cd499f4574f186ecc5b35406a075fe7019dbd1a65bb5cf28f590205df9cc8f,2020-09,Gwent Police,Gwent Police,-3.163823,51.780844,On or near CARLIN ROAD,W01001469,Blaenau Gwent 005F,Offender given a caution
9b969f8ad4f7c2a5a8ce645e0fca927d2121c67dbccd1fd46fa2f4ca3c6f83e5,2020-09,Gwent Police,Gwent Police,-2.987704,51.574509,On or near POTTERY ROAD,W01001659,Newport 018A,Unable to prosecute suspect
34e3cd425811247468c19280c78ced649b28858cb4b39c36cf9e4739e3f2d66f,2020-09,Gwent Police,Gwent Police,-3.227990,51.799756,On or near STONEBRIDGE ROAD,W01001470,Blaenau Gwent 001D,Unable to prosecute suspect
f7909f72366dc5aaddbd251700f0adb641caac67c7395d56cbfc5dd39eab37f7,2020-09,Gwent Police,Gwent Police,-3.046067,51.651449,On or near RAVENSCOURT,W01001503,Torfaen 009B,Unable to prosecute suspect
42197f1c4e9d0597801fef344463ed7b069fe157e8e424efda3af3899ee02a16,2020-09,Gwent Police,Gwent Police,-3.009226,51.572177,On or near Supermarket,W01001629,Newport 017A,Suspect charged
