Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
f51da2be41dcc0a03d42352fee9c037227505aa8870650f68e4cb30a782b0c07,2020-09,Humberside Police,Humberside Police,-0.351822,53.738714,On or near NEVILLE CLOSE,E01012854,Kingston upon Hull 029C,Unable to prosecute suspect
d6e5e954c202f713cb6cfd5efb6927dd3c56ec53cec894cccdc755d0317f0ea7,2020-09,Humberside Police,Humberside Police,-0.113598,53.515736,On or near ASHBOURNE,E01013216,North East Lincolnshire 023D,Unable to prosecute suspect
b207b96f7aab75afc63c63bfc0890e7a4b20ec7d118bc8bef6dd77fddc06d8df,2020-09,Humberside Police,Humberside Police,-0.084068,53.552763,On or near PARK AVENUE,E01013186,North East Lincolnshire 016F,Unable to prosecute suspect
7a06934b13f34a919bcf55c088e2530280903e7ec97fe5e744b467b7da140591,2020-09,Humberside Police,Humberside Police,-0.643074,53.569374,On or near CHERRY GROVE,E01013315,North Lincolnshire 014A,Unable to prosecute suspect
35ef47c1825f4829f9d97ac64b283d6af17efc5ec56bb0fd719ef542ff99050b,2020-09,Humberside Police,Humberside Police,-0.640243,53.768005,On or near BECK ROAD,E01013019,East Riding of Yorkshire 026B,Unable to prosecute suspect
9110466ce48676a222565d9c31168bf31024a405c82292f6139ac6c4d39e6d21,2020-09,Humberside Police,Humberside Police,-0.296483,53.747990,On or near Prison,E01012848,Kingston upon Hull 020B,Unable to prosecute suspect
c3954c04e5aea60d8a2b20753afc4263d2551dffa4cb72db76dad0c1da3a7d66,2020-09,Humberside Police,Humberside Police,-0.653955,53.601902,On or near GLOUCESTER COURT,E01013297,North Lincolnshire 007A,Unable to prosecute suspect
9dcace76c9f53484f50074a0c229783cf3be90315b82c86302f0e5a0eeffda05,2020-09,Humberside Police,Humberside Police,-0.066299,53.528285,On or near ARRAN CLOSE,E01013170,North East Lincolnshire 022B,Unable to prosecute suspect
c909079a5d3f65ef275e0f299008c0686ad547b027d3f1b95939fcd937b35953,2020-09,Humberside Police,Humberside Police,-0.316312,53.787238,On or near SUTTON CLOSE,E01012787,Kingston upon Hull 002D,Unable to prosecute suspect
8db736b52a9cac3a0113e80903ea6ef38c7e7c42b9fdb9b9d4cf8ba7a11371a4,2020-09,Humberside Police,Humberside Police,-0.439247,53.723174,On or near GLADSTONE STREET,E01013007,East Riding of Yorkshire 036B,Unable to prosecute suspect
ca2d294fd6aaaa3b955de7f6204da9a5524b61a048015da44a0e538aafacee20,2020-09,Humberside Police,Humberside Police,-0.392988,53.737907,On or near COXWOLD GROVE,E01012860,Kingston upon Hull 031B,Unable to prosecute suspect
8a5e98689f7ad7ff52f8bec1efd6374841b25111bc5c17a15ae010f1e4fc494f,2020-09,Humberside Police,Humberside Police,-0.333684,53.802016,On or near RAUCEBY CLOSE,E01012832,Kingston upon Hull 001E,Unable to prosecute suspect
918aa5acbc990a22c6c932472f771d2c255963c5f0e8d15e5e2962690c710ef4,2020-09,Humberside Police,Humberside Police,-0.310321,53.773527,On or near CULLEN CLOSE,E01012813,Kingston upon Hull 013B,Unable to prosecute suspect
b867750c5e75427b290ccfa5e6f03b0ae15f5c2c323dd96e8d9a2a4f6179708b,2020-09,Humberside Police,Humberside Police,-0.316640,53.750226,On or near BRAZIL STREET,E01012809,Kingston upon Hull 026C,Investigation complete; no suspect identified
12f89d9f124f2a630a2c745e2aa07a1d37ab4b9cf68db0625841b6159cffff3a,2020-09,Humberside Police,Humberside Police,-0.135158,53.549247,On or near HILL TOP PLACE,E01013227,North East Lincolnshire 013C,Investigation complete; no suspect identified
8addc0c79ab492c29898304da640562816af2ed1812dba81ee195b6d1f7c1422,2020-09,Humberside Police,Humberside Police,-0.342632,53.745311,On or near BURDEN STREET,E01033104,Kingston upon Hull 029E,Investigation complete; no suspect identified
