Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
8959c55243310a3172bf00ae49330daf8d98e182797b8e6ffc11d1f40fd1d07f,2020-09,North Wales Police,North Wales Police,-3.934370,52.995038,On or near Parking Area,W01000056,Gwynedd 009A,Further investigation is not in the public interest
753bb20c488ddb08bcd29a66d57aeccf0d7e14d4d5bf67ae307f66d40414ebde,2020-09,North Wales Police,North Wales Police,-3.034613,53.204141,On or near LLWYN CLWYD,W01000335,Flintshire 009D,Unable to prosecute suspect
d8148a583b56794cefcfc7fceb43567fc2a72712108ea81495b0fc53667d5824,2020-09,North Wales Police,North Wales Police,-3.007878,53.051712,On or near YALE PARK,W01000349,Wrexham 011A,Investigation complete; no suspect identified
37144d700c72510ba33c444c8d34d500322901c7fb5c165580a159653a3a53f4,2020-09,North Wales Police,North Wales Police,-3.546119,53.304615,On or near SAN REMO AVENUE,W01000184,Conwy 005E,Suspect charged
83f6312c685008b81d8fd8b2c61c39c65adc24d8546eba63c0636aacfea72ca7,2020-09,North Wales Police,North Wales Police,-4.266454,53.139490,On or near CEFN TALAR,W01000098,Gwynedd 006C,Unable to prosecute suspect
a9716bdc96ccde0af07f3e5a4172bc0e6a4efcd64435450adf4df28f7f915b07,2020-09,North Wales Police,North Wales Police,-3.724490,53.295337,On or near Shopping Area,W01000144,Conwy 007C,Investigation complete; no suspect identified
973a5c665ab194b4ae49eb540309d5132e613812a0aaf5f778e608a1b4fd9094,2020-09,North Wales Police,North Wales Police,-4.280598,53.054803,On or near LLWYNDU ROAD,W01000104,Gwynedd 008C,Investigation complete; no suspect identified
2d59bed0f910d5a0a042757035a7e37f16e229db7b850812e6d5e734be4d668c,2020-09,North Wales Police,North Wales Police,-3.727677,53.293987,On or near WOODLAND ROAD EAST,W01000144,Conwy 007C,Unable to prosecute suspect
7ae6d7353a10d9b3935c1764be69b84262bf50b7256fab4a5fc5ea5d4093fa50,2020-09,North Wales Police,North Wales Police,-3.051187,53.097624,On or near FFORDD LAS,W01000310,Flintshire 020D,Investigation complete; no suspect identified
248cb525605b8b69a2ffd02946b1e76d2d1c22ddcd1fe3c64893b01f28f80096,2020-09,North Wales Police,North Wales Police,-4.098620,53.263535,On or near MAES HYFRYD,W01000005,Isle of Anglesey 005A,Investigation complete; no suspect identified
d5e510bd966bae58192e9e0fc3da21614281fd78c79074c52e6d68b160e72b06,2020-09,North Wales Police,North Wales Police,-3.548976,53.302690,On or near GAINGC ROAD,W01000184,Conwy 005E,Unable to prosecute suspect
