Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
dd0fd41968f1c544ae63d80bf3277459a0ab95f7ee0502ec75067edf3b3b82bd,2020-10,Humberside Police,Humberside Police,-0.362548,53.762727,On or near GODDARD AVENUE,E01012866,Kingston upon Hull 018D,Investigation complete; no suspect identified
2ba4f92ae6db63a7237b0a10f5c9b635a0d8c9ed896406b498ed48b7a790937e,2020-10,Humberside Police,Humberside Police,-0.272733,53.762411,On or near DALBY GROVE,E01012844,Kingston upon Hull 017B,Investigation complete; no suspect identified
3df8694356d242beeb62ebaafabec0d405eecad835c88a084fcd1fb3b226056b,2020-10,Humberside Police,Humberside Police,-0.333646,53.742831,On or near SILVER STREET,E01033104,Kingston upon Hull 029E,Investigation complete; no suspect identified
7e912d493795d11911e175aeee6e50508ab84943713395b507b1525ad674f20b,2020-10,Humberside Police,Humberside Police,-0.052315,53.570634,On or near Supermarket,E01013201,North East Lincolnshire 005C,Investigation complete; no suspect identified
4a701bfb2736df637d56311fa726fa107a68871a38638cc6f4eafe260d3bfe74,2020-10,Humberside Police,Humberside Police,-0.457913,53.732036,On or near JENNY BROUGH MEADOWS,E01013012,East Riding of Yorkshire 036D,Investigation complete; no suspect identified
4c64252d45dd1ebafd3b610c070b7850335f1cccd60106722572a27be1065991,2020-10,Humberside Police,Humberside Police,-0.189656,54.081989,On or near CROSS STREET,E01012948,East Riding of Yorkshire 005C,Investigation complete; no suspect identified
7cff3efba464330525868de4363091a08bde51dc2ce297f954e5b8bd9427766a,2020-10,Humberside Police,Humberside Police,-0.277679,53.764280,On or near Petrol Station,E01012827,Kingston upon Hull 011D,Investigation complete; no suspect identified
58e882306044f5d7f033523bd77f97656e7fa6ee34c7faf5610dc4499f92272c,2020-10,Humberside Police,Humberside Police,-1.054401,53.692520,On or near HIGH MEADOW,E01013075,East Riding of Yorkshire 042C,Investigation complete; no suspect identified
b721b9fd4c9802838829c3bee2b6fc40d2a05b096c5b731f84dbafcd9ba6af5c,2020-10,Humberside Police,Humberside Police,-0.457913,53.732036,On or near JENNY BROUGH MEADOWS,E01013012,East Riding of Yorkshire 036D,Investigation complete; no suspect identified
97e907c0bb5de1f5520d19cdd05866a725428e5e1e8d191a449c0cb8f26e0bc0,2020-10,Humberside Police,Humberside Police,-0.663763,53.561669,On or near KEELBY ROAD,E01013282,North Lincolnshire 017C,Investigation complete; no suspect identified
6dbc9acc91953fa07b2ac98fbaab4d9395edf6041cdc0d2de9b661d9ef565efe,2020-10,Humberside Police,Humberside Police,-0.095010,53.564930,On or near HUME STREET,E01013221,North East Lincolnshire 003D,Investigation complete; no suspect identified
6c0106d940474bc8c87add4c8cc66a446be0e5a92206d5781474b31943707901,2020-10,Humberside Police,Humberside Police,-0.613958,53.563404,On or near GADWALL WAY,E01013240,North Lincolnshire 015B,Investigation complete; no suspect identified
971650c15ef30bb4bf77c97dfa4d2b056ded6869279e10a4c51f5f4c591678a0,2020-10,Humberside Police,Humberside Police,-0.546980,53.733688,On or near BROOKSIDE,E01013092,East Riding of Yorkshire 032F,Investigation complete; no suspect identified
83815e639370973a3401209af8fc111c0c45f614596ff6639f128f18619f320f,2020-10,Humberside Police,Humberside Police,-0.253856,53.777140,On or near MOUNT VERNON,E01012835,Kingston upon Hull 009B,Investigation complete; no suspect identified
6c19a7cdec0ef8e6964e5e48abf530ce3082bf1ac1f840557adb25ea027df93c,2020-10,Humberside Police,Humberside Police,-0.253856,53.777140,On or near MOUNT VERNON,E01012835,Kingston upon Hull 009B,Investigation complete; no suspect identified
46b6e50390e01b21011308fe706348925be36ae4bfa4964d27ed9b817c619d53,2020-10,Humberside Police,Humberside Police,0.035747,53.728549,On or near QUEEN STREET,E01013083,East Riding of Yorkshire 039C,Investigation complete; no suspect identified
bdbb7d253f476e4edf09ec901f10199b68701582c479abdd6d61057a67710231,2020-10,Humberside Police,Humberside Police,-0.184575,53.595854,On or near A180,E01013173,North East Lincolnshire 007A,Investigation complete; no suspect identified
894d42c5ad193b6f67cf7d81378835c38c25928fe050dbf6cd3de0505a7b6546,2020-10,Humberside Police,Humberside Police,-0.427365,53.841269,On or near Shopping Area,E01013062,East Riding of Yorkshire 019E,Investigation complete; no suspect identified
d12456fed161c03f3eabb75f668a26996b5f48fcf80d89e741efc587de0d7f2a,2020-10,Humberside Police,Humberside Police,-0.111179,53.545014,On or near CROWLE DRIVE,E01013210,North East Lincolnshire 019E,Investigation complete; no suspect identified
660e40ab5626cf7926545c864a68551676a52ad6d2f217978d74a0131af743b3,2020-10,Humberside Police,Humberside Police,-0.358953,53.755721,On or near PRINCES AVENUE,E01012763,Kingston upon Hull 018C,Investigation complete; no suspect identified
5e9752c71b72a6b4f6ee1cf424dc4a9ec86b04aaa8893f3cfdbb5eb5b8a697e7,2020-10,Humberside Police,Humberside Police,-0.036546,53.548495,On or near LYNTON RISE,E01013134,North East Lincolnshire 014D,Investigation complete; no suspect identified
