Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
b13ccff7272b5fd500d9452bfac57adf0f3533cfefadc04403b66e2fa8a54113,2020-10,Kent Police,Kent Police,,,No location,,,Offender given a drugs possession warning
54a10f0dd876e1ba6cfdd03bd36ce9f920b73a4e9fb40a103894b4a98c6e496c,2020-10,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
b350d1ad785a3e1e22555cac44e766a67155d65765ec03f43195f404bab34311,2020-10,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
1cf89055e8bcc753ffc0834b8c362ca72ad2757896b5ce9ef6539eaee0c26248,2020-10,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
cd28153747e8c2497ebbba2859eff1484dcce92f1cac870415e938a1e93a5b1d,2020-10,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
c549938c198e66347f210025dcea334a8ffcc4951dcc41a77decb04cd79a7307,2020-10,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
7db099aa085195d45fe9abe795ccddfbaead2082abf260da95ffda453e523d9e,2020-10,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
02ba9e5970eef4506fc2e44c564d2c771a06f3b8796e93caf1b89b68cc245677,2020-10,Kent Police,Kent Police,,,No location,,,Suspect charged
d8e03a6ab4a227a1d8a9fe5994b793cfd43241b1b936a119c97d740d594a9ef6,2020-10,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
3355094ade7ae0c4ebea524f1d8da91e023c29bcfe7cab806e53bd93c95e568c,2020-10,Kent Police,Kent Police,,,No location,,,Suspect charged
d44070b17a866071eccabba449a1c808f258ca8df04bdc7e8d303dd7a37bc11c,2020-10,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
0626ed89a94f08ef1f2df1984e319583c6edf730688ad653b633dd18d6028613,2020-10,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
9cc4717e896efbcab45d04075e7e4c6eddf12434b55a6e15b0941f06e6fb6389,2020-10,Kent Police,Kent Police,,,No location,,,Suspect charged
fa4499e7cf0f6601ce951a935671228a64aa0274318f8bf36f5bc2e2843323a7,2020-10,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
ae857e6bae190d8c5cf0067f5b670583a57fb945de037702eaadbb6f82e37c33,2020-10,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
dba150562b16c538590fbde01ab38c7bfc22635b436c306690209306aea6c943,2020-10,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
77a7ef708d76039d814e81440a9828b1020d59e922b8317b9d2105a856f7d38c,2020-10,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
10dc19bb2140093e01888422dcd073969b843af15a4693f74a2cba555ddfde41,2020-10,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
