Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
4b70f9feaecf9a64fd77180f7b13617ff54ab828a1a38f543e0d2c9ff88d761d,2020-11,City of London Police,City of London Police,,,No location,,,Offender given a caution
d6964aa493cfbc44dfbc880cb8d734cf996be04579f0d1e0b23fda113e8d2523,2020-11,City of London Police,City of London Police,,,No location,,,Suspect charged
23ff6132b25e17777f792b5356678e994ea5d458b5edee773e476436beb83bf8,2020-11,City of London Police,City of London Police,,,No location,,,Offender given a drugs possession warning
0fdfed16c92584b7101c31113d5a15fb5adbd6e047e0e9c5fde90d8d5474c513,2020-11,City of London Police,City of London Police,,,No location,,,Further investigation is not in the public interest
03007aaf9f04dde009dcd927fbfb23d953cb1e4090d37f78f217557702c44a4e,2020-11,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
6ded1c4f1c9dc82136b91e60b9c4e2a2e2ce1882a4bc2bdc86f7a211dad70136,2020-11,City of London Police,City of London Police,,,No location,,,Action to be taken by another organisation
84e0a3b5c2b3fc0bede4bc31b3176ee2e35ca146ecb10c5c0caed938964c2509,2020-11,City of London Police,City of London Police,,,No location,,,Action to be taken by another organisation
f8ea731eee4f1d8747fc8a95d22f8dcfce50d5dffc7710c22b2fa89ef88bffb9,2020-11,City of London Police,City of London Police,,,No location,,,Unable to prosecute suspect
bfd96895e94ce80ebe180c0223aec76769fc44d7f24f63f4d382983eb712d5a2,2020-11,City of London Police,City of London Police,,,No location,,,Action to be taken by another organisation
179523753965925411d4b1faf196783fb5159b5111f0c92df05ea19fcc140b5c,2020-11,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
07a081555475f0acd836f12c2c31ed71b60da2195417793c34f5dab3d5f24e22,2020-11,City of London Police,City of London Police,,,No location,,,Unable to prosecute suspect
bc58602755791bade599e8d3cbf784876abe020ee4aad750b6f65822b7dc539f,2020-11,City of London Police,City of London Police,-0.091440,51.519807,On or near SILK STREET,E01000002,City of London 001B,Investigation complete; no suspect identified
74c6e2d1ad9c908c4d9e423ea6958e2986f3484e02fec3c32b08e645b99a64fc,2020-11,City of London Police,City of London Police,-0.083296,51.517058,On or near OLD BROAD STREET,E01032739,City of London 001F,Formal action is not in the public interest
9cf6db85f97fda89ad02ca45a55bf28604da1c5e93d54fb180b9e076e0b3554c,2020-11,City of London Police,City of London Police,-0.087118,51.513199,On or near Nightclub,E01032739,City of London 001F,Investigation complete; no suspect identified
5f52f5b3fc2c8d246b004914f40aa8e782d5670225a3db5686ce24b533ce04aa,2020-11,City of London Police,City of London Police,-0.082571,51.514753,On or near GREAT ST HELEN'S,E01032739,City of London 001F,Investigation complete; no suspect identified
