Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
d362a9167fc8282d8aca624c9bd52904c3b06a238a3bfa21297bac1df466c52f,2020-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.697513,51.209594,On or near HALES CLOSE,E01029052,Mendip 005A,Further action is not in the public interest
46cb6ad064174c1c77b6a259ae63f88344846416bbafbf2bda39d6d5f8e5405b,2020-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.625725,51.430265,On or near TREGARTH ROAD,E01014501,Bristol 041A,Local resolution
ffd6c47e503a082783118640e8ba4e8fd0c6f79d321f7870f6b7c7be5b4c35d1,2020-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.589860,51.456751,On or near Shopping Area,E01014540,Bristol 032B,Investigation complete; no suspect identified
dd748b03ed40cbb9cd17edfd067a1fed89fbecae2f0c89f95583fcd1cc9b8127,2020-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
a46cbc3da6faaa5e1cd91a5c09564e2b14e0f01b800fb0874c6a8704d0c93865,2020-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
5d597efb6e463ad52c4ef7485d2a2a97d7f0bffb0efaf77c46ded7fe85b178ed,2020-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
e677025039709d7bb11e3b51c88bfbee6179f5f0df2b443f01af534f29c8a2ae,2020-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
e677025039709d7bb11e3b51c88bfbee6179f5f0df2b443f01af534f29c8a2ae,2020-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
64bd022fcba3efe0352f869b9dfb8a1e5702ceec8453b1961488610e03cfc91b,2020-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
e3e648f19c0ca203db31f40a6dd8864127887c221009c7825cb9a89eaa9a882a,2020-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
