Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
c827b4a6ba8b588eb3bdf5e659bc26ed327001ef10f1165294cecb9111515e01,2020-12,Gwent Police,Gwent Police,,,No location,,,Investigation complete; no suspect identified
db56a59841ddf5603d48f204c633627ebcdbc99094674869e88625536fbf3350,2020-12,Gwent Police,Gwent Police,-3.083823,51.773741,On or near Shopping Area,W01001489,Torfaen 001C,Investigation complete; no suspect identified
79c042cbe1aa2f40bbbe94f06485e7c18d0134fbc0df2e4f3b2ddeb30b5fe30a,2020-12,Gwent Police,Gwent Police,-3.048591,51.651183,On or near BARNETS,W01001502,Torfaen 011E,Investigation complete; no suspect identified
291c54f15ba82927ba0233048edd0f834877292d9ddd54eecf43aec24f89eeb6,2020-12,Gwent Police,Gwent Police,-3.016142,51.617624,On or near TREVITHICK CLOSE,W01001652,Newport 002B,Investigation complete; no suspect identified
5b1d02a19e0aa80d70ee202f976a73a02d3d934733f7e4e4bb1c28c4d7098fe3,2020-12,Gwent Police,Gwent Police,-3.019205,51.563540,On or near Sports/Recreation Area,W01001689,Newport 019D,Investigation complete; no suspect identified
8fc6b7f1d1d96a3a3e750eeb3de10575f2ceb6d84a52781d6f2964d965d05ae0,2020-12,Gwent Police,Gwent Police,-3.059869,51.720083,On or near OWENDALE TERRACE,W01001529,Torfaen 003B,Investigation complete; no suspect identified
e380eaf79a192fc3480139bf2030113a0683576edcf4c0ffc907f219bde15ee3,2020-12,Gwent Police,Gwent Police,-3.015527,51.659971,On or near STATION ROAD,W01001519,Torfaen 007A,Investigation complete; no suspect identified
8858279a1cf975e751676cbecc7f5ef7825aded8cb0fbb98bbabe67de804bfc5,2020-12,Gwent Police,Gwent Police,-2.749389,51.686545,On or near WESLEY WAY,W01001549,Monmouthshire 007A,Investigation complete; no suspect identified
2edc6bd46ac94828ece6261698a3591d6b95544e9f2a152c17fae67d603f8edb,2020-12,Gwent Police,Gwent Police,-3.008546,51.608608,On or near HOLLYBUSH AVENUE,W01001654,Newport 002D,Investigation complete; no suspect identified
459054ac05b2c385f7ca218e9ba26425e53523d7ad022d011a03335827226d2b,2020-12,Gwent Police,Gwent Police,-3.042533,51.653009,On or near TY GWYN WAY,W01001528,Torfaen 010D,Investigation complete; no suspect identified
8d87081504afb1cb471244027a512cdaf4898c5137e3996bc9ae3612511726d4,2020-12,Gwent Police,Gwent Police,-3.005766,51.646154,On or near MILL LANE,W01001508,Torfaen 013C,Investigation complete; no suspect identified
