Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
2ff7be7547fbc7d635f8e899c93d35658bfd4fb3061dc9770781352f87da3b92,2020-12,Sussex Police,Sussex Police,0.255341,50.771571,On or near BARCOMBE CLOSE,E01020944,Eastbourne 012E,Further investigation is not in the public interest
72de558f8512a8985884bd7b875f90a52b27ce914550ce82e45440d080142160,2020-12,Sussex Police,Sussex Police,0.284069,50.794405,On or near MARSHALL ROAD,E01020922,Eastbourne 004C,Investigation complete; no suspect identified
42a5bfb4b9211fb84871b68aef0b40dc638cba4ac0f8b2d175d066972d053533,2020-12,Sussex Police,Sussex Police,0.252155,50.770796,On or near CHERRY GARDEN ROAD,E01020942,Eastbourne 006C,Investigation complete; no suspect identified
c87483255edca6b92db83c1bb06a342b928ccef9d57517aa7422a2e0b4f31e96,2020-12,Sussex Police,Sussex Police,0.252155,50.770796,On or near CHERRY GARDEN ROAD,E01020942,Eastbourne 006C,Investigation complete; no suspect identified
8491175760441c370801120bc67887903125505e66a1f06525afe94a29b22fb2,2020-12,Sussex Police,Sussex Police,-0.125215,50.835140,On or near PEVENSEY ROAD,E01016890,Brighton and Hove 015A,Unable to prosecute suspect
0fdd5695c3d15e8e4dbcc6c21d4f6e3ed1df811aecdc72036c228cd4c860687e,2020-12,Sussex Police,Sussex Police,-0.105149,50.832649,On or near ALBOURNE CLOSE,E01016864,Brighton and Hove 025A,Unable to prosecute suspect
a55b116c68775f95551b0aeb99fd3a009c5bd2f8895c1b3eaa8b84e47d4e112f,2020-12,Sussex Police,Sussex Police,-0.123094,50.864308,On or near BRAMBLE WAY,E01016926,Brighton and Hove 001B,Unable to prosecute suspect
e036ff407263585b8d270cef531d8b65bb33eb1ba180ffeb7bf80358fdbe97b1,2020-12,Sussex Police,Sussex Police,0.281243,50.773082,On or near EVERSFIELD ROAD,E01020965,Eastbourne 008C,Suspect charged
89ab87a4f2761941f5c98ff2b5c50c9c74e96e2974c8ada41719724d2df73e1c,2020-12,Sussex Police,Sussex Police,0.271332,51.082212,On or near DOWN LANE,E01021171,Wealden 002A,Unable to prosecute suspect
264aee9e07dc82f82afc9fe783e4769f70e93e98ddbf69b7133244da50075168,2020-12,Sussex Police,Sussex Police,0.162754,50.820777,On or near ALFRISTON ROAD,E01021143,Wealden 018B,Unable to prosecute suspect
97b728c46155a12ce1c9b84ff50bfa9210491224bf73458a7e8cbaf598361314,2020-12,Sussex Police,Sussex Police,0.243748,50.807024,On or near WANNOCK LANE,E01021234,Wealden 021C,Investigation complete; no suspect identified
01d5302303af50d6a1f5c49adb5fab44d1594857b3aac5aa18eed17923736561,2020-12,Sussex Police,Sussex Police,-0.579818,50.816207,On or near Prison,E01031470,Arun 006A,Action to be taken by another organisation
