Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
167ce8086a00345f93283a7a72ff3a8956e37454e70d5f1573bcea9ebc09d9c5,2020-12,West Midlands Police,West Midlands Police,-1.856657,52.476657,On or near VICTORIA STREET,E01009198,Birmingham 058D,Local resolution
fbe5bbc87e727327a1a82b5abf71314851272970dd6701e749500aa2a3bb98a6,2020-12,West Midlands Police,West Midlands Police,-1.485115,52.436787,On or near GAYER STREET,E01009606,Coventry 005C,Suspect charged
90d6a888bd37c71a7255969778b66fb81a8831112b83bf8a5594a02f0ef02991,2020-12,West Midlands Police,West Midlands Police,-2.121680,52.586187,On or near RING ROAD ST DAVIDS,E01010521,Wolverhampton 020F,Suspect charged
123d84e762a9f2abe6b38dd7c142b3ba6c3a1432dba04aeef391eee524c53eed,2020-12,West Midlands Police,West Midlands Police,-2.121680,52.586187,On or near RING ROAD ST DAVIDS,E01010521,Wolverhampton 020F,Suspect charged
244a06925cbdc6e34c0525a8eca0fd0771185334916179cbb816c6c8b1d5ce48,2020-12,West Midlands Police,West Midlands Police,-2.121680,52.586187,On or near RING ROAD ST DAVIDS,E01010521,Wolverhampton 020F,Suspect charged
a96b58c0f406de33ae71dcc0afd5cafb32025996d860f456e6306b52cf120add,2020-12,West Midlands Police,West Midlands Police,-2.121680,52.586187,On or near RING ROAD ST DAVIDS,E01010521,Wolverhampton 020F,Suspect charged
73973b476e02dc1585a32335a7e87d0c364aef93462ae337f496c39e95def918,2020-12,West Midlands Police,West Midlands Police,-2.083483,52.578929,On or near PARKVIEW ROAD,E01010417,Wolverhampton 023A,Suspect charged
f3dee961fa141972c54502d9122ec735bc7bf09f6edb305f26d3ac7c51bb7228,2020-12,West Midlands Police,West Midlands Police,-2.143466,52.581910,On or near ASH STREET,E01010464,Wolverhampton 020B,Local resolution
638aa5ed481cb662517269e8b66fd5de59dd3e65549fda2ec8d9ac319477a4a6,2020-12,West Midlands Police,West Midlands Police,-2.083483,52.578929,On or near PARKVIEW ROAD,E01010417,Wolverhampton 023A,Suspect charged
293e960beaa065ccef2098f769a498b2f47d123752e9c91620b76ffe974e42e2,2020-12,West Midlands Police,West Midlands Police,-2.128506,52.583528,On or near BELL STREET,E01010521,Wolverhampton 020F,Suspect charged
f3e53da4e031b74826d34d94df84577155b5c84ccb7ece73e64af9865c054c58,2020-12,West Midlands Police,West Midlands Police,-2.126558,52.583611,On or near Shopping Area,E01010521,Wolverhampton 020F,Local resolution
bec1e5cc4d82fe3eb33d96567c583374fbc69ecebac900fe78b0000a6f244a2a,2020-12,West Midlands Police,West Midlands Police,-2.128141,52.585056,On or near Shopping Area,E01010521,Wolverhampton 020F,Suspect charged
78ab711739a7ad9f31ca8c0b2dfc650b46bc9c874a5a8ff12d81b61476c63c50,2020-12,West Midlands Police,West Midlands Police,-2.059972,52.555399,On or near BILBOE ROAD,E01010411,Wolverhampton 033B,Local resolution
51b3eb8643cc3cb1d0ff6419070a697530a6bddb2c068fe28afa448d2ac46b14,2020-12,West Midlands Police,West Midlands Police,-2.128506,52.583528,On or near BELL STREET,E01010521,Wolverhampton 020F,Suspect charged
5030eb5cecfdd443186f96c1e3ab1a94450e569102820d902109c82caaa1edea,2020-12,West Midlands Police,West Midlands Police,-2.127070,52.561810,On or near HORNBY ROAD,E01010432,Wolverhampton 030C,Local resolution
847672be1df12510a6db05cf751546335f744fcb6a77dd2af48f852f13d2012d,2020-12,West Midlands Police,West Midlands Police,-2.133051,52.598113,On or near APPLETREE GROVE,E01010526,Wolverhampton 016A,Suspect charged
1bd657afdae3af78d2b5ea39c17fade32657ddcee9abf55a9ee706e80849e732,2020-12,West Midlands Police,West Midlands Police,-2.140705,52.577149,On or near DALTON STREET,E01010466,Wolverhampton 020D,Suspect charged
3d79ac0047976d151368e4640bfcfbea6e0d4e84189dd3fb17aba79adfa69067,2020-12,West Midlands Police,West Midlands Police,-2.081964,52.564061,On or near THOMPSON STREET,E01010450,Wolverhampton 029B,Suspect charged
2496fa09adb067a8a7a6c6a27513b435c0991d857911fd43b9baa88502917da4,2020-12,West Midlands Police,West Midlands Police,-2.129833,52.593190,On or near OXLEY LANE,E01010528,Wolverhampton 016C,Suspect charged
87476b1aa598345042c374174a69e8013423c04de825d78ab00b9010101c3b3c,2020-12,West Midlands Police,West Midlands Police,-2.084007,52.575126,On or near MIDDLEWAY GREEN,E01010419,Wolverhampton 023B,Suspect charged
5d0cb995aba008a2ec0501fdab65978c00520d50186404576009a0f1bb23fd51,2020-12,West Midlands Police,West Midlands Police,-2.064219,52.555037,On or near HAWKIN'S PLACE,E01010412,Wolverhampton 033C,Suspect charged
c7f5c259069cb76b3c3664e1a7bf01da53ca77c4b76b98251725244271c57733,2020-12,West Midlands Police,West Midlands Police,-2.128537,52.584022,On or near Shopping Area,E01010521,Wolverhampton 020F,Suspect charged
e0845f5427368edac36bbd4008d938594d4975290ffccc7d1c2fd235552c64cd,2020-12,West Midlands Police,West Midlands Police,-2.127623,52.584481,On or near Shopping Area,E01010521,Wolverhampton 020F,Suspect charged
3e317037fcbc0948cbde1f918a407a1b54d51e5d6a61614f1f7e9e2cae020b7f,2020-12,West Midlands Police,West Midlands Police,-2.128141,52.585056,On or near Shopping Area,E01010521,Wolverhampton 020F,Suspect charged
e760a9b60084b81d7280512e0509024a1f19fa8f1f07e7fe9e7074b61807b0a2,2020-12,West Midlands Police,West Midlands Police,-2.125741,52.586956,On or near PRINCES SQUARE,E01010521,Wolverhampton 020F,Suspect charged
4ced8cbea3fe975e70079d9760e4c445f28fce212ab53ab0dda9651f884e9294,2020-12,West Midlands Police,West Midlands Police,-2.140664,52.568851,On or near ROOKERY LANE,E01010426,Wolverhampton 035A,Suspect charged
d16e912b02aa13eadf91c65bc366f80c606a65f7f6fe75f9b7333ec046cec010,2020-12,West Midlands Police,West Midlands Police,-2.129833,52.593190,On or near OXLEY LANE,E01010528,Wolverhampton 016C,Suspect charged
a6baf77ab3e374c1c3c5e7eeb1a2cdd78f6b587bc0c355b577f040b3bd6313b8,2020-12,West Midlands Police,West Midlands Police,-2.117498,52.595459,On or near SPRINGFIELD ROAD,E01010521,Wolverhampton 020F,Suspect charged
9e1d3c5c3e54cfb9b291fc9b217b6d8b8d8bba5d2f424fc805778ff58887e820,2020-12,West Midlands Police,West Midlands Police,0.758395,50.988001,On or near MILITARY ROAD,E01021103,Rother 002A,Suspect charged
968e9080c295cfd503fde854682e563467037a1f7284e098f571531879a7ca5a,2020-12,West Midlands Police,West Midlands Police,-2.129833,52.593190,On or near OXLEY LANE,E01010528,Wolverhampton 016C,Suspect charged
7ddbc4009a88e44988cc9af1f83c2bfee88080a5163c0d610b6d6ab75103b114,2020-12,West Midlands Police,West Midlands Police,-2.094010,52.601962,On or near THE FURLONGS,E01010475,Wolverhampton 015D,Suspect charged
dbdad9173da889b8ea17700de179fc3ef49a308651d179b95e5863b9f76da3dc,2020-12,West Midlands Police,West Midlands Police,-2.154837,52.575702,On or near INGLEWOOD AVENUE,E01010468,Wolverhampton 026B,Suspect charged
3df6ff2f1fe5a3b5168ea6d02ee05a98fcc19a7ab3227f4d1431f97078c36ae6,2020-12,West Midlands Police,West Midlands Police,-2.129833,52.593190,On or near OXLEY LANE,E01010528,Wolverhampton 016C,Suspect charged
f65a435db5440012efedc9f147dcbc34a344cf8820412a6c206516e1c6b69825,2020-12,West Midlands Police,West Midlands Police,-2.088378,52.584311,On or near TYBURN ROAD,E01010447,Wolverhampton 018E,Suspect charged
2a62c0ed1515907750658bc32624a74f6cfc465c0a1ac3eb8040dd136a012fc0,2020-12,West Midlands Police,West Midlands Police,-2.117498,52.595459,On or near SPRINGFIELD ROAD,E01010521,Wolverhampton 020F,Suspect charged
f0eda261ef0d3b44687b69ab0b56a6803cd6bcf1e238230f824b1f40a5925d00,2020-12,West Midlands Police,West Midlands Police,-2.067025,52.567262,On or near ORMOND PLACE,E01010416,Wolverhampton 027C,Suspect charged
15ff0362f91f59fc64ed3ba738741a441e77be345e9c4bba1f9f0b5ffce69a32,2020-12,West Midlands Police,West Midlands Police,-2.067025,52.567262,On or near ORMOND PLACE,E01010416,Wolverhampton 027C,Suspect charged
5c1940a5c45d68a27ba663027fb6b92bb781138f8e588d345dbc0133572b6dad,2020-12,West Midlands Police,West Midlands Police,-2.108430,52.600107,On or near Petrol Station,E01010480,Wolverhampton 011C,Suspect charged
5e3aa89509bdb1bd264f6296b190c4209d69641118aa613908bfa85b191e62ce,2020-12,West Midlands Police,West Midlands Police,-2.094010,52.601962,On or near THE FURLONGS,E01010475,Wolverhampton 015D,Suspect charged
