Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
6bb372ce9cce0e3255d45d827982e12e5a849ed14d2f98abea42e04cdce504cd,2021-01,Cheshire Constabulary,Cheshire Constabulary,-2.576172,53.378100,On or near SECKER AVENUE,E01012505,Warrington 020B,Unable to prosecute suspect
8cfbaddb18c86888fabe12a8315c9598cd157a2644cc55fe54c3a91e9f752c6e,2021-01,Cheshire Constabulary,Cheshire Constabulary,-2.711234,53.331897,On or near COTTERILL,E01012402,Halton 011C,Investigation complete; no suspect identified
b0df9cc78199fcc4bb245f2e69cfb351e7611f294946653abbedaa9b81aebe9e,2021-01,Cheshire Constabulary,Cheshire Constabulary,-2.441503,53.088972,On or near Supermarket,E01018486,Cheshire East 043A,Investigation complete; no suspect identified
2edd27b770b384d829299d5953cc1bdf0b2698326369efc79d558b69148636d9,2021-01,Cheshire Constabulary,Cheshire Constabulary,-2.516817,53.419675,On or near FIELDFARE CLOSE,E01012465,Warrington 005C,Investigation complete; no suspect identified
5ff9cbbd618c3a6ff2b98129a7e2bfe82bdd15ba7576483d77c43b8993f62354,2021-01,Cheshire Constabulary,Cheshire Constabulary,-2.775485,53.263028,On or near Petrol Station,E01018695,Cheshire West and Chester 015B,Investigation complete; no suspect identified
8c491a1e7dba2de02db3a0ce586fec575b2191a5d0b6057ffe13330fdf30ab77,2021-01,Cheshire Constabulary,Cheshire Constabulary,-2.573180,53.257116,On or near ELM ROAD,E01018729,Cheshire West and Chester 019D,Investigation complete; no suspect identified
52afe3d122d3dd7f45f3e1131a947fd057fd93a3460352c9c548b7f21eb5a55b,2021-01,Cheshire Constabulary,Cheshire Constabulary,-2.557841,53.389153,On or near MERSEY WALK,E01012506,Warrington 020C,Investigation complete; no suspect identified
0f6a1dcf98cce9bed14b4d51f6b4888b4cad3365a0fd28644d2cc3111e3104e9,2021-01,Cheshire Constabulary,Cheshire Constabulary,-2.242727,53.163604,On or near Sports/Recreation Area,E01018410,Cheshire East 028D,Investigation complete; no suspect identified
a4381d9e2cb91fe0a57ddd2ce42a3f79ba41186834f92dccc6c2d2120aa4837f,2021-01,Cheshire Constabulary,Cheshire Constabulary,-2.905348,53.201346,On or near MEADOWSIDE MEWS,E01018330,Cheshire West and Chester 034D,Investigation complete; no suspect identified
8906f826eddd39fb677b982ec77127fe24e1e908897b5f4ff86c5fb65d30eb34,2021-01,Cheshire Constabulary,Cheshire Constabulary,-2.617942,53.380893,On or near MARIGOLD PLACE,E01012458,Warrington 018B,Investigation complete; no suspect identified
616a418a9ba97005a49890f85699e02bd720fbed08060829bc4215815f1d79a9,2021-01,Cheshire Constabulary,Cheshire Constabulary,-2.893345,53.189993,On or near WATERGATE STREET,E01018326,Cheshire West and Chester 034A,Investigation complete; no suspect identified
f9488d390bcef3b659f69ce89e44b27a7f118415b2816cdca50690806e2a7aad,2021-01,Cheshire Constabulary,Cheshire Constabulary,-2.517685,53.060600,On or near PARKFIELD DRIVE,E01018503,Cheshire East 050C,Investigation complete; no suspect identified
2478ead929614233bcb76bd1739a2cd800bc8afd6ee5f14f0e498ad2b607b3de,2021-01,Cheshire Constabulary,Cheshire Constabulary,-2.658368,53.310861,On or near ASTON LANE,E01012385,Halton 009A,Investigation complete; no suspect identified
21437b187f2dd50887c1339f6d431009bb335d2634fcb50b1fe49e84d0e722a2,2021-01,Cheshire Constabulary,Cheshire Constabulary,-2.888403,53.267975,On or near CAERNARVON COURT,E01018551,Cheshire West and Chester 011C,Investigation complete; no suspect identified
e9d35d139e9b74ffb82e1d5bfa19ff14a3ab0a1f973b79eb2cc0d0a300a9bf38,2021-01,Cheshire Constabulary,Cheshire Constabulary,-2.952353,53.292938,On or near WOODLAND VIEW,E01018570,Cheshire West and Chester 004C,Investigation complete; no suspect identified
8857ea402326efc1b5e3c31296b20890c5e71b360aa50168e7e26156c82f3766,2021-01,Cheshire Constabulary,Cheshire Constabulary,-2.683616,53.339196,On or near Park/Open Space,E01012444,Halton 010D,Investigation complete; no suspect identified
3838480b02ee03ce4c95a3e22056e275ed5f02b3f79f7789dcc9d283fc17ce90,2021-01,Cheshire Constabulary,Cheshire Constabulary,-2.564862,53.381138,On or near Petrol Station,E01012507,Warrington 020D,Investigation complete; no suspect identified
d29c5a1fdcf17dda1d8f70d77aac9ddac383e3e17c470ecf04cb9ada19f7ef07,2021-01,Cheshire Constabulary,Cheshire Constabulary,-2.888563,53.192501,On or near FRODSHAM STREET,E01018326,Cheshire West and Chester 034A,Investigation complete; no suspect identified
aaf318959d9d9b9a17d7b6f38e72bfa0a01ef95e4102830bfa81a639fede8f34,2021-01,Cheshire Constabulary,Cheshire Constabulary,-2.452075,53.103314,On or near FORD LANE,E01018467,Cheshire East 036E,Investigation complete; no suspect identified
53b3585ee4aead291bbf60f4789f96beb6c9a2f16c60a54b319d8c971de0789f,2021-01,Cheshire Constabulary,Cheshire Constabulary,-2.509444,53.201656,On or near MAYFIELD DRIVE,E01018749,Cheshire West and Chester 035D,Unable to prosecute suspect
554214361ce186ee1160d438433fb5f78806331e94274e99254e6d6fac354222,2021-01,Cheshire Constabulary,Cheshire Constabulary,-2.890447,53.201054,On or near BROOK LANE,E01018375,Cheshire West and Chester 028D,Investigation complete; no suspect identified
bda1d75906ae1bce30db69082d7e7278f3db1daad16676e21b7373a67fd24ff7,2021-01,Cheshire Constabulary,Cheshire Constabulary,-2.572633,53.415735,On or near SWIFT CLOSE,E01012533,Warrington 008C,Investigation complete; no suspect identified
