Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
747877f3ee0b75d1ed2880f298626322d2a5d0a3fd6fec509745644554882169,2021-01,Devon & Cornwall Police,Devon & Cornwall Police,-3.815821,50.797627,On or near SANDERS ROAD,E01020076,Mid Devon 009C,Unable to prosecute suspect
87fa00917821afdbb6deb4a0969f80b39ba40758648d578fd0acc873b04567e6,2021-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Local resolution
24d6acdb61da0d2b2846ed0315a2341500817733a4b34813a3e20dcc16b4d0e8,2021-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
a7062704f9297b6bd1f6b12f54f304ed379636e3061291e77351e3c3b0ae4105,2021-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
a852382b106193208fd75f0dad270db85fb85e91c321e3aa197fadca94c3a004,2021-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
676659688ca133e47497c2d776a5fa073da5c354917b090698b7ecd91cf1c333,2021-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
4be26d0fbac6dfb1cd1abb900fd40df0abaaf0da40cd4d5e6a6beb629cb5dc16,2021-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
a202e91b1976deec3e9677a7ad7d1d522b71b7d16546bcd4dc01fe927b6a5d6c,2021-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
0c23081fdb734f74a27ea57e7e7870fa7a6fbe0a594cece0a72f9fae06f8bcac,2021-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
0a6df39a0d00118b38fc714a9a71cee520f9b1413d7d263233cfbee36795467d,2021-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
56cecec2c60677ff52686cc9a8138215293ae1e7459aee00ddbb08ce09d3a879,2021-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
548112ace3dc59dbd54a84a871ba548f5f2e87367849a4bf44d46ccb12627f8e,2021-01,Devon & Cornwall Police,Devon & Cornwall Police,-4.206842,51.020222,On or near WILLET STREET,E01020282,Torridge 003C,Offender given a caution
9b622fdfcf4d7060debff098a1fa94443fce6fc605d15c843faea64db4a93abb,2021-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Local resolution
ed5210f0a7bdac838b2e8f58b0279bf79d21a43cbaad8b081b4b8ac6810a8f9b,2021-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Offender given a caution
97d779a399c98b6ce31ec8a28049cf96d48afee41f3e71923cfbb2ad4b4fb5c2,2021-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
9de578685895a5a988aec27172376a133bdb1de228b2808d0f5b89b14d1f7e75,2021-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
b026f7650f07ed8e89a8f87eda65612ee13d5b700fe764dbadbabb73bef1af66,2021-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
5ce3ff34748c66a0a61fb4ee1d4edb16a3ca05c825b53f120cfe79c9e5f867d7,2021-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
