Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
47c06484dc74ad9ee59aaf44adc67804de2f127ea3f3fb5c2b94cc04b0427f67,2021-01,Dorset Police,Dorset Police,-1.836500,50.725257,On or near GRANTLEY ROAD,E01015280,Bournemouth 019C,Unable to prosecute suspect
7e2acabc6906117527b2f8a43141612f029f6d77aaa6ed51a82426d604ad4158,2021-01,Dorset Police,Dorset Police,,,No location,,,Suspect charged
36d4967980733be6569d502cd25f6c4d1189899347b42313bc5f25387a5a067f,2021-01,Dorset Police,Dorset Police,,,No location,,,Suspect charged
9203683c588652ca3f78ad4cf08dc2121464014b77b1d953c84e8ed0325d8e87,2021-01,Dorset Police,Dorset Police,,,No location,,,Suspect charged
6c9bbf1bc67cfc6d14f8d4317aa0aa51d626529b9aad2debc86839ccdaae54d4,2021-01,Dorset Police,Dorset Police,,,No location,,,Offender given a caution
673c1d36f4196b1d17727220886092e52faa7666d7ca411d955da3b29edc56bb,2021-01,Dorset Police,Dorset Police,,,No location,,,Local resolution
ae5c3d79771d9b25e0e5cf6e3f337cbd305a1726e829ca6ac9c20954f86327b7,2021-01,Dorset Police,Dorset Police,,,No location,,,Local resolution
a50f9185266581b2fb70263d38ccefaaf2a274bf9e8574cf596403ce341d4a4a,2021-01,Dorset Police,Dorset Police,,,No location,,,Unable to prosecute suspect
7697c5559664932d3e019dec52174b4caaaeb7b911844965fd8d4bf1aa7f4a19,2021-01,Dorset Police,Dorset Police,,,No location,,,Unable to prosecute suspect
39965962cdd30f7b2d33f2e034ae2f754ca1df4014685efc92664ae0d7b1f765,2021-01,Dorset Police,Dorset Police,,,No location,,,Unable to prosecute suspect
7f804ab181bf1d82a7ed472bb33205283e1873721481fad2995f138af2e5192c,2021-01,Dorset Police,Dorset Police,,,No location,,,Unable to prosecute suspect
5cac605cf36cebbffbcecfaac46e0dccfe67ae16c00e19a9a7a938322e2ff6ee,2021-01,Dorset Police,Dorset Police,,,No location,,,Unable to prosecute suspect
ef853ce522ba8f74f5655650160ab1448b774a4479415d4b764772962a0b7a9d,2021-01,Dorset Police,Dorset Police,,,No location,,,Unable to prosecute suspect
49d5d3a2010b2518e28cf00f2315cd9530b4a9d20491f7485cd918c5c2b44afa,2021-01,Dorset Police,Dorset Police,,,No location,,,Unable to prosecute suspect
b7ef2d1ec3748df1fc451fa04320b26c7ed4ad29c721029e893e762390ce9131,2021-01,Dorset Police,Dorset Police,,,No location,,,Unable to prosecute suspect
3f5ff1ef13e2fd5d8c8793e449df27f1dfaef71f8e12d6e0d13d7249e32c4bd3,2021-01,Dorset Police,Dorset Police,,,No location,,,Unable to prosecute suspect
4b8f60512a0535ab0ecc9e9be352eed8a4536f1d289fa1045f9a31021a91a26c,2021-01,Dorset Police,Dorset Police,-2.454429,50.620636,On or near KIRTLETON AVENUE,E01020556,Weymouth and Portland 004D,Unable to prosecute suspect
68dd79191c0ea630c07d3e8bae62a0def146410dca9e123b684095867a0351ca,2021-01,Dorset Police,Dorset Police,-2.424380,50.636838,On or near BOWLEAZE COVEWAY,E01020557,Weymouth and Portland 002A,Unable to prosecute suspect
