Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
fe2fb767a09e811aea290bc8fe1f953aa2364ca5df4d7d848e32c91dc7b417bf,2021-01,Gwent Police,Gwent Police,,,No location,,,Suspect charged
9b8637c62427d83b6c8ba360b939416a81751fdfdc7a457570e3199a54f23178,2021-01,Gwent Police,Gwent Police,-3.009375,51.578272,On or near CAE PERLLAN ROAD,W01001629,Newport 017A,Investigation complete; no suspect identified
236df9d210d744382d3c1a83486f98d1dc458d08868ff4e2e6af213117256b3b,2021-01,Gwent Police,Gwent Police,-3.229880,51.687944,On or near HANBURY SQUARE,W01001337,Caerphilly 004B,Investigation complete; no suspect identified
a9436e20313d689e7d669a4c34bf025d89c89942e2e8674e85bfec29c0498b1c,2021-01,Gwent Police,Gwent Police,-3.007159,51.583749,On or near CAERAU CRESCENT,W01001605,Newport 014A,Investigation complete; no suspect identified
a019801e6719ef088d9aba306644869c84e70fd1b7a55fab0ffabe2a22118ff3,2021-01,Gwent Police,Gwent Police,-2.996604,51.602704,On or near BRYNGLAS AVENUE,W01001683,Newport 006D,Investigation complete; no suspect identified
2037075aa7e00a07b36515d4f2694617dfe98db7474b4f1bb5bff132364eb2f7,2021-01,Gwent Police,Gwent Police,-3.033279,51.611585,On or near HELFORD SQUARE,W01001619,Newport 003C,Investigation complete; no suspect identified
628eac7ce34a9b979859eb6fbd54237fee132a720ec9ff0589ff4741ce82d356,2021-01,Gwent Police,Gwent Police,-2.951479,51.588728,On or near ABERTHAW CLOSE,W01001610,Newport 015C,Investigation complete; no suspect identified
1da9330ef8035bdad7971cd2e926613ae3a7cfbae8bb44bc2420c4e498de0140,2021-01,Gwent Police,Gwent Police,-2.717288,51.811633,On or near NAILER'S LANE,W01001554,Monmouthshire 004C,Investigation complete; no suspect identified
04642e2d26c6799c3142e48b3820e7245ae31e6be945294fa53fa29f6feae398,2021-01,Gwent Police,Gwent Police,-2.714892,51.583844,On or near CAMP ROAD,W01001578,Monmouthshire 009C,Investigation complete; no suspect identified
7ce9db5c815a7c703900782fc0262cf2af368ac20c7691b50512d322fd740bf0,2021-01,Gwent Police,Gwent Police,-2.951479,51.588728,On or near ABERTHAW CLOSE,W01001610,Newport 015C,Investigation complete; no suspect identified
0913e443430c4b08dc87fcdcb089555ba3056620b8836a155952f98dc8f68f8d,2021-01,Gwent Police,Gwent Police,-2.932258,51.596777,On or near CUNNINGHAM ROAD,W01001664,Newport 010A,Investigation complete; no suspect identified
cdb6d0b58bceea7fabd85436d61db2a20d09ee5a7d018d4338457e35d317d047,2021-01,Gwent Police,Gwent Police,-2.971591,51.605189,On or near CHICHESTER CLOSE,W01001678,Newport 005D,Investigation complete; no suspect identified
2a3dd5c28fdf1342ae9424749949ad56aa487de59340b5607b2fefd9242c3a7e,2021-01,Gwent Police,Gwent Police,-3.043589,51.704638,On or near Parking Area,W01001524,Torfaen 004D,Investigation complete; no suspect identified
794c3358046361ac358c2f7420c5dbf4470e28e98c939c915a077cf69135a9e7,2021-01,Gwent Police,Gwent Police,-2.969376,51.577144,On or near Sports/Recreation Area,W01001647,Newport 015F,Investigation complete; no suspect identified
d8c98a863ba904e26e8d97260f322dd260b26bf16df82da87d618ca1131946d8,2021-01,Gwent Police,Gwent Police,-3.291758,51.771388,On or near AEL-Y-BRYN,W01001429,Caerphilly 001F,Investigation complete; no suspect identified
49ff93ca771da4367fa961804c2557c7814697d077bbfd01930262c097ee4483,2021-01,Gwent Police,Gwent Police,-3.078011,51.544123,On or near CASTLETON RISE,W01001658,Newport 020D,Investigation complete; no suspect identified
c546fbb8f727c716168224529991f4bd3f3e56028d86abd34cd384033e8e9d52,2021-01,Gwent Police,Gwent Police,-3.055567,51.649709,On or near SPRING GROVE,W01001499,Torfaen 011C,Investigation complete; no suspect identified
5b30193642f6ba4cca0edf4b4c3f1aee5003a798c0c9d72d5e9a74163bb82d5e,2021-01,Gwent Police,Gwent Police,-2.967504,51.708319,On or near WERN LANE,W01001560,Monmouthshire 006C,Investigation complete; no suspect identified
8a5abbbea9de129150d38b8ce0971f1f80b8e95a99b62efd8fdc94d4759abf46,2021-01,Gwent Police,Gwent Police,-3.545061,51.679320,On or near ALMA STREET,W01001266,Rhondda Cynon Taf 007B,Investigation complete; no suspect identified
f2195a35255b4a01159648ef304d9d69e229dce5422a999990e31b017d96c021,2021-01,Gwent Police,Gwent Police,-3.254753,51.663017,On or near GAER PLACE,W01001414,Caerphilly 008A,Investigation complete; no suspect identified
30d362f1e8900dcfec150a0d29bbaa85d34c6d40d2d6362726b8d9abcbdbf86c,2021-01,Gwent Police,Gwent Police,-3.050936,51.711900,On or near Sports/Recreation Area,W01001531,Torfaen 003D,Investigation complete; no suspect identified
c2d74f57c84e217239097553f2d965409be1155afee8f430a8cd24b0066d58f7,2021-01,Gwent Police,Gwent Police,-3.062455,51.728494,On or near MANOR WAY,W01001484,Torfaen 002C,Investigation complete; no suspect identified
