Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
d65602813a9c33511ea47268dc4d46596f87c31a3d58c4f1045a75de5c795650,2021-01,Merseyside Police,Merseyside Police,-2.974272,53.389788,On or near SHAFTESBURY STREET,E01033765,Liverpool 061D,Unable to prosecute suspect
a57838d837222d0f0dfcd92f654b0b532d68c4e83fe7a16017d0390c86e8182c,2021-01,Merseyside Police,Merseyside Police,-3.049136,53.410404,On or near AUSTIN STREET,E01007270,Wirral 010D,Suspect charged
57f2ca1431961782c934f691e9af7b11c0a5018ba542a6fa17f8167b7baf6bdb,2021-01,Merseyside Police,Merseyside Police,-2.915250,53.388952,On or near PENNY LANE,E01006593,Liverpool 042E,Suspect charged
493a750fa4d45e42cce8095dddac62a95925182cba038ea724b5bff60233876d,2021-01,Merseyside Police,Merseyside Police,-2.842155,53.413149,On or near STANLEY ROAD,E01006474,Knowsley 016C,Local resolution
3e56621afa6770afdae7a0c861c9b638cb7b740a3836ab943ca582293bdcf87d,2021-01,Merseyside Police,Merseyside Police,-2.934027,53.399800,On or near ASH GROVE,E01006728,Liverpool 035E,Unable to prosecute suspect
73edc37f38991a99ed9edf0b1d5ae7121c15fb94c2a9a6bfa7bacef6d5ba1ad3,2021-01,Merseyside Police,Merseyside Police,-2.907283,53.466083,On or near PANTON WAY,E01006506,Knowsley 004B,Local resolution
21eb8ace4da2ce6b8bb3e85e5c308b17959144b72c01add208ab2b3972cda83f,2021-01,Merseyside Police,Merseyside Police,-3.105940,53.403338,On or near FAIRMEAD ROAD,E01007208,Wirral 012A,Unable to prosecute suspect
98a369c6d0ed93b770b99f1b70bc386860d5eb1c520ad58e764cd3dea8e57774,2021-01,Merseyside Police,Merseyside Police,-2.723059,53.420168,On or near FARRIER WALK,E01006909,St. Helens 022D,Unable to prosecute suspect
12bacfdd030db92cc8d4990bec3d5fc92fd69bbbfa9fddb2685eb463f7f112b1,2021-01,Merseyside Police,Merseyside Police,-2.838751,53.370170,On or near WHIMBREL PARK,E01006419,Knowsley 019A,Unable to prosecute suspect
845f2db6bd561289a4b23ade7d7dfe6144e4d9924083762edf26479445085d13,2021-01,Merseyside Police,Merseyside Police,-3.041929,53.384498,On or near BARNARD ROAD,E01007160,Wirral 020B,Unable to prosecute suspect
adb4b7491f36e84db8e2bfd6dfed3867fd103160dd45d57faa2777d9b769cb51,2021-01,Merseyside Police,Merseyside Police,-2.661382,53.474538,On or near Parking Area,E01006840,St. Helens 005C,Investigation complete; no suspect identified
99bcc3509220a8eec0ee7a0c92519d2328f103152d44310b37f4be789d28dec2,2021-01,Merseyside Police,Merseyside Police,-2.749270,53.469723,On or near WINDLE HALL DRIVE,E01006919,St. Helens 007F,Unable to prosecute suspect
b1d6b2bd0081a8535fb1e1f8658fe46cfb4909cc45ed487448a0b9e29bf07253,2021-01,Merseyside Police,Merseyside Police,-2.754607,53.460629,On or near GREENFIELD ROAD,E01006916,St. Helens 007C,Unable to prosecute suspect
d5eea89a634454b8e21f7831a00a4b6e74202d34362c948a30beaa394fc01180,2021-01,Merseyside Police,Merseyside Police,-2.920817,53.415588,On or near SWAN STREET,E01006711,Liverpool 027A,Investigation complete; no suspect identified
8e487919060934dd0afa1121bf72c40da52aa91c48587d15a4a8990cc4574723,2021-01,Merseyside Police,Merseyside Police,-3.037866,53.602225,On or near STATION ROAD,E01006927,Sefton 011D,Investigation complete; no suspect identified
8edd155a7397eba789462c204855fcd6a955cbf32bc95a5716f979cf221f7953,2021-01,Merseyside Police,Merseyside Police,-2.984106,53.475767,On or near ANDERSON ROAD,E01006981,Sefton 031B,Investigation complete; no suspect identified
2656a6c8aed24e1aff8e679ca1ad6bba612959046a18db1c8990ae2000a1792a,2021-01,Merseyside Police,Merseyside Police,-2.940452,53.412856,On or near LILLY VALE,E01006690,Liverpool 028A,Investigation complete; no suspect identified
42907663829e9c0a6564621b44ceba4d97b99e08a74d9527d15eda109294d12f,2021-01,Merseyside Police,Merseyside Police,-2.980930,53.396206,On or near JAMAICA STREET,E01006515,Liverpool 037B,Investigation complete; no suspect identified
75955fce5ce75a82c4728e94922a09da50e66de3d5392964da472efd629fe008,2021-01,Merseyside Police,Merseyside Police,-3.054453,53.391210,On or near ST AIDAN'S TERRACE,E01007160,Wirral 020B,Investigation complete; no suspect identified
e31ac95cf6defda9e9fbc579c10a4091b1ff451d2bcf36f19c6296e1bdc27ab4,2021-01,Merseyside Police,Merseyside Police,-2.968299,53.465766,On or near READS COURT,E01006781,Liverpool 003A,Investigation complete; no suspect identified
4620502d2d9ecc4f2acd451cce79ae6668124b6e46a6c2dd82b9136315aa8a9f,2021-01,Merseyside Police,Merseyside Police,-2.971828,53.418474,On or near ROYHSAY CLOSE,E01006648,Liverpool 023D,Unable to prosecute suspect
19ab3c112b8e2bbe4dee454f824b2e9879304e20bd1b52ab9a6fbdcefaa76ad6,2021-01,Merseyside Police,Merseyside Police,-2.879106,53.483175,On or near BRIERY HEY AVENUE,E01006437,Knowsley 003D,Investigation complete; no suspect identified
7f557e3126d0d9ebb2ba9a83cd671054c80d5a2230dc82995b77fbc9e7582a40,2021-01,Merseyside Police,Merseyside Police,-2.972064,53.446616,On or near SELINA ROAD,E01006705,Liverpool 009E,Investigation complete; no suspect identified
bd1844540c4820d3a2952233d9240b973cf569156017bb4fde46cd8556367e77,2021-01,Merseyside Police,Merseyside Police,-3.002263,53.632892,On or near MATLOCK CLOSE,E01006997,Sefton 008B,Unable to prosecute suspect
1ed527b6788a79e3599f2f9e605afe31fc995dcea36280667cb2a645089b0061,2021-01,Merseyside Police,Merseyside Police,-2.740075,53.456441,On or near Parking Area,E01006877,St. Helens 012C,Investigation complete; no suspect identified
62a2518c216a486945f5f7c46ec382888384c4b3dea99d11d4f454acc64b0706,2021-01,Merseyside Police,Merseyside Police,-2.932701,53.453294,On or near ELSTEAD ROAD,E01006735,Liverpool 005D,Investigation complete; no suspect identified
6714ccf7f5675186dfd04e83356f35d87fa6ed30f451ea8b45ff9797a2253737,2021-01,Merseyside Police,Merseyside Police,-2.926694,53.401493,On or near HEY GREEN ROAD,E01006725,Liverpool 035B,Investigation complete; no suspect identified
6141b9137cee1e9a7b6e17740291faa6c7b7e9f36c44710c2e884d27909ed2b6,2021-01,Merseyside Police,Merseyside Police,-2.926694,53.401493,On or near HEY GREEN ROAD,E01006725,Liverpool 035B,Investigation complete; no suspect identified
930af6623b44fba1d69b62ed42557fe44e3dd547d53d3eb8695312bdb5aeb6e6,2021-01,Merseyside Police,Merseyside Police,-2.909708,53.444222,On or near ELDERSFIELD ROAD,E01006599,Liverpool 010B,Unable to prosecute suspect
e38d5229fb875da1e7704bf3dc9c5dffc3b6df1e80aa27e556f8e79b6a23653b,2021-01,Merseyside Police,Merseyside Police,-2.936309,53.393454,On or near Supermarket,E01006557,Liverpool 038B,Unable to prosecute suspect
0be2c6ffdf1f13ef5680c84808c0e82ebf7ca962602b7a639d879c9421147bca,2021-01,Merseyside Police,Merseyside Police,-3.017866,53.377290,On or near MOORLAND ROAD,E01007293,Wirral 027C,Investigation complete; no suspect identified
850af8b01c9776394ce695735e34d87fe9ddca765fbc6f565e97705d55db7c1d,2021-01,Merseyside Police,Merseyside Police,-2.851122,53.387539,On or near LULWORTH ROAD,E01006708,Liverpool 045C,Investigation complete; no suspect identified
b4306aed9781f25f98406e2585254417090bea0070d6ec04ba4d79dcc225e3da,2021-01,Merseyside Police,Merseyside Police,-2.920032,53.428700,On or near Petrol Station,E01006618,Liverpool 016C,Investigation complete; no suspect identified
1e181b331c58a0fc104da5175c9f81f0c8929f1f10403e33dedd969ad2668b41,2021-01,Merseyside Police,Merseyside Police,-2.875579,53.423138,On or near FINCH WAY,E01006642,Liverpool 025D,Investigation complete; no suspect identified
b89d48d7dc65eda5b13c2d7a6da2f501421328e7451988d52be884d40c063e7e,2021-01,Merseyside Police,Merseyside Police,-2.926694,53.401493,On or near HEY GREEN ROAD,E01006725,Liverpool 035B,Investigation complete; no suspect identified
9eeb439a162f661817ccf81bbd9845f042f6356e3a94e0d9bae64d3de747a948,2021-01,Merseyside Police,Merseyside Police,-2.871661,53.486097,On or near CLORAIN ROAD,E01006448,Knowsley 001A,Investigation complete; no suspect identified
36f35bf77cd4341d61dee9cd78352e3d01fc99bedcb6c0ec06661288f85ea88b,2021-01,Merseyside Police,Merseyside Police,-3.021530,53.410383,On or near NORTH WILLIAM STREET,E01007274,Wirral 008C,Unable to prosecute suspect
