Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
f89d51ab1eb9c371b44340115c2c065fef11b3aa9f98013c6819d4aec1ac3901,2021-01,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Unable to prosecute suspect
d12a8e39d6acebae3fad10d66d22d579f4b839d264167585600bc4ba225c3d1e,2021-01,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Unable to prosecute suspect
9fd4a7eb9208a4567977224a3fbdf40e17e2eb6a160c908baf85657ec62ff9aa,2021-01,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Unable to prosecute suspect
ab3fdb9d1dc301c172f12aacd3352742219aace1be123c748779b5e259d7bea7,2021-01,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Unable to prosecute suspect
4adc5e54e411c07bf9c6647d5c4238492833799495e98b33d1513eab972f6e82,2021-01,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Suspect charged
82cd4861a688e9a931d112299c7acd6db5a7e0cc49bd8609309dd6c6d7210898,2021-01,Norfolk Constabulary,Norfolk Constabulary,1.280486,52.637868,On or near CAUSEWAY CLOSE,E01026827,Norwich 007F,Investigation complete; no suspect identified
a401a552583a7235180021905abd3b09e75c27b503190e0f375a7f28468bd3b6,2021-01,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Unable to prosecute suspect
a619f2f22c71cdfb57c959cb126f83f0bc2772b0729d57879db5fa8697b0d1c4,2021-01,Norfolk Constabulary,Norfolk Constabulary,1.722564,52.650702,On or near ROMAN WAY,E01026590,Great Yarmouth 003B,Unable to prosecute suspect
f1760942c541fb775d875d30315ada47d955bdaf96208a62088cf471aec6c4e8,2021-01,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
1d635c786db2fdae128940af1b1240b744937a605cf9fe44540e647279d512ac,2021-01,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Unable to prosecute suspect
4b3d4c62aba9f36eec2b4f11d40c71267263b21ee2752db2dbb95412e89c1078,2021-01,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Unable to prosecute suspect
aa2e7ebc9e32ebb3c8a79a48335f06bc78c5546de14ab2949430fd5e8b962c19,2021-01,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Unable to prosecute suspect
4a022e9d6c9234c748f055016897e49a82eb515427d102543843ae9c0147025c,2021-01,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
