Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
bf34363517ed5defa79f5592d290cb230107ee72b335b1f31d8fdfb500b54618,2021-01,Nottinghamshire Police,Nottinghamshire Police,,,No location,,,Investigation complete; no suspect identified
74528afcfd6256deba7945336b23887148cbd48dfbc6e9539446608795927600,2021-01,Nottinghamshire Police,Nottinghamshire Police,,,No location,,,Investigation complete; no suspect identified
ae0fbaddfa4a1e82e7d8cc8f43d261833252ba6f1745c4c5c626327b17e9e390,2021-01,Nottinghamshire Police,Nottinghamshire Police,-1.213247,52.975905,On or near BIDFORD ROAD,E01013822,Nottingham 011C,Unable to prosecute suspect
d097e23d943ef13cee91a9b710a06d78e362ccb82cdcb67ee9e0124723fc9093,2021-01,Nottinghamshire Police,Nottinghamshire Police,,,No location,,,Investigation complete; no suspect identified
ca7a8ccc82fe55b13491bee6689c61499453617809956c455da62ba6a3dbd5cb,2021-01,Nottinghamshire Police,Nottinghamshire Police,,,No location,,,Investigation complete; no suspect identified
812205b7a7e012e059d9719709fa3fc9fa90d0888a6b6067c761cd8481d8f692,2021-01,Nottinghamshire Police,Nottinghamshire Police,,,No location,,,Investigation complete; no suspect identified
c464ea48783eea2d07067ff326810fe499c7d7a10cec657e8b24a11c86140635,2021-01,Nottinghamshire Police,Nottinghamshire Police,,,No location,,,Unable to prosecute suspect
96d2ce3b15f1761f93810c30ab4f24a65646ed0124878d6ed85d5aeac1270d74,2021-01,Nottinghamshire Police,Nottinghamshire Police,,,No location,,,Unable to prosecute suspect
8ad6db7715b3220b428e5276b18abf0b438d727671893a385bd3bf43a4436838,2021-01,Nottinghamshire Police,Nottinghamshire Police,-1.150532,53.202822,On or near THE HOMESTEADS,E01028226,Mansfield 002C,Investigation complete; no suspect identified
d53ee4bd7844465c128d1933688c2a194fadd3dbe6971a7cced2bb4f20dc124e,2021-01,Nottinghamshire Police,Nottinghamshire Police,,,No location,,,Investigation complete; no suspect identified
