Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
f518990ca48b35eaa586bae2135dcfb8eea6347c0ffc2dc3a2456d7c89fdc9e1,2021-02,Gwent Police,Gwent Police,-3.011835,51.583116,On or near PROSSER LANE,W01001605,Newport 014A,Investigation complete; no suspect identified
50c7ac80ec7001bdc9bd5920eaeb58a3036bc3f6accfa1aefe470356edfc7c9d,2021-02,Gwent Police,Gwent Police,-2.950281,51.579755,On or near EASTMOOR ROAD,W01001646,Newport 015E,Investigation complete; no suspect identified
78557ed436705080a8495a2f52afc6fa6c417f7a4f26e7c6fe7f11df29791efb,2021-02,Gwent Police,Gwent Police,-3.028274,51.611845,On or near Police Station,W01001621,Newport 003E,Investigation complete; no suspect identified
d97cfabdc8be666139056189578a4cbd508e731c0e5900a336e52f6b698284b0,2021-02,Gwent Police,Gwent Police,-3.005820,51.693629,On or near GOLF ROAD,W01001512,Torfaen 005C,Investigation complete; no suspect identified
9b646dca49556d99b3309d287855b4b780f1d51a15f34d703fbae37b95240f90,2021-02,Gwent Police,Gwent Police,-2.973937,51.612947,On or near OAKDALE CLOSE,W01001624,Newport 001B,Investigation complete; no suspect identified
2a5b388ec7abb84eb521366a5a74ada164a4c2c27e24f000f633f16f2ed5f7f4,2021-02,Gwent Police,Gwent Police,-3.144235,51.735971,On or near MORLEY ROAD,W01001453,Blaenau Gwent 008D,Investigation complete; no suspect identified
4bec06058157a18971c68c0755b9ee54538b2f0ead68e7f0598d2d3ffc576f07,2021-02,Gwent Police,Gwent Police,-3.284631,51.781725,On or near BRYN AMLWG CLOSE,W01001429,Caerphilly 001F,Investigation complete; no suspect identified
d07e93e3b603e311c504c4c07407010d86c3ae94651e1370635aa6308dd7928e,2021-02,Gwent Police,Gwent Police,-3.174457,51.799018,On or near DAVIES STREET,W01001448,Blaenau Gwent 002C,Investigation complete; no suspect identified
eee979d6ad4939abeb416a590ad37faa1213e3d7499c86788d461848a884837b,2021-02,Gwent Police,Gwent Police,-3.092889,51.611881,On or near FAIRVIEW AVENUE,W01001409,Caerphilly 016C,Investigation complete; no suspect identified
08aabad368e916ead09565c1dd3b59777e47ddc1eb62026eea37f376b2a9d708,2021-02,Gwent Police,Gwent Police,-3.014365,51.836231,On or near GOLWG Y DERI,W01001909,Monmouthshire 002F,Investigation complete; no suspect identified
a5fc5ee9542942f9e4c26dedef6e1b384cb0ccfe82e6b41901e424034a6cb823,2021-02,Gwent Police,Gwent Police,-3.191781,51.663925,On or near THORNCOMBE ROAD,W01001350,Caerphilly 009C,Investigation complete; no suspect identified
