Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
a72941edde536832f5fe17e9bc48d1e32cabd666f4b9bdb0281e99e06d2f50d1,2021-02,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
374d7c0f3be3e45c9a1f01177b2bc2b7278ef5ef931774ae5fd890c505dbfde3,2021-02,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
5b05f7ae76ba0b10dbecb508b7bf9534710de29de691314adb958e25174a8401,2021-02,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
731eac85a6248ff0e868a0b7bff3d3a211da89440b7c89c84572d12743c55b39,2021-02,Leicestershire Police,Leicestershire Police,,,No location,,,Action to be taken by another organisation
f5db3e3550b1b1a0ca74f832cbb0575483c110c755459d5ba04a4111408c5b69,2021-02,Leicestershire Police,Leicestershire Police,,,No location,,,Suspect charged
f2d22f5b1f99711be11ca02089a4eda42e3fba025e238edabea6eb1fb0e9cc5c,2021-02,Leicestershire Police,Leicestershire Police,-1.138704,52.730096,On or near BARONS WAY,E01025735,Charnwood 012D,Unable to prosecute suspect
f709951629df6678b092805d3cef0164797c09b0e69d037087ad6c6f3845aff9,2021-02,Leicestershire Police,Leicestershire Police,-1.139429,52.602121,On or near GEDGE WAY,E01013693,Leicester 035E,Suspect charged
6e9c774baf4fefa3d8b587781f0a8277883dbeb28c7bbeda78e8161dac6a8122,2021-02,Leicestershire Police,Leicestershire Police,-1.139429,52.602121,On or near GEDGE WAY,E01013693,Leicester 035E,Unable to prosecute suspect
e6f53e070f313338482521e36e4b89cef3e44b97b6a747a430fb1c0e5ce6967f,2021-02,Leicestershire Police,Leicestershire Police,-1.093773,52.642209,On or near UPPINGHAM ROAD,E01013655,Leicester 011D,Unable to prosecute suspect
41629c2a6df3e77555f12117405b930eebe555bc4872b098d4ec246bf43ebb5f,2021-02,Leicestershire Police,Leicestershire Police,-1.217961,52.619800,On or near GALAHAD CLOSE,E01025631,Blaby 002A,Investigation complete; no suspect identified
0416ad74179db3467ca71663ea8d9770773217534f76f2ce3707d55c1d3f6af1,2021-02,Leicestershire Police,Leicestershire Police,-1.150075,52.670000,On or near BEDALE DRIVE,E01013600,Leicester 003A,Investigation complete; no suspect identified
b397f408426cd5bcfa1da1eed72a54cb19a91a3434b68c4eac894c3043b15d8f,2021-02,Leicestershire Police,Leicestershire Police,-1.218983,52.622998,On or near BOYERS WALK,E01025635,Blaby 002D,Unable to prosecute suspect
7a3099c1b6cb8f9a163a49660b5ca489aa932190c1a08ea92a96bce856a44861,2021-02,Leicestershire Police,Leicestershire Police,-1.123989,52.611483,On or near Petrol Station,E01013689,Leicester 038A,Investigation complete; no suspect identified
f33e5cb90178454312e0ddeb62e41f9478f20fb471715e5c0f66ec8aa4f6d05a,2021-02,Leicestershire Police,Leicestershire Police,-1.130677,52.688388,On or near NINE LEYS SQUARE,E01025679,Charnwood 019A,Investigation complete; no suspect identified
b2b2d9c5d63cb0495dc24cca32ff8709833cfc50a6e24ec794f240a544c4b9c8,2021-02,Leicestershire Police,Leicestershire Police,-1.157124,52.634091,On or near HENTON ROAD,E01013782,Leicester 023F,Unable to prosecute suspect
6cea5e9738b5920e5fd478f962d91a92a64c78511f1e5aaf59ba229cc7b76678,2021-02,Leicestershire Police,Leicestershire Police,-1.157956,52.591520,On or near RED HOUSE RISE,E01013675,Leicester 036C,Investigation complete; no suspect identified
2bfe6333a38e0e9082046b602c8e6c760ab6db40833bab0e1801d2b168cc632a,2021-02,Leicestershire Police,Leicestershire Police,-1.052432,52.649275,On or near RAMSEY WAY,E01013695,Leicester 037A,Unable to prosecute suspect
