Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person and Vehicle search,2021-02-01T04:02:00+00:00,,,53.826691,-1.342625,Male,25-34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2021-02-01T11:02:00+00:00,,,53.952787,-1.086026,Male,18-24,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,
Person search,2021-02-01T11:02:00+00:00,,,53.994617,-1.538446,Male,18-24,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,
Person search,2021-02-01T13:02:00+00:00,,,54.272682,-0.411936,Male,25-34,,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,,False,
Person and Vehicle search,2021-02-01T15:02:00+00:00,,,53.949286,-2.017349,Male,18-24,Other ethnic group - Not stated,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,
Person search,2021-02-01T16:02:00+00:00,,,53.919677,-1.139889,Male,25-34,,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,
Person and Vehicle search,2021-02-01T16:02:00+00:00,,,53.924693,-1.113989,Male,25-34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,
Person and Vehicle search,2021-02-01T16:02:00+00:00,,,53.978430,-1.529309,Male,25-34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,
Person search,2021-02-02T10:02:00+00:00,,,53.939544,-1.121764,Female,18-24,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,
Person and Vehicle search,2021-02-02T18:02:00+00:00,,,53.956491,-2.031890,Male,18-24,Other ethnic group - Not stated,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,
Person and Vehicle search,2021-02-02T18:02:00+00:00,,,53.956491,-2.031890,Male,18-24,,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,
Person and Vehicle search,2021-02-02T18:02:00+00:00,,,53.957488,-2.034908,Male,18-24,,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,
Person search,2021-02-02T19:02:00+00:00,,,53.944757,-1.139038,Female,over 34,,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,,False,
Person search,2021-02-02T21:02:00+00:00,,,54.405814,-1.742110,Female,18-24,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,
Person search,2021-02-02T21:02:00+00:00,,,54.406994,-1.735278,Female,18-24,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,
Person and Vehicle search,2021-02-02T21:02:00+00:00,,,53.998185,-1.533891,Male,25-34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,
Person search,2021-02-02T21:02:00+00:00,,,54.405814,-1.742110,Male,10-17,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,
Person and Vehicle search,2021-02-02T22:02:00+00:00,,,53.958936,-2.031557,Male,18-24,,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,False,
Person and Vehicle search,2021-02-02T22:02:00+00:00,,,53.958936,-2.031557,Male,18-24,,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2021-02-03T01:02:00+00:00,,,54.117033,-1.413584,Male,25-34,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,
Person and Vehicle search,2021-02-03T02:02:00+00:00,,,54.283192,-1.583949,Male,18-24,,White,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person and Vehicle search,2021-02-03T02:02:00+00:00,,,54.283192,-1.583949,Male,18-24,,White,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2021-02-03T13:02:00+00:00,,,54.279884,-0.406698,Male,25-34,,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,
Person and Vehicle search,2021-02-03T17:02:00+00:00,,,54.246817,-0.788423,Female,25-34,,White,,Firearms,Arrest,True,
Person and Vehicle search,2021-02-03T17:02:00+00:00,,,54.246817,-0.788423,Male,over 34,,White,,Firearms,Arrest,True,
Person and Vehicle search,2021-02-03T18:02:00+00:00,,,53.909947,-1.986553,Female,over 34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,
Person search,2021-02-04T14:02:00+00:00,,,54.004397,-1.543678,Male,over 34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,
Person search,2021-02-04T15:02:00+00:00,,,53.772260,-1.089754,Male,10-17,Other ethnic group - Not stated,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,
Person search,2021-02-04T15:02:00+00:00,,,53.772260,-1.089754,Male,10-17,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,
Person search,2021-02-04T16:02:00+00:00,,,54.286112,-0.414784,Male,over 34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,
Vehicle search,2021-02-04T18:02:00+00:00,,,54.263112,-0.415528,,over 34,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,,
Person search,2021-02-05T17:02:05+00:00,,,54.278549,-0.404937,Male,10-17,,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,
Person search,2021-02-05T19:02:00+00:00,,,54.126815,-1.531241,Male,10-17,,White,Police and Criminal Evidence Act 1984 (section 1),Firearms,A no further action disposal,,
Person and Vehicle search,2021-02-05T19:02:00+00:00,,,54.124470,-1.519944,Male,18-24,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Firearms,A no further action disposal,,
Person search,2021-02-05T22:02:00+00:00,,,53.784396,-1.065404,Male,18-24,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,
Person search,2021-02-05T22:02:00+00:00,,,54.001571,-1.501953,Male,over 34,,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,
Person search,2021-02-05T22:02:00+00:00,,,53.796214,-1.252392,Female,25-34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,
Person and Vehicle search,2021-02-06T00:02:00+00:00,,,53.900735,-1.995291,Male,over 34,Other ethnic group - Not stated,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,True,
Person search,2021-02-06T00:02:00+00:00,,,,,Male,18-24,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,
Person search,2021-02-06T00:02:00+00:00,,,53.902721,-1.989234,Male,over 34,Other ethnic group - Not stated,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,
Person search,2021-02-06T03:02:00+00:00,,,54.281551,-0.419260,Male,18-24,,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,
Person search,2021-02-06T04:02:00+00:00,,,54.281851,-0.416084,Male,18-24,,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,
Person search,2021-02-06T04:02:00+00:00,,,54.281851,-0.416084,Male,18-24,,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,
Person search,2021-02-06T14:02:00+00:00,,,54.005613,-1.556267,Male,over 34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,
Person search,2021-02-06T14:02:00+00:00,,,53.997136,-1.505286,Female,over 34,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,
Person search,2021-02-06T14:02:00+00:00,,,53.997136,-1.505286,Male,over 34,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,
Person search,2021-02-06T14:02:00+00:00,,,53.997136,-1.505286,Male,25-34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,
Person search,2021-02-06T14:02:00+00:00,,,54.005613,-1.556267,Male,over 34,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,
Person and Vehicle search,2021-02-06T16:02:00+00:00,,,53.997343,-1.529919,Male,10-17,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,
Person and Vehicle search,2021-02-06T16:02:00+00:00,,,53.997343,-1.529919,Male,10-17,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,
Person and Vehicle search,2021-02-06T16:02:00+00:00,,,53.997343,-1.529919,Male,10-17,Other ethnic group - Not stated,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,
Person and Vehicle search,2021-02-06T17:02:00+00:00,,,53.997343,-1.529919,Male,10-17,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,
Person and Vehicle search,2021-02-06T17:02:00+00:00,,,53.986587,-1.121690,Male,18-24,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,
Person and Vehicle search,2021-02-06T17:02:00+00:00,,,,,Male,25-34,,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Summons / charged by post,True,
Person search,2021-02-06T20:02:00+00:00,,,54.136981,-1.522264,Male,10-17,,White,,Controlled drugs,A no further action disposal,True,
Person search,2021-02-06T20:02:00+00:00,,,53.963911,-1.085569,Male,10-17,,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,False,
Person search,2021-02-06T22:02:00+00:00,,,53.784398,-1.069123,Male,over 34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,
Person and Vehicle search,2021-02-06T22:02:38+00:00,,,54.045234,-1.022726,Male,18-24,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,
Vehicle search,2021-02-07T12:02:00+00:00,,,53.950684,-1.375251,,over 34,,,,Firearms,,,
Person search,2021-02-07T13:02:00+00:00,,,53.993040,-1.535108,Male,18-24,Other ethnic group - Not stated,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,
Person search,2021-02-07T15:02:00+00:00,,,53.999576,-1.497690,Female,25-34,,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,
Person search,2021-02-07T15:02:00+00:00,,,54.005580,-1.535716,Male,25-34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,
Person and Vehicle search,2021-02-07T17:02:00+00:00,,,53.953584,-1.132883,Male,25-34,,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,
Person and Vehicle search,2021-02-07T17:02:00+00:00,,,53.953584,-1.132883,Male,25-34,,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,
Person and Vehicle search,2021-02-07T19:02:00+00:00,,,54.273599,-0.436689,Male,over 34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,
Person search,2021-02-07T19:02:30+00:00,,,54.273898,-0.417649,Male,25-34,,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,False,
Person search,2021-02-07T22:02:00+00:00,,,53.963020,-1.124060,Female,10-17,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,
Person search,2021-02-07T22:02:00+00:00,,,53.963020,-1.124060,Female,10-17,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,
Person search,2021-02-07T23:02:00+00:00,,,53.729395,-1.265355,Male,over 34,,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,
Person search,2021-02-08T01:02:00+00:00,,,54.186092,-1.181936,Male,18-24,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,
Person search,2021-02-08T02:02:00+00:00,,,54.272215,-0.409251,Male,18-24,,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,
Person search,2021-02-08T02:02:00+00:00,,,54.274177,-0.409437,Male,10-17,,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,
Person and Vehicle search,2021-02-08T05:02:00+00:00,,,54.292212,-0.409065,Male,25-34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,
Vehicle search,2021-02-08T08:02:00+00:00,,,53.989621,-1.105337,,over 34,,,Misuse of Drugs Act 1971 (section 23),,,,
