Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
9c1a199dd600473a53ea58f263e17969c112dd574e34a40ebff5642b276bbb37,2021-02,Surrey Police,Surrey Police,,,No location,,,Suspect charged
6b67af1ef7ca94f71b463654aab15e36c2bf751dc4f983744a31d70e62ab16b0,2021-02,Surrey Police,Surrey Police,,,No location,,,Local resolution
c5a48ec5f80f2315363c4a9c238b527aed161e87c20654a51816b6efdf16d0f8,2021-02,Surrey Police,Surrey Police,,,No location,,,Unable to prosecute suspect
5cfd394726d6e53bba2ea597a9ccc87f9c4bf2d430f4ea64f5aad546776b7b60,2021-02,Surrey Police,Surrey Police,,,No location,,,Unable to prosecute suspect
1d6a1a928a272fbbf115be7a387f40aba90d492ae14b964ef72aac9a917232af,2021-02,Surrey Police,Surrey Police,,,No location,,,Unable to prosecute suspect
c7048e2f6c3165c830f4ccf9f50671d8c90a4fe7d721a44c625c598d55c3e8b6,2021-02,Surrey Police,Surrey Police,,,No location,,,Unable to prosecute suspect
6e387775cda831d842c3afa122461b3e488a5ffc48d586dbfabb58e9beb7e276,2021-02,Surrey Police,Surrey Police,,,No location,,,Investigation complete; no suspect identified
4a3e5846afd4c11711949e8ebcd69a909e2370e64ca0727c598bdc03534050d7,2021-02,Surrey Police,Surrey Police,,,No location,,,Formal action is not in the public interest
67987a0647a4549a6977bfb0afefeecf05642374f3ed23b70ce4b78a96a1e0e3,2021-02,Surrey Police,Surrey Police,-0.246468,51.354742,On or near Petrol Station,E01030406,Epsom and Ewell 003C,Investigation complete; no suspect identified
2d1a234801b84c4ff6c787a135aca2528802302e4a906b9511b417f6db478f97,2021-02,Surrey Police,Surrey Police,-0.654213,51.368399,On or near SCHOOL LANE,E01030811,Surrey Heath 001F,Unable to prosecute suspect
cb7eb9024fc5bb6f09abfad3a991d17f4455d99c0d1aa8c88c9e8e5d96e43cdf,2021-02,Surrey Police,Surrey Police,-0.777715,51.201976,On or near TILFORD ROAD,E01030883,Waverley 004B,Investigation complete; no suspect identified
8a645f1f84109dd961a44d674f5d1b179bb1ae67f4c36428ae4d79e2a8af3257,2021-02,Surrey Police,Surrey Police,-0.261497,51.339004,On or near STONE'S ROAD,E01030410,Epsom and Ewell 007F,Unable to prosecute suspect
49cb6ea37188e15c2b8886fd44587a77f69e27c9a2303800881aefb914ffc8fa,2021-02,Surrey Police,Surrey Police,-0.620591,51.201047,On or near WOODMANCOURT,E01030919,Waverley 007D,Investigation complete; no suspect identified
fb9d235470c26a7796e44c11f8d20a378143fb3acace4e5505a628baf4be99cc,2021-02,Surrey Police,Surrey Police,-0.805339,51.211981,On or near MEAD LANE,E01030884,Waverley 003A,Unable to prosecute suspect
812d19e281e0f968e873b93dddc5347f0f1a27f6a0c47db6d78af33611d9380d,2021-02,Surrey Police,Surrey Police,-0.248106,51.349074,On or near Parking Area,E01030392,Epsom and Ewell 010C,Investigation complete; no suspect identified
001dcc41057ce4c74ded917882c88d0c21f9e43dc6be3890ece71dbe1858f820,2021-02,Surrey Police,Surrey Police,-0.568723,51.425953,On or near HIGHFIELD ROAD,E01030671,Runnymede 002A,Investigation complete; no suspect identified
fdb1bca44d52458dc6e53da8afa034c36c49f53d1b8af82509ab52a9edc28898,2021-02,Surrey Police,Surrey Police,-0.283801,51.364180,On or near DEREK CLOSE,E01030401,Epsom and Ewell 005C,Investigation complete; no suspect identified
8303066655eead5a73ea2f4065677d2b04f3306c6020f2875805956a70e4f0b9,2021-02,Surrey Police,Surrey Police,-0.457903,51.358597,On or near HILLBROOK GARDENS,E01030348,Elmbridge 016C,Unable to prosecute suspect
5259a8867e02e5ce5e2dc53840ac6d5ddf362816d8dc6924197a1d5f7740f41b,2021-02,Surrey Police,Surrey Police,-0.543033,51.197167,On or near WOODYERS CLOSE,E01030863,Waverley 008A,Investigation complete; no suspect identified
944db38bcffa7d605008f65bd41af16366f9068f3608632ca1d798795becf654,2021-02,Surrey Police,Surrey Police,-0.343744,51.383324,On or near NEWLANDS AVENUE,E01030370,Elmbridge 009E,Investigation complete; no suspect identified
654ccf75c30b7ed9306f07333a353b0862315b89c16e854e675b525b1619804e,2021-02,Surrey Police,Surrey Police,-0.160859,51.216091,On or near BUSHFIELD DRIVE,E01030572,Reigate and Banstead 014C,Unable to prosecute suspect
8bf953f2995bf45d18aea9b3e4aaa7d5aa2ca3816a531bb076d44e875ea6f873,2021-02,Surrey Police,Surrey Police,-0.493578,51.372235,On or near HIGH STREET,E01030649,Runnymede 007C,Unable to prosecute suspect
481ce468f1ceff40e6a600e01e54f00455cf9937bc645e8271f446d773926d0a,2021-02,Surrey Police,Surrey Police,-0.408454,51.386280,On or near FAIRFAX CLOSE,E01030356,Elmbridge 008C,Unable to prosecute suspect
613150fffa0d39ed580fb03514bfc4b369813304e69648e24adade0be6bda951,2021-02,Surrey Police,Surrey Police,-0.351547,51.383731,On or near ORCHARD GATE,E01030369,Elmbridge 009D,Further investigation is not in the public interest
465dcd579dd22cc42cf3b287d13d7a4e88092d369e4a7bcf17557734e98c4e0c,2021-02,Surrey Police,Surrey Police,-0.172839,51.214750,On or near HANWORTH ROAD,E01030570,Reigate and Banstead 014A,Investigation complete; no suspect identified
ca81388d48ae0ddc2926a9b3d5c218d0c7ca475a5671479d3b2f2f7041b21810,2021-02,Surrey Police,Surrey Police,,,No location,,,Investigation complete; no suspect identified
82a1792ad3f0c659db8c08b7f1a04d0f4e5156510f3b8dd3cc7fbeef9370d971,2021-02,Surrey Police,Surrey Police,-0.061811,51.318028,On or near MEADWAY,E01030853,Tandridge 012B,Unable to prosecute suspect
62fb4e9cb2b33511d4650549b95147039ffe3b3e51203ecc2da3668b1022b101,2021-02,Surrey Police,Surrey Police,-0.501684,51.389739,On or near GALSWORTHY ROAD,E01030653,Runnymede 006B,Unable to prosecute suspect
d386145daf2d0d3c843fd706d97cb32fd516668041eb47e348fd2fd8f789d090,2021-02,Surrey Police,Surrey Police,-0.173318,51.182024,On or near WELLINGTON WAY,E01030585,Reigate and Banstead 016B,Suspect charged
9af84b06ba4198e1f147d8bba92fdae76a943a266ea4f60e39baad32134f5d33,2021-02,Surrey Police,Surrey Police,-0.412905,51.413381,On or near Sports/Recreation Area,E01030754,Spelthorne 010B,Further investigation is not in the public interest
a347675cf032d400eec73cfe0f89e1a7234b74e00977898ab0e7036373de669b,2021-02,Surrey Police,Surrey Police,-0.442725,51.410993,On or near HETHERINGTON ROAD,E01030722,Spelthorne 012B,Unable to prosecute suspect
55e1eff18a120f4813dedf0138c16f760bccf61265d448c8fa1139bffdf1412a,2021-02,Surrey Police,Surrey Police,-0.476477,51.446776,On or near SCOTS CLOSE,E01030711,Spelthorne 002C,Unable to prosecute suspect
f7bac80b8513d6d89b3a63aa6df8d657155428c6a4c1fea1433871ae9de48c95,2021-02,Surrey Police,Surrey Police,-0.417392,51.391293,On or near DUDLEY ROAD,E01030358,Elmbridge 007B,Investigation complete; no suspect identified
0d0db9fb0d07cfa69f214c979204ab321bfedeecc7144db9fdab8bf114cd1c03,2021-02,Surrey Police,Surrey Police,-0.487340,51.372299,On or near Supermarket,E01030649,Runnymede 007C,Investigation complete; no suspect identified
d367a34dd7507f8c72e144f0f2e6228d3654254cc38fd250cff0d4b9d7c83df6,2021-02,Surrey Police,Surrey Police,-0.494711,51.423101,On or near WORPLE ROAD,E01030742,Spelthorne 009D,Unable to prosecute suspect
4e2c2e7377a50e823251bb2177adb57941b24574cf7d2fd48b380a35e4c3adf0,2021-02,Surrey Police,Surrey Police,0.020944,51.219837,On or near STAFFHURST WOOD ROAD,E01030832,Tandridge 006B,Investigation complete; no suspect identified
2cdda28e216d32bba5b92cb94349ed541afde1a1a00d8a498a7b8faeb206ebda,2021-02,Surrey Police,Surrey Police,-0.558770,51.319317,On or near Shopping Area,E01030954,Woking 008A,Investigation complete; no suspect identified
c9ae9ac818d7689926de8e94bf2cd602e3c6d7798d80ee2d7c57c82480c75c0d,2021-02,Surrey Police,Surrey Police,-0.000986,51.257058,On or near STATION ROAD EAST,E01030831,Tandridge 006A,Investigation complete; no suspect identified
57f9d809ab697c02b74515587c6eec18392d34c911c72a6acd6aa29bbda80bf1,2021-02,Surrey Police,Surrey Police,-0.507805,51.361078,On or near FRANKLANDS DRIVE,E01030661,Runnymede 009D,Investigation complete; no suspect identified
adf02f7909b5e45ed512c80ab1d3ee56b87f1d46ad015773559b17d718e81ac2,2021-02,Surrey Police,Surrey Police,-0.093860,51.293698,On or near FOXON LANE,E01030844,Tandridge 003A,Unable to prosecute suspect
3466d57e30881808ba5ab11bd2d5228a3ef96bc13bb5b48dcada64d82a9e5cb0,2021-02,Surrey Police,Surrey Police,-0.466744,51.339856,On or near BRIDGE CLOSE,E01030950,Woking 001E,Investigation complete; no suspect identified
da9d586e0e223e625b0e6017c1cd74743a5151205085ccd8de4ad83a1d08f24f,2021-02,Surrey Police,Surrey Police,-0.588238,51.255506,On or near NORTH ROAD,E01030485,Guildford 006A,Investigation complete; no suspect identified
d6ad625bd915a9b1aea31dc374f491dbfb47f90ff4f8facda8147e981ed75574,2021-02,Surrey Police,Surrey Police,-0.652834,51.155588,On or near SUNNY HILL,E01030943,Waverley 012E,Investigation complete; no suspect identified
b56621b7400c100e7bb7960042bd100191c3beaee2a29bca9a430032c2b682ca,2021-02,Surrey Police,Surrey Police,-0.642165,51.323038,On or near Prison,E01030761,Surrey Heath 006A,Unable to prosecute suspect
a42b33b0e22e16265a68d528a7762e4b29ddf448965e0f7e74b4b3c018d7913b,2021-02,Surrey Police,Surrey Police,-0.812977,51.210584,On or near COXBRIDGE MEADOWS,E01030884,Waverley 003A,Investigation complete; no suspect identified
f4de9bf2bd517d7e5f9c3af027fb6401641d1b022687398922605e562b47b94a,2021-02,Surrey Police,Surrey Police,-0.457903,51.358597,On or near HILLBROOK GARDENS,E01030348,Elmbridge 016C,Unable to prosecute suspect
facbc5a1e34baa1eb132ef012534c9f6a92379647f6037926b5f9925582d9d4f,2021-02,Surrey Police,Surrey Police,-0.199656,51.223601,On or near Petrol Station,E01030633,Reigate and Banstead 015D,Unable to prosecute suspect
52fbb977179cc0522963182416282bbf3b6557558a00b583c46c29b787e2770e,2021-02,Surrey Police,Surrey Police,-0.274652,51.369099,On or near ASH COURT,E01030400,Epsom and Ewell 002C,Investigation complete; no suspect identified
4bd721957a160ee76ce4dabe3b0c7e3d4181d4603d3829becfa5369e980a5a77,2021-02,Surrey Police,Surrey Police,-0.530295,51.246206,On or near Petrol Station,E01030462,Guildford 008C,Investigation complete; no suspect identified
972d33d087574df51d883734aa840a188461f89c3552970f6fc83fec0814407b,2021-02,Surrey Police,Surrey Police,-0.748703,51.332812,On or near GORDON ROAD,E01030795,Surrey Heath 008C,Investigation complete; no suspect identified
832688ebc52531b3b0fc0b73e6074295a7e8634bb0f2b0a08126bd5af89d9d90,2021-02,Surrey Police,Surrey Police,-0.435269,51.395607,On or near GASTON BRIDGE ROAD,E01030732,Spelthorne 013C,Investigation complete; no suspect identified
409ee290f48ae350653785098e1edd63236792e145b81e645577b7ba8b7e48bd,2021-02,Surrey Police,Surrey Police,-0.512431,51.388986,On or near CEROTUS PLACE,E01030657,Runnymede 006D,Investigation complete; no suspect identified
244f450d94f6501a08fd9d19e141a2f35da6fc11523b02ec4af246ec0445123f,2021-02,Surrey Police,Surrey Police,-0.317725,51.375319,On or near Pedestrian Subway,E01030319,Elmbridge 009A,Investigation complete; no suspect identified
f6024221c4a357e6a04d7e65f6c61c1f626ade1ac30259bc80a2f74f8b7d72ee,2021-02,Surrey Police,Surrey Police,-0.415089,51.413033,On or near Sports/Recreation Area,E01030754,Spelthorne 010B,Investigation complete; no suspect identified
e48473da52775252751757e1296c5008f79078f8591fec0755dcc5babb41286e,2021-02,Surrey Police,Surrey Police,-0.435660,51.361387,On or near ELLESMERE ROAD,E01030349,Elmbridge 016D,Investigation complete; no suspect identified
0b10b7a64c717ec00b73b5fbb71ae884a0a6ee64ce13ad332b25670eb0162037,2021-02,Surrey Police,Surrey Police,-0.512101,51.392066,On or near GOGMORE FARM CLOSE,E01030656,Runnymede 004A,Further investigation is not in the public interest
63b4260e3d09390b64711ba476929c556746ba0ec2d891c2634c199845e6e2ea,2021-02,Surrey Police,Surrey Police,-0.066286,51.255278,On or near GODSTONE HILL,E01030824,Tandridge 009A,Investigation complete; no suspect identified
9f606a43e3a7c88d25faa47aaac9b07c935277960490b5ee9a196bf3761bcf6a,2021-02,Surrey Police,Surrey Police,-0.181091,51.180121,On or near CHAFFINCH WAY,E01030586,Reigate and Banstead 016C,Unable to prosecute suspect
286a21ccf4d80cc9e6e249bf4bc7996ec3849c8018f046425db15f9c8c412f8f,2021-02,Surrey Police,Surrey Police,-0.543305,51.430073,On or near CLARE GARDENS,E01030667,Runnymede 001A,Investigation complete; no suspect identified
2219a98ebc16b30e904218bcc2dd4304e09189c504faf3f049507a3f437b39eb,2021-02,Surrey Police,Surrey Police,-0.340311,51.355875,On or near FOLEY WOOD,E01030299,Elmbridge 015D,Investigation complete; no suspect identified
59615a71e483606b241c2f5e68d16d8bf6e4caf6d1b4286b5eac9eb9c26f7baa,2021-02,Surrey Police,Surrey Police,-0.611976,51.248605,On or near ROMAN FARM ROAD,E01030494,Guildford 012B,Further action is not in the public interest
935c679699863387ba93399bf277405242a0e73ec0554ce02443707f1fee17ad,2021-02,Surrey Police,Surrey Police,-0.045461,51.307999,On or near CROWBOROUGH DRIVE,E01030854,Tandridge 012C,Investigation complete; no suspect identified
bc1b9dd5e45447e032337ae2be3b722e90bb88ad96abf0ce02210ea83cfa51be,2021-02,Surrey Police,Surrey Police,-0.078959,51.309822,On or near WESTBURY CLOSE,E01030860,Tandridge 002D,Investigation complete; no suspect identified
0818a9a5f8256cd2259f86f9edca67460dd822e0b5c8ff06ece42a1d9470b6c2,2021-02,Surrey Police,Surrey Police,-0.724304,51.289728,On or near SALISBURY GROVE,E01030783,Surrey Heath 012B,Investigation complete; no suspect identified
