Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
8730580cbd6259959e14a9f947eb58ed46c63146b5f1b376387fd7381d5d23a4,2021-02,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
8c156cd04ee2bcffe49860adece411fe8dafe09990f83cf7c253e68a7425e8fd,2021-02,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
ef5c0164b3d2469fc0d672b61a2eca2915baaa88e7dc99089684823ab404a0e3,2021-02,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
9a6a35e24bbabfc6a6f589a3dbb8fcd7f7dbe81ab4f6d7aed42ba255bf9c6fd6,2021-02,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
0e2beb595f8c3693ab0a053b20bc17ecedcb88f05bce9cecc384c2c26915684c,2021-02,West Yorkshire Police,West Yorkshire Police,,,No location,,,Unable to prosecute suspect
6d49f8ec44b3ddd13e297bef7b3c8bf6b913d3392ff81c815415f49d32c29a62,2021-02,West Yorkshire Police,West Yorkshire Police,,,No location,,,Unable to prosecute suspect
b658637c2063247d5669c0974a576970e8fc052f836503d064c20331a6e9a62e,2021-02,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
2f505bb469f03a8af306981a533ca0dc81f4efb758b1d407e00ad240f1094e70,2021-02,West Yorkshire Police,West Yorkshire Police,,,No location,,,Unable to prosecute suspect
ceaed7f0b5faa99b3c18b3afdd6c193c2253cbeb0354a4b00b0adb3420ed4718,2021-02,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
ef4351fc497de694f5c97af314be72c462f2140439eab8b5f0d170c3e5ae405c,2021-02,West Yorkshire Police,West Yorkshire Police,-1.452266,53.826882,On or near BAILDON CLOSE,E01011720,Leeds 029E,Unable to prosecute suspect
3712e629e82d13d1efccb65dcd45c362095145fe641dddff7012d61040a41ee7,2021-02,West Yorkshire Police,West Yorkshire Police,,,No location,,,Unable to prosecute suspect
632a147c44f54e7479b686a5673ec0c12eb420777954bb1e5459afe2cec1d121,2021-02,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
e525dce435994f809a5c245e0c5fe3c08a1d1be854b768b9de63efda1bf40d11,2021-02,West Yorkshire Police,West Yorkshire Police,,,No location,,,Unable to prosecute suspect
61558884a7fadcb0a8ae7242f0f279bdcbe81fc76b9e2ca0334895d3036cbeed,2021-02,West Yorkshire Police,West Yorkshire Police,-1.532710,53.803674,On or near SKINNER LANE,E01033003,Leeds 055G,Unable to prosecute suspect
63d716850b4421aea782d907affbbbea4ae29f1862f0fdd6b29f6af1c0cba411,2021-02,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
395f3fbd8b283b8ff217ecb5a2d645912a4f08685e004b3670d13e0081d7145c,2021-02,West Yorkshire Police,West Yorkshire Police,,,No location,,,Unable to prosecute suspect
35a454db1b8aaae8da3b9011f056a790a7672751e30905253a55550062799809,2021-02,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
